cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,27636,"18000211",5122,"residential","Rock Rice Road",,"B",0,0,"F","F",1,289801.018493084,5202455.44749117
2,634284,"833557532",5115,"tertiary","County Highway 29","CR 29","B",0,0,"F","F",1,297062.570625692,5197292.14275668
3,24857,"17996697",5141,"service",,,"B",0,0,"F","F",1,293358.077169213,5209018.44226297
4,259896,"18282106",5121,"unclassified","County Road 188",,"B",0,0,"F","F",1,237198.187851853,5164982.48726937
5,302760,"98641914",5115,"tertiary","Oakport Street North","CR 3","B",64,0,"F","F",1,214418.839296471,5204672.30985088
6,29662,"18002600",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,295940.939890586,5203807.73262159
7,260439,"18282806",5142,"track","T-231",,"B",0,0,"F","F",1,240695.535234218,5168107.23079734
8,975990,"1410068250",5142,"track","60th Street South",,"B",0,0,"F","F",1,218976.504204428,5175471.06926378
9,67058,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211697.625188401,5217658.80363566
10,891279,"1276534413",5122,"residential","230 Street",,"B",0,0,"F","F",1,268458.737356088,5199129.43897294
11,435714,"425581271",5115,"tertiary","County Highway 12","CR 12","B",0,0,"F","F",1,266840.264465102,5202434.20792144
12,30439,"18003487",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,266468.957972871,5204190.26867958
13,66283,"18047512",5121,"unclassified","110th Street South","CR 71","B",0,0,"F","F",1,227914.657277883,5192870.54815478
14,66577,"18047856",5121,"unclassified","110th Avenue South",,"B",0,0,"F","F",1,235562.542223667,5181207.34952813
15,66625,"18047912",5121,"unclassified","90th Street North","CR 68","B",0,0,"F","F",1,225052.135112677,5200022.95733068
16,66473,"18047736",5121,"unclassified","28th Avenue South",,"B",0,0,"F","F",1,234379.910137614,5194164.57104606
17,740065,"961141724",5114,"secondary","County Highway 52","CR 52","B",88,0,"F","F",1,219429.747018233,5189975.24082052
18,259741,"18281928",5115,"tertiary","County Highway 3",,"B",0,0,"F","F",1,221222.834612467,5159245.28909632
19,260292,"18282579",5122,"residential","T-205",,"B",0,0,"F","F",1,231195.100328323,5166071.81664873
