cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,43276,"18019382",5115,"tertiary","550th Avenue","CR 1","B",88,0,"F","F",1,413491.622190773,4871559.54693954
2,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,436965.291243195,4898763.39329764
3,138720,"18138154",5122,"residential","480th Street","CR 103","B",0,0,"F","F",1,437025.319453422,4900365.77999692
4,295334,"63971034",5112,"trunk","State Highway 60","MN 60","F",104,0,"F","F",1,406208.329346468,4887545.90249151
5,295379,"64174172",5115,"tertiary","215th Street","CR 17","B",0,0,"F","F",1,436876.58204427,4890310.57030605
6,41773,"18017671",5115,"tertiary","County Road 23","CR 23","B",0,0,"F","F",1,437139.662260851,4885877.4115249
7,41825,"18017729",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,432403.767539852,4894819.88338023
8,41825,"18017729",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,431812.572115762,4894916.1286629
9,45185,"18021609",5122,"residential","127th Street",,"B",0,0,"F","F",1,426701.003850685,4863469.32778889
10,44749,"18021095",5122,"residential","597th Avenue",,"B",0,0,"F","F",1,427849.993958005,4861058.62197408
11,44422,"18020730",5122,"residential","211th Lane",,"B",0,0,"F","F",1,426159.988943953,4889617.10493928
12,46111,"18022806",5122,"residential","Hosanna Drive",,"B",0,0,"F","F",1,423701.529632453,4889622.39188029
13,390149,"249223182",5122,"residential","20th Street",,"B",0,0,"F","F",1,441563.193418549,4861995.81803238
14,45820,"18022428",5122,"residential","153rd Street",,"B",0,0,"F","F",1,402854.319553439,4871779.42864604
15,393891,"254446807",5122,"residential","230th Street",,"B",0,0,"F","F",1,398090.40036438,4852493.05647369
16,45017,"18021423",5122,"residential","499th Avenue","CR 109","B",0,0,"F","F",1,398443.649250645,4883596.92101628
17,43696,"18019917",5122,"residential","515th Avenue",,"B",0,0,"F","F",1,403054.560593762,4872064.60461814
18,151387,"18152408",5121,"unclassified","220th Street",,"B",0,0,"F","F",1,395617.077326878,4850925.47587975
19,45942,"18022587",5115,"tertiary","174th Street","CR 13","B",88,0,"F","F",1,395914.115164337,4878321.73809105
20,43957,"18020206",5115,"tertiary","592nd Avenue","CR 16","B",0,0,"F","F",1,426398.822228766,4875873.01244778
21,42023,"18017941",5122,"residential","610th Avenue",,"B",0,0,"F","F",1,432162.293723111,4890729.16234748
22,87730,"18075264",5141,"service",,,"B",0,0,"F","F",1,419577.60929683,4849786.23734498
23,295329,"63738752",5115,"tertiary","185th Street","CR 15","B",0,0,"F","F",1,429895.315747948,4881136.20185909
24,43518,"18019710",5122,"residential","584th Avenue",,"B",0,0,"F","F",1,423838.798118772,4861775.35177353
25,151618,"18152666",5121,"unclassified","280th Avenue",,"B",0,0,"F","F",1,394843.531452657,4852205.61643463
26,43147,"18019229",5122,"residential","177th Street",,"B",0,0,"F","F",1,428975.275397125,4878671.37080013
27,44491,"18020805",5122,"residential","104th Street",,"B",0,0,"F","F",1,402078.887699014,4856901.23604065
28,45136,"18021555",5115,"tertiary","200th Street","CR 6","B",88,0,"F","F",1,396257.626342662,4886368.78198375
29,45715,"18022281",5122,"residential","T-181",,"B",0,0,"F","F",1,393245.097194119,4884801.54011542
30,46224,"18022946",5115,"tertiary","County Road 32","CR 32","B",0,0,"F","F",1,396716.428353201,4878927.85867014
31,43953,"18020202",5122,"residential","592nd Avenue",,"B",0,0,"F","F",1,426422.056030047,4879148.97981831
32,45495,"18022020",5122,"residential","594th Avenue",,"B",0,0,"F","F",1,427219.721414756,4877748.89061831
33,44437,"18020747",5122,"residential","190th Street",,"B",0,0,"F","F",1,395605.17556424,4883170.2425673
34,393891,"254446807",5122,"residential","230th Street",,"B",0,0,"F","F",1,396152.096852974,4852522.57046114
35,295375,"64168493",5115,"tertiary",,"CH 40","B",88,0,"F","F",1,398732.64451175,4855759.29563016
36,40406,"18015880",5141,"service",,,"B",0,0,"F","F",1,393303.894165694,4885615.88189827
37,40060,"18015393",5122,"residential","473rd Avenue",,"B",88,0,"F","F",1,390467.688982708,4886174.96461973
38,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,434314.936716176,4898784.22910354
