cat,a_cat,a_LINEARID,a_FULLNAME,a_RTTYP,a_MTFCC,b_cat,to_x,to_y
1,2506,"110208065236","550th Ave","M","S1400",1,413490.757413962,4871559.56365687
2,1022,"1106087378952","243rd St","M","S1400",1,436965.249937384,4898763.69312553
3,1985,"110208051015","State Hwy 60","S","S1200",1,406208.329346468,4887545.90249151
4,3549,"110208064553","215th St","M","S1400",1,436876.615363752,4890308.76778113
5,1580,"110208064437","200th St","M","S1400",1,437140.187257989,4885874.93069061
6,3772,"110208058024","T-49","M","S1400",1,426701.22356003,4863465.59369107
7,779,"1104781501993","T-549","M","S1400",1,427850.36498005,4861058.69985504
8,2241,"1106087446699","586th Ave","M","S1400",1,424912.286400428,4889137.90658502
9,3452,"110208061642","153rd St","M","S1400",1,402854.319553439,4871779.42864604
10,1908,"110208064908","499th Ave","M","S1400",1,398438.144071089,4883595.53883483
11,2492,"1104690703748","Co Rd 13","C","S1400",1,395914.010460324,4878328.3566645
12,397,"110208050696","Co Rd 16","C","S1400",1,426398.822228766,4875873.01244778
13,1577,"110208068009","610th Ave","M","S1400",1,432162.328664357,4890729.16996993
14,3463,"110208064266","185th St","M","S1400",1,429895.328133087,4881135.20439103
15,3280,"110208051424","Co Rd 192","C","S1400",1,423842.29550983,4861775.42687499
16,3334,"110208058220","104th St","M","S1400",1,402078.887699014,4856901.23604065
17,3415,"1105061324521","200th St","M","S1400",1,396256.009231467,4886374.23563939
18,3899,"110208064383","195th St","M","S1400",1,393245.097194119,4884801.54011542
19,3451,"1106087305849","Co Rd 32","C","S1400",1,396714.872050834,4878926.76659715
20,462,"110208064211","179th St","M","S1400",1,425887.743962747,4879567.68713952
21,2943,"110208051388","Co Rd 175","C","S1400",1,427219.721414756,4877748.89061831
22,3579,"1103729837899","Co Rd 123","C","S1400",1,395605.17556424,4883170.2425673
23,3399,"110476417669","Co Rd 63","C","S1400",1,398732.552587782,4855757.51270811
24,2903,"110208080372",,,"S1400",1,393327.557695229,4885709.37546482
25,2393,"110208076482","Co Rd 118","C","S1400",1,390472.376239977,4886174.80347939
26,516,"1103730889266","490th St","M","S1400",1,434314.957858294,4898784.22885494
27,2492,"1104690703748","Co Rd 13","C","S1400",1,396896.411335333,4878310.37618755
28,613,"1103690954655","T-319","M","S1400",1,435280.772640928,4881768.78079194
29,2385,"110208064968","510th Ave","M","S1400",1,401422.528579084,4870982.75889292
30,3476,"110208050939","Co Rd 41","C","S1400",1,427040.976447531,4884419.76199815
31,1465,"110208058323","124th St","M","S1400",1,432265.470608718,4862594.68042122
32,2378,"110208058205","103rd Ln","M","S1400",1,418451.302518206,4856306.89345723
33,795,"110208051185","Co Rd 144","C","S1400",1,395940.36563858,4857413.39110982
34,44,"110208050834","Co Rd 28 S","C","S1400",1,430421.252106378,4878248.47714949
35,1872,"110208058305","119th St","M","S1400",1,412039.130487479,4861226.96125269
36,2869,"1105061269203","Blue Earth County Rd 104","M","S1400",1,390425.231397262,4896757.86931139
37,1114,"110208065184","542nd Ave","M","S1400",1,411012.803945842,4860829.76733455
38,1985,"110208051015","State Hwy 60","S","S1200",1,390947.197905139,4881438.20426301
39,1892,"1106087305039","State Hwy 30","S","S1200",1,421973.018269438,4864305.74764073
40,2903,"110208080372",,,"S1400",1,393634.539711458,4885894.52147323
41,2811,"110208057522","T-7","M","S1400",1,410901.376431106,4856398.04904021
42,3459,"110208051311","Co Rd 157","C","S1400",1,429446.114533257,4858022.35333684
43,1300,"110208051309","Co Rd 156","C","S1400",1,427826.493896848,4857945.84446319
44,1985,"110208051015","State Hwy 60","S","S1200",1,399249.131246768,4883770.9563478
