lcat,along,x,y,across,x1,y1,cos,sin,angle,culvert,overwrite
60,0,215313.129147175,5197951.458225325,10.0,215311.83277928794,5197941.542609847,0.12963678870631684,0.9915615477689288,172.55139576349237,1,0
60,5,215308.2248570215,5197952.099412385,10.0,215306.92848913575,5197942.183796908,0.12963678857394986,0.9915615477862345,172.551395771141,1,0
60,6,215307.45361007698,5197952.401452345,10.0,215300.98934260663,5197944.771691794,0.646426747033636,0.7629760551416483,139.72726746620944,1,0
60,10,215307.367422275,5197956.09611754,10.0,215297.383235652,5197956.658271858,0.9984186623008899,-0.056215431771903725,86.77739416078381,1,0
60,20,215307.9235083515,5197965.972528795,10.0,215297.93932172764,5197966.534683097,0.9984186623867874,-0.056215430246313335,86.77739424833216,1,0
60,30,215308.479594428,5197975.848940045,10.0,215298.49540780467,5197976.411094356,0.9984186623336178,-0.056215431190638175,86.77739419414063,1,0
60,40,215309.035680505,5197985.7253513,10.0,215299.051493882,5197986.287505617,0.9984186623008899,-0.056215431771903725,86.77739416078381,1,0
60,50,215309.59176658152,5197995.601762556,10.0,215299.6075799576,5197996.163916857,0.9984186623914141,-0.056215430164142564,86.77739425304765,1,0
60,60,215310.147852658,5198005.47817381,10.0,215300.163666035,5198006.040328127,0.9984186623008899,-0.056215431771903725,86.77739416078381,1,0
60,65,215310.4258956965,5198010.416379435,10.0,215300.44170907265,5198010.978533737,0.9984186623867874,-0.056215430246313335,86.77739424833216,1,0
127,0,215313.5923476725,5197950.89488917,10.0,215323.57750641086,5197950.350274656,-0.9985158738369538,0.054461451464539797,266.8780440732362,1,0
127,10,215313.047777316,5197940.91054013,10.0,215323.0329360538,5197940.3659256045,-0.9985158737787929,0.054461452530884594,266.87804401204835,1,0
127,20,215312.50320695998,5197930.926191085,10.0,215322.4883656981,5197930.381576566,-0.9985158738119437,0.05446145192308468,266.8780440469245,1,0
127,30,215305.96754136035,5197921.268610756,16.0,215321.94379534078,5197920.397227515,-0.9985158737772101,0.054461452559904436,266.8780440103832,0,0
127,40,215305.42297100413,5197911.284261706,16.0,215321.3992249851,5197910.412878475,-0.9985158738103609,0.05446145195210452,266.87804404525934,0,0
127,50,215304.87840064752,5197901.299912659,16.0,215320.85465462884,5197900.428529435,-0.9985158738326085,0.05446145154420955,266.87804406866474,0,0
127,60,215304.33383029114,5197891.315563617,16.0,215320.31008427215,5197890.444180386,-0.9985158738119437,0.05446145192308468,266.8780440469245,0,0
127,70,215303.7892599343,5197881.33121457,16.0,215319.76551391618,5197880.459831356,-0.9985158738673422,0.05446145090738935,266.8780441052061,0,0
127,80,215303.2446895783,5197871.346865535,16.0,215319.22094355876,5197870.475482294,-0.9985158737787929,0.054461452530884594,266.87804401204835,0,0
127,90,215302.7001192213,5197861.3625164805,16.0,215318.67637320314,5197860.491133265,-0.9985158738657594,0.054461450936409195,266.8780441035409,0,0
127,100,215302.15554886535,5197851.378167446,16.0,215318.13180284578,5197850.506784204,-0.9985158737772101,0.054461452559904436,266.8780440103832,0,0
127,110,215301.6109785083,5197841.393818391,16.0,215317.58723249016,5197840.522435175,-0.9985158738657594,0.054461450936409195,266.8780441035409,0,0
127,120,215301.06640815217,5197831.409469357,16.0,215317.0426621331,5197830.538086126,-0.9985158738091812,0.0544614519737346,266.8780440440181,0,0
127,130,215300.5218377963,5197821.425120315,16.0,215316.4980917768,5197820.553737075,-0.9985158737815555,0.05446145248023468,266.87804401495475,0,0
127,140,215299.97726743913,5197811.440771267,16.0,215315.95352142007,5197810.569388036,-0.9985158738091812,0.0544614519737346,266.8780440440181,0,0
127,150,215299.4326970833,5197801.456422225,16.0,215315.40895106382,5197800.585038985,-0.9985158737815555,0.05446145248023468,266.87804401495475,0,0
127,160,215298.88812672615,5197791.472073177,16.0,215314.8643807071,5197790.600689946,-0.9985158738091812,0.0544614519737346,266.8780440440181,0,0
127,170,215298.34355637032,5197781.487724135,16.0,215314.3198103508,5197780.616340894,-0.9985158737799726,0.05446145250925452,266.87804401328947,0,0
127,180,215297.79898601348,5197771.503375088,16.0,215313.77523999484,5197770.631991864,-0.9985158738353711,0.05446145149355964,266.878044071571,0,0
127,190,215297.25441565714,5197761.519026047,16.0,215313.23066963808,5197760.6476428155,-0.9985158738091812,0.0544614519737346,266.8780440440181,0,0
127,200,215296.7098453005,5197751.534676998,16.0,215312.68609928185,5197750.663293774,-0.9985158738353711,0.05446145149355964,266.878044071571,0,0
127,210,215296.16527494416,5197741.550327958,16.0,215312.14152892507,5197740.678944726,-0.9985158738075983,0.05446145200275444,266.87804404235294,0,0
127,220,215295.62070458752,5197731.565978908,16.0,215311.59695856887,5197730.694595684,-0.9985158738353711,0.05446145149355964,266.878044071571,0,0
127,230,215295.07613423132,5197721.581629874,16.0,215311.05238821183,5197720.710246635,-0.9985158737815555,0.05446145248023468,266.87804401495475,0,0
127,240,215294.5315638743,5197711.597280821,16.0,215310.50781785615,5197710.7258976055,-0.9985158738645796,0.05446145095803972,266.87804410229967,0,0
127,250,215293.98699351828,5197701.612931784,16.0,215309.9632474988,5197700.741548545,-0.9985158737815555,0.05446145248023468,266.87804401495475,0,0
127,260,215293.44242316217,5197691.6285827365,16.0,215309.4186771431,5197690.757199505,-0.9985158738091812,0.0544614519737346,266.8780440440181,0,0
127,270,215292.89785280533,5197681.644233694,16.0,215308.8741067858,5197680.772850454,-0.9985158737799726,0.05446145250925452,266.87804401328947,0,0
127,280,215292.35328244936,5197671.659884656,16.0,215308.32953642978,5197670.7885014145,-0.9985158737772101,0.054461452559904436,266.8780440103832,1,0
127,290,215291.8087120923,5197661.675535601,16.0,215307.78496607413,5197660.804152385,-0.9985158738657594,0.054461450936409195,266.8780441035409,1,0
127,300,215291.01001806048,5197652.034453576,16.0,215306.91666177395,5197650.308566624,-0.9941652320924875,0.10786793452407657,263.8075741263568,1,0
127,310,215289.9314261831,5197642.0936074285,16.0,215305.83806989485,5197640.3677204605,-0.9941652319841148,0.10786793552289439,263.807574068793,1,0
127,320,215288.8528343044,5197632.152761267,16.0,215304.75947801804,5197630.426874315,-0.9941652321033247,0.1078679344241947,263.80757413211325,1,0
127,330,215287.77424242607,5197622.211915118,16.0,215303.68088613785,5197620.48602815,-0.994165231987236,0.10786793549412682,263.80757407045087,1,0
127,340,215286.69565054742,5197612.271068958,16.0,215302.60229426096,5197610.5451820055,-0.9941652320956088,0.107867934495309,263.8075741280148,1,0
127,350,215285.61705867018,5197602.330222809,16.0,215301.52370238176,5197600.604335839,-0.9941652319732774,0.10786793562277626,263.80757406303655,0,0
127,360,215284.53846679043,5197592.389376647,16.0,215300.44511050396,5197590.663489695,-0.9941652320956088,0.107867934495309,263.8075741280148,0,0
127,370,215283.45987491243,5197582.448530498,16.0,215299.36651862596,5197580.722643546,-0.9941652320956088,0.107867934495309,263.8075741280148,0,0
127,380,215282.38128303515,5197572.507684349,16.0,215298.28792674677,5197570.781797379,-0.9941652319763987,0.10786793559400869,263.80757406469445,0,0
127,390,215281.30269115543,5197562.566838187,16.0,215297.20933486897,5197560.840951235,-0.9941652320956088,0.107867934495309,263.8075741280148,0,0
127,400,215280.72651675539,5197552.139332395,16.0,215296.71777558234,5197551.610521343,-0.9994536766840448,0.03305069080586413,268.10598998032344,0,0
127,410,215280.39603664316,5197542.145606088,16.0,215296.3872954694,5197541.616795015,-0.9994536766411812,0.033050692102059076,268.1059899060163,0,0
127,420,215280.06555653116,5197532.151879777,16.0,215296.0568153574,5197531.623068703,-0.9994536766401638,0.03305069213282564,268.10598990425257,0,0
127,430,215279.73507641847,5197522.158153461,16.0,215295.72633524527,5197521.629342404,-0.9994536766748322,0.0330506910844551,268.1059899643526,0,0
127,440,215279.40459630644,5197512.164427152,16.0,215295.39585513322,5197511.635616094,-0.9994536766738708,0.03305069111352927,268.10598996268584,0,0
127,450,215279.0741161944,5197502.170700835,16.0,215295.06537502134,5197501.641889783,-0.9994536766840448,0.03305069080586413,268.10598998032344,0,0
127,460,215278.74363608245,5197492.176974522,16.0,215294.73489490923,5197491.648163464,-0.9994536766738708,0.03305069111352927,268.10598996268584,0,0
127,470,215278.41315597016,5197482.183248217,16.0,215294.40441479642,5197481.654437143,-0.9994536766401638,0.03305069213282564,268.10598990425257,0,0
127,480,215278.08267585744,5197472.189521901,16.0,215294.07393468422,5197471.660710843,-0.9994536766738708,0.03305069111352927,268.10598996268584,0,0
127,490,215277.75219574544,5197462.195795592,16.0,215293.74345457222,5197461.666984534,-0.9994536766738708,0.03305069111352927,268.10598996268584,0,0
127,500,215277.42171563345,5197452.202069271,16.0,215293.41297446023,5197451.673258213,-0.9994536766728533,0.033050691144295825,268.1059899609221,0,0
127,510,215277.09123552145,5197442.208342962,16.0,215293.08249434823,5197441.679531904,-0.9994536766738708,0.03305069111352927,268.10598996268584,0,0
127,520,215276.76075540914,5197432.214616658,16.0,215292.7520142354,5197431.685805584,-0.9994536766411253,0.03305069210375102,268.10598990591933,0,0
127,530,215276.43027529714,5197422.220890348,16.0,215292.4215341234,5197421.692079274,-0.9994536766411812,0.033050692102059076,268.1059899060163,0,0
127,540,215276.0997951844,5197412.2271640245,16.0,215292.09105401134,5197411.698352972,-0.9994536766840448,0.03305069080586413,268.10598998032344,0,0
127,550,215275.76931507245,5197402.233437711,16.0,215291.76057389923,5197401.704626653,-0.9994536766728533,0.033050691144295825,268.1059899609221,0,0
127,560,215275.43883496043,5197392.239711402,16.0,215291.43009378723,5197391.710900345,-0.9994536766748322,0.0330506910844551,268.1059899643526,0,0
127,570,215275.10835484843,5197382.245985092,16.0,215291.0996136752,5197381.717174034,-0.9994536766738147,0.03305069111522166,268.10598996258886,0,0
127,580,215274.77787473614,5197372.252258787,16.0,215290.7691335624,5197371.723447713,-0.9994536766401638,0.03305069213282564,268.10598990425257,0,0
127,590,215274.44739462345,5197362.258532462,16.0,215290.43865345023,5197361.729721404,-0.9994536766728533,0.033050691144295825,268.1059899609221,0,0
127,600,215274.11691451145,5197352.264806151,16.0,215290.10817333823,5197351.735995093,-0.9994536766728533,0.033050691144295825,268.1059899609221,0,0
127,610,215273.78643439946,5197342.271079842,16.0,215289.77769322626,5197341.742268785,-0.9994536766748322,0.0330506910844551,268.1059899643526,0,0
127,620,215273.45595428746,5197332.277353532,16.0,215289.44721311424,5197331.748542474,-0.9994536766738147,0.03305069111522166,268.10598996258886,0,0
127,630,215273.1254741751,5197322.2836272195,16.0,215289.11673300152,5197321.754816151,-0.9994536766513553,0.033050691794393496,268.10598992365385,0,0
127,640,215272.79499406315,5197312.289900907,16.0,215288.7862528894,5197311.761089833,-0.9994536766411812,0.033050692102059076,268.1059899060163,0,0
127,650,215272.46451395043,5197302.296174591,16.0,215288.4557727772,5197301.767363533,-0.9994536766738147,0.03305069111522166,268.10598996258886,0,0
