from_cat,dist,cat,to_x,to_y
1,0,1,214068.2833,5195067.5848
2,0,1,212771.963,5195519.9714
3,0,2,235624.2037,5213322.9157
4,0,2,215207.5108,5215892.7807
5,0,3,224260.2108,5193246.565
6,0,3,234309.0609,5192545.1955
7,0,4,251912.263,5201949.3563
8,0,4,250325.2767,5200001.3592
9,0,5,231561.3573,5180589.24
10,0,5,235562.6064,5181208.3572
11,0,6,210968.1306,5212830.2126
12,0,6,213095.5212,5212747.5032
13,0,7,211764.5807,5185401.9348
14,0,7,216748.6859,5185260.3868
15,0,8,219111.6121,5208174.2514
16,0,8,220229.2509,5199615.9633
17,0,9,211959.4972,5179012.138
18,0,9,216736.4287,5178813.352
19,0,10,216570.9156,5219061.7016
19,0,10,216570.9156,5219061.7016
20,0,10,215731.1161,5219174.5921
20,0,10,215731.1161,5219174.5921
21,0,10,219804.8852,5218910.6658
21,0,10,219804.8852,5218910.6658
22,0,10,219487.3216,5218924.6885
22,0,10,219487.3216,5218924.6885
23,0,10,217336.8917,5219024.5413
23,0,10,217336.8917,5219024.5413
24,0,10,216731.6216,5219055.6092
24,0,10,216731.6216,5219055.6092
25,0,10,221357.8241,5218848.0274
25,0,10,221357.8241,5218848.0274
26,0,10,220741.0516,5218875.373
26,0,10,220741.0516,5218875.373
27,0,10,221388.261,5218848.3682
27,0,10,221388.261,5218848.3682
28,0,10,222956.8153,5218780.5934
28,0,10,222956.8153,5218780.5934
29,0,10,223778.7177,5218742.1657
29,0,10,223778.7177,5218742.1657
30,0,10,224565.3259,5218707.7898
30,0,10,224565.3259,5218707.7898
31,0,10,224588.611,5218706.7621
31,0,10,224588.611,5218706.7621
32,0,10,225095.1008,5218681.4023
32,0,10,225095.1008,5218681.4023
33,0,10,227430.2383,5218571.2618
33,0,10,227430.2383,5218571.2618
34,0,10,227735.6732,5218553.4431
35,0,10,216731.6216,5219055.6092
35,0,10,216731.6216,5219055.6092
36,0,10,216570.9156,5219061.7016
36,0,10,216570.9156,5219061.7016
37,0,10,217336.8917,5219024.5413
37,0,10,217336.8917,5219024.5413
38,0,10,219487.3216,5218924.6885
38,0,10,219487.3216,5218924.6885
39,0,10,219804.8852,5218910.6658
39,0,10,219804.8852,5218910.6658
40,0,10,220741.0516,5218875.373
40,0,10,220741.0516,5218875.373
41,0,10,221357.8241,5218848.0274
41,0,10,221357.8241,5218848.0274
42,0,10,221388.261,5218848.3682
42,0,10,221388.261,5218848.3682
