cat,lcat,along,elev
1,73,0,375.6961
2,73,0.999558537843989,375.6864
3,73,1.99911707568798,375.6767
4,73,2.99867561353197,375.6767
5,73,3.99823415137595,375.6805
6,73,4.99779268921994,375.6887
7,73,5.99735122706393,375.6997
8,73,6.99690976490792,375.6978
9,73,7.99646830275191,375.7078
10,73,8.9960268405959,375.7169
11,73,9.99558537843989,375.7275
12,73,10.9951439162839,375.7353
13,73,11.9947024541279,375.7472
14,73,12.9942609919719,375.7621
15,73,13.9938195298158,375.7586
16,73,14.9933780676598,375.7726
17,73,15.9929366055038,375.7888
18,73,16.9924951433478,375.8029
19,73,17.9920536811918,375.8363
20,73,18.9916122190358,375.8157
21,73,19.9911707568798,375.7917
22,73,20.9907292947238,375.7757
23,73,21.9902878325677,375.7757
24,73,22.9898463704117,375.7591
25,73,23.9894049082557,375.7303
26,73,24.9889634460997,375.7019
27,73,25.9885219839437,375.6706
28,73,26.9880805217877,375.6369
29,73,27.9876390596317,375.6496
30,73,28.9871975974757,375.6561
31,73,29.9867561353197,375.6732
32,73,30.9863146731636,375.6732
33,73,31.9858732110076,375.6974
34,73,32.9854317488516,375.7122
35,73,33.9849902866956,375.7238
36,73,34.9845488245396,375.7328
37,73,35.9841073623836,375.6775
38,73,36.9836659002276,375.6328
39,73,37.9832244380716,375.6605
40,73,38.9827829759156,375.6722
41,73,39.9823415137595,375.6767
42,73,40.9819000516035,375.655
43,73,41.9814585894475,375.7007
44,73,42.9810171272915,375.7261
45,73,43.9805756651355,375.7123
46,73,44.9801342029795,375.7229
47,73,45.9796927408235,375.7271
48,73,46.9792512786675,375.7262
49,73,47.9788098165115,375.7148
50,73,48.9783683543554,375.7111
51,73,49.9779268921994,375.7059
52,73,50.9774854300434,375.6995
53,73,51.9770439678874,375.6916
54,73,52.9766025057314,375.6743
55,73,53.9761610435754,375.6731
56,73,54.9757195814194,375.6771
57,73,55.9752781192634,375.6771
58,73,56.9748366571073,375.6833
59,73,57.9743951949513,375.6922
60,73,58.9739537327953,375.6989
61,73,59.9735122706393,375.7039
62,73,60.9730708084833,375.7144
63,73,61.9726293463273,375.7182
64,73,62.9721878841713,375.7258
65,73,63.9717464220153,375.7298
66,73,64.9713049598593,375.7416
67,73,65.9708634977032,375.7462
68,73,66.9704220355472,375.7599
69,73,67.9699805733912,375.7666
70,73,68.9695391112352,375.7592
71,73,69.9690976490792,375.666
72,73,70.9686561869232,375.666
73,73,71.9682147247672,375.7292
74,73,72.9677732626112,375.7261
75,73,73.9673318004552,375.7153
76,73,74.9668903382991,375.7119
77,73,75.9664488761431,375.6974
78,73,76.9660074139871,375.683
79,73,77.9655659518311,375.6686
80,73,78.9651244896751,375.6542
81,73,79.9646830275191,375.6416
82,73,80.9642415653631,375.6523
83,73,81.9638001032071,375.659
84,73,82.963358641051,375.6524
85,73,83.962917178895,375.6577
86,73,84.962475716739,375.6464
87,73,85.962034254583,375.6313
88,73,86.961592792427,375.6519
89,73,87.961151330271,375.6653
90,73,88.960709868115,375.6737
91,73,89.960268405959,375.6749
92,73,90.959826943803,375.6759
93,73,91.9593854816469,375.6875
94,73,92.9589440194909,375.6875
95,73,93.9585025573349,375.6999
96,73,94.9580610951789,375.7093
97,73,95.9576196330229,375.7203
98,73,96.9571781708669,375.7222
99,73,97.9567367087109,375.7291
100,73,98.9562952465549,375.7321
101,73,99.9558537843989,375.6535
102,73,100.955412322243,375.6535
103,73,101.954970860087,375.643
104,73,102.954529397931,375.6642
105,73,103.954087935775,375.6946
106,73,104.953646473619,375.7379
107,73,105.953205011463,375.7166
108,73,106.952763549307,375.7017
109,73,107.952322087151,375.6888
110,73,108.951880624995,375.6885
111,73,109.951439162839,375.6743
112,73,110.950997700683,375.6606
113,73,111.950556238527,375.6471
114,73,112.950114776371,375.6335
115,73,113.949673314215,375.6193
116,73,114.949231852059,375.6242
117,73,115.948790389903,375.6291
118,73,116.948348927747,375.642
119,73,117.947907465591,375.6526
120,73,118.947466003435,375.6557
121,73,119.947024541279,375.6517
122,73,120.946583079123,375.6338
123,73,121.946141616967,375.6289
124,73,122.945700154811,375.6271
125,73,123.945258692655,375.6144
126,73,124.944817230499,375.6213
127,73,125.944375768343,375.6302
128,73,126.943934306187,375.6438
129,73,127.943492844031,375.6617
130,73,128.943051381875,375.6676
131,73,129.942609919719,375.6676
132,73,130.942168457563,375.6598
133,73,131.941726995406,375.6512
134,73,132.94128553325,375.654
135,73,133.940844071094,375.6733
136,73,134.940402608938,375.6649
137,73,135.939961146782,375.6448
138,73,136.939519684626,375.6642
139,73,137.93907822247,375.6821
140,73,138.938636760314,375.6895
141,73,139.938195298158,375.681
142,73,140.937753836002,375.681
143,73,141.937312373846,375.6456
144,73,142.93687091169,375.6833
145,73,143.936429449534,375.7001
146,73,144.935987987378,375.7057
147,73,145.935546525222,375.7019
148,73,146.935105063066,375.6807
149,73,147.93466360091,375.6703
150,73,148.934222138754,375.6723
151,73,149.933780676598,375.6936
152,73,150.933339214442,375.7156
153,73,151.932897752286,375.7216
154,73,152.93245629013,375.7216
155,73,153.932014827974,375.705
156,73,154.931573365818,375.6832
157,73,155.931131903662,375.6832
158,73,156.930690441506,375.7122
159,73,157.93024897935,375.6909
160,73,158.929807517194,375.6887
161,73,159.929366055038,375.6902
162,73,160.928924592882,375.6902
163,73,161.928483130726,375.676
164,73,162.92804166857,375.6606
165,73,163.927600206414,375.6556
166,73,164.927158744258,375.6302
167,73,165.926717282102,375.6389
168,73,166.926275819946,375.6574
169,73,167.92583435779,375.669
170,73,168.925392895634,375.669
171,73,169.924951433478,375.6729
172,73,170.924509971322,375.6807
173,73,171.924068509166,375.6797
174,73,172.92362704701,375.6823
175,73,173.923185584854,375.6605
176,73,174.922744122698,375.6681
177,73,175.922302660542,375.6786
178,73,176.921861198386,375.6814
179,73,177.92141973623,375.6827
180,73,178.920978274074,375.672
181,73,179.920536811918,375.69
182,73,180.920095349762,375.6834
183,73,181.919653887606,375.679
184,73,182.91921242545,375.6888
185,73,183.918770963294,375.6722
186,73,184.918329501138,375.7008
187,73,185.917888038982,375.7072
188,73,186.917446576826,375.6939
189,73,187.91700511467,375.7293
190,73,188.916563652514,375.6908
191,73,189.916122190358,375.7284
192,73,190.915680728202,375.7222
193,73,191.915239266046,375.7249
194,73,192.91479780389,375.7198
195,73,193.914356341734,375.7291
196,73,194.913914879578,375.7297
197,73,195.913473417422,375.7613
198,73,196.913031955266,375.7737
199,73,197.91259049311,375.7617
200,73,198.912149030954,375.7284
201,73,199.911707568798,375.7104
202,73,200.911266106642,375.6939
203,73,201.910824644486,375.7212
204,73,202.91038318233,375.7152
205,73,203.909941720174,375.717
206,73,204.909500258018,375.7012
207,73,205.909058795862,375.7136
208,73,206.908617333706,375.7256
209,73,207.90817587155,375.719
210,73,208.907734409394,375.7237
211,73,209.907292947238,375.7153
212,73,210.906851485082,375.7161
213,73,211.906410022926,375.6941
214,73,212.90596856077,375.6941
215,73,213.905527098614,375.6939
216,73,214.905085636458,375.6975
217,73,215.904644174302,375.6944
218,73,216.904202712146,375.6953
219,73,217.903761249989,375.6852
220,73,218.903319787833,375.6759
221,73,219.902878325677,375.6905
222,73,220.902436863521,375.6966
223,73,221.901995401365,375.7072
224,73,222.901553939209,375.7118
225,73,223.901112477053,375.6966
226,73,224.900671014897,375.6966
227,73,225.900229552741,375.7038
228,73,226.899788090585,375.7738
229,73,227.899346628429,375.7036
230,73,228.898905166273,375.6956
231,73,229.898463704117,375.7022
232,73,230.898022241961,375.7036
233,73,231.897580779805,375.7036
234,73,232.897139317649,375.7046
235,73,233.896697855493,375.7031
236,73,234.896256393337,375.7007
237,73,235.895814931181,375.6966
238,73,236.895373469025,375.7034
239,73,237.894932006869,375.6968
240,73,238.894490544713,375.7134
241,73,239.894049082557,375.7236
242,73,240.893607620401,375.7236
243,73,241.893166158245,375.7527
244,73,242.892724696089,375.7401
245,73,243.892283233933,375.716
246,73,244.891841771777,375.716
247,73,245.891400309621,375.6906
248,73,246.890958847465,375.6786
249,73,247.890517385309,375.6668
250,73,248.890075923153,375.6732
251,73,249.889634460997,375.7063
252,73,250.889192998841,375.7063
253,73,251.888751536685,375.7105
254,73,252.888310074529,375.7116
255,73,253.887868612373,375.7144
256,73,254.887427150217,375.7151
257,73,255.886985688061,375.7172
258,73,256.886544225905,375.6961
259,73,257.886102763749,375.6737
260,73,258.885661301593,375.6708
261,73,259.885219839437,375.6714
262,73,260.884778377281,375.6902
263,73,261.884336915125,375.702
264,73,262.883895452969,375.7028
265,73,263.883453990813,375.7065
266,73,264.883012528657,375.7073
267,73,265.882571066501,375.7041
268,73,266.882129604345,375.7058
269,73,267.881688142189,375.6969
270,73,268.881246680033,375.6838
271,73,269.880805217877,375.6676
272,73,270.880363755721,375.6678
273,73,271.879922293565,375.6759
274,73,272.879480831409,375.6859
275,73,273.879039369253,375.6819
276,73,274.878597907097,375.6634
277,73,275.878156444941,375.6634
278,73,276.877714982785,375.6773
279,73,277.877273520629,375.6797
280,73,278.876832058473,375.6791
281,73,279.876390596317,375.6698
282,73,280.875949134161,375.6639
283,73,281.875507672005,375.658
284,73,282.875066209849,375.6552
285,73,283.874624747693,375.6534
286,73,284.874183285537,375.6499
287,73,285.873741823381,375.6499
288,73,286.873300361225,375.6444
289,73,287.872858899069,375.6389
290,73,288.872417436913,375.6381
291,73,289.871975974757,375.6435
292,73,290.871534512601,375.6539
293,73,291.871093050445,375.671
294,73,292.870651588289,375.6739
295,73,293.870210126133,375.6765
296,73,294.869768663977,375.6807
297,73,295.869327201821,375.6791
298,73,296.868885739665,375.6851
299,73,297.868444277509,375.6789
300,73,298.868002815353,375.6756
301,73,299.867561353197,375.6491
302,73,300.867119891041,375.643
303,73,301.866678428885,375.643
304,73,302.866236966729,375.653
305,73,303.865795504573,375.6603
306,73,304.865354042416,375.6701
307,73,305.86491258026,375.6738
308,73,306.864471118104,375.6854
309,73,307.864029655948,375.6911
310,73,308.863588193792,375.7077
311,73,309.863146731636,375.7096
312,73,310.86270526948,375.6917
313,73,311.862263807324,375.722
314,73,312.861822345168,375.7124
315,73,313.861380883012,375.7274
316,73,314.860939420856,375.6999
317,73,315.8604979587,375.6751
318,73,316.860056496544,375.7012
319,73,317.859615034388,375.6931
320,73,318.859173572232,375.6835
321,73,319.858732110076,375.6768
322,73,320.85829064792,375.671
323,73,321.857849185764,375.6657
324,73,322.857407723608,375.66
325,73,323.856966261452,375.6511
326,73,324.856524799296,375.6236
327,73,325.85608333714,375.6236
328,73,326.855641874984,375.65
329,73,327.855200412828,375.6706
330,73,328.854758950672,375.6805
331,73,329.854317488516,375.6922
332,73,330.85387602636,375.6913
333,73,331.853434564204,375.6833
334,73,332.852993102048,375.675
335,73,333.852551639892,375.6724
336,73,334.852110177736,375.6696
337,73,335.85166871558,375.6637
338,73,336.851227253424,375.6564
339,73,337.850785791268,375.635
340,73,338.850344329112,375.6707
341,73,339.849902866956,375.6966
342,73,340.8494614048,375.6961
343,73,341.849019942644,375.7
344,73,342.848578480488,375.696
345,73,343.848137018332,375.6724
346,73,344.847695556176,375.6925
347,73,345.84725409402,375.7472
348,73,346.846812631864,375.7898
349,73,347.846371169708,375.7754
350,73,348.845929707552,375.7272
351,73,349.845488245396,375.6888
352,73,350.84504678324,375.6888
353,73,351.844605321084,375.7104
354,73,352.844163858928,375.7189
355,73,353.843722396772,375.7431
356,73,354.843280934616,375.7584
357,73,355.84283947246,375.749
358,73,356.842398010304,375.6939
359,73,357.841956548148,375.718
360,73,358.841515085992,375.6802
361,73,359.841073623836,375.6546
362,73,360.84063216168,375.6725
363,73,361.840190699524,375.6721
364,73,362.839749237368,375.7113
365,73,363.839307775212,375.7411
366,73,364.838866313056,375.6842
367,73,365.8384248509,375.6842
368,73,366.837983388744,375.6721
369,73,367.837541926588,375.6885
370,73,368.837100464432,375.7201
371,73,369.836659002276,375.7698
372,73,370.83621754012,375.7851
373,73,371.835776077964,375.7462
374,73,372.835334615808,375.6879
375,73,373.834893153652,375.6879
376,73,374.834451691496,375.6949
377,73,375.83401022934,375.7046
378,73,376.833568767184,375.7227
379,73,377.833127305028,375.7043
380,73,378.832685842872,375.6589
381,73,379.832244380716,375.6741
382,73,380.83180291856,375.6805
383,73,381.831361456404,375.6882
384,73,382.830919994248,375.7039
385,73,383.830478532092,375.7132
386,73,384.830037069936,375.7406
387,73,385.82959560778,375.7639
388,73,386.829154145624,375.6945
389,73,387.828712683468,375.6781
390,73,388.828271221312,375.6781
391,73,389.827829759156,375.7015
392,73,390.827388297,375.6596
393,73,391.826946834844,375.6708
394,73,392.826505372688,375.6642
395,73,393.826063910532,375.7328
396,73,394.825622448375,375.8097
397,73,395.825180986219,375.8092
398,73,396.824739524063,375.7435
399,73,397.824298061907,375.7377
400,73,398.823856599751,375.7362
401,73,399.823415137595,375.7407
402,73,400.822973675439,375.7463
403,73,401.822532213283,375.7527
404,73,402.822090751127,375.8244
405,73,403.821649288971,375.7667
406,73,404.821207826815,375.7118
407,73,405.820766364659,375.6808
408,73,406.820324902503,375.6808
409,73,407.819883440347,375.6976
410,73,408.819441978191,375.7193
411,73,409.819000516035,375.7224
412,73,410.818559053879,375.7193
413,73,411.818117591723,375.6844
