cat,a_cat,b_cat,b_Id,b_gridcode,b_Shape_Leng,b_Shape_Area,b_Class_Name,landType
1,1,89199,89199,15,40.0000000019,100.000000009,"Other Hay/Non Alfalfa",
2,1,89309,89309,14,40.0000000056,100.000000028,"Alfalfa",2
3,1,89376,89376,23,40.0000000019,100.000000009,"Peas",
4,1,89377,89377,20,40,100,"Other Crops",
5,1,89284,89284,35,40.0000000037,100.000000019,"Developed/Open Space",
6,1,89378,89378,36,40,100,"Developed/Low Intensity",
7,1,89285,89285,46,40.0000000037,100.000000019,"Herbaceous Wetlands",
8,1,89380,89380,40,119.999999994,499.999999991,"Deciduous Forest",
9,1,89381,89381,36,40,100,"Developed/Low Intensity",
10,1,89383,89383,44,259.999999993,1500.00000007,"Grassland/Pasture",
11,1,89287,89287,46,40.0000000037,100.000000019,"Herbaceous Wetlands",
12,1,89292,89292,46,40.0000000037,100.000000019,"Herbaceous Wetlands",
13,1,89387,89387,3,40,100,"Soybeans",
14,1,89396,89396,40,40,100,"Deciduous Forest",
15,1,89397,89397,45,100.000000004,400.000000019,"Woody Wetlands",
16,1,89398,89398,40,60.0000000037,200.000000037,"Deciduous Forest",
17,1,89302,89302,40,40.0000000037,100.000000019,"Deciduous Forest",
18,1,89401,89401,46,40,100,"Herbaceous Wetlands",
19,1,89407,89407,21,40,100,"Misc Vegs & Fruits",
20,1,89408,89408,44,60.0000000037,200.000000019,"Grassland/Pasture",
21,1,89410,89410,36,40,100,"Developed/Low Intensity",
22,1,89411,89411,35,60.0000000037,200.000000019,"Developed/Open Space",
23,1,89477,89477,35,60.0000000019,200.000000009,"Developed/Open Space",
24,1,89382,89382,35,39.9999999944,99.9999999721,"Developed/Open Space",
25,1,89478,89478,1,60.0000000019,200.000000009,"Corn",1
26,1,89479,89479,46,40.0000000019,100.000000009,"Herbaceous Wetlands",
27,1,89480,89480,44,39.9999999963,99.9999999814,"Grassland/Pasture",
28,1,89291,89291,44,40.0000000056,100.000000028,"Grassland/Pasture",
29,1,89481,89481,36,140.000000006,700.000000065,"Developed/Low Intensity",
30,1,89482,89482,36,59.9999999963,199.999999981,"Developed/Low Intensity",
31,1,89388,89388,46,40,100,"Herbaceous Wetlands",
32,1,89483,89483,44,40,100,"Grassland/Pasture",
33,1,89484,89484,46,40,100,"Herbaceous Wetlands",
34,1,89499,89499,44,40,100,"Grassland/Pasture",
35,1,89501,89501,44,40,100,"Grassland/Pasture",
36,1,89566,89566,36,40.0000000019,100.000000009,"Developed/Low Intensity",
37,1,89567,89567,44,60.0000000019,200.000000019,"Grassland/Pasture",
38,1,89568,89568,36,99.9999999963,599.999999963,"Developed/Low Intensity",
39,1,89574,89574,44,220.000000002,1200.00000002,"Grassland/Pasture",
40,1,89575,89575,36,60.0000000019,200.000000019,"Developed/Low Intensity",
41,1,89584,89584,44,340.000000002,1900.00000007,"Grassland/Pasture",
42,1,89379,89379,35,139.999999991,899.999999851,"Developed/Open Space",
43,1,89586,89586,36,99.9999999963,399.999999981,"Developed/Low Intensity",
44,1,89589,89589,1,79.9999999963,299.999999991,"Corn",1
45,1,89590,89590,35,100,600,"Developed/Open Space",
46,1,89593,89593,36,40.0000000019,100.000000009,"Developed/Low Intensity",
47,1,89594,89594,35,40.0000000019,100.000000009,"Developed/Open Space",
48,1,89595,89595,36,40,100,"Developed/Low Intensity",
49,1,89485,89485,40,40,100,"Deciduous Forest",
50,1,89598,89598,44,40,100,"Grassland/Pasture",
51,1,89487,89487,36,159.999999994,1299.99999992,"Developed/Low Intensity",
52,1,89600,89600,37,60.0000000019,200.000000009,"Developed/Med Intensity",
53,1,89488,89488,36,39.9999999963,99.9999999814,"Developed/Low Intensity",
54,1,89601,89601,37,120,800.000000019,"Developed/Med Intensity",
55,1,89299,89299,45,59.9999999907,199.999999963,"Woody Wetlands",
56,1,89607,89607,40,100.000000006,400.000000037,"Deciduous Forest",
57,1,89300,89300,40,40.0000000037,100.000000019,"Deciduous Forest",
58,1,89608,89608,45,100.000000004,500.000000019,"Woody Wetlands",
59,1,89613,89613,14,40.0000000019,100.000000009,"Alfalfa",2
60,1,89614,89614,15,40,100,"Other Hay/Non Alfalfa",
61,1,89617,89617,3,160.000000006,800.000000047,"Soybeans",
62,1,89314,89314,1,40,100,"Corn",1
63,1,89619,89619,44,59.9999999963,199.999999963,"Grassland/Pasture",
64,1,89618,89618,1,39.9999999963,99.9999999814,"Corn",1
65,1,89370,89370,42,40,100,"Mixed Forest",
66,1,89673,89673,44,60,200,"Grassland/Pasture",
67,1,89674,89674,44,60,200,"Grassland/Pasture",
68,1,89675,89675,35,120.000000002,500.000000009,"Developed/Open Space",
69,1,89582,89582,36,120,600,"Developed/Low Intensity",
70,1,89679,89679,1,740.000000004,8200.00000022,"Corn",1
71,1,89289,89289,35,40.0000000037,100.000000019,"Developed/Open Space",
72,1,89683,89683,36,499.999999989,3399.99999996,"Developed/Low Intensity",
73,1,89687,89687,46,60,200,"Herbaceous Wetlands",
74,1,89688,89688,44,60,200,"Grassland/Pasture",
75,1,89692,89692,44,379.999999996,3300.00000005,"Grassland/Pasture",
76,1,89694,89694,36,60,200,"Developed/Low Intensity",
77,1,89704,89704,44,39.9999999963,99.9999999814,"Grassland/Pasture",
