cat,orig_cat
1,3
2,16
3,21
4,28
5,29
6,36
7,41
8,43
9,49
10,55
11,66
12,70
13,75
14,76
15,87
16,92
17,94
18,96
19,97
20,99
21,106
22,108
23,111
24,116
25,124
26,127
27,131
28,133
29,135
30,138
31,143
32,146
33,148
34,151
35,164
36,166
37,168
38,170
39,175
40,184
41,187
42,189
43,199
44,205
45,208
46,210
47,216
48,218
49,225
50,234
51,243
52,250
53,256
54,258
55,262
56,263
57,265
58,273
59,284
60,291
61,293
62,295
63,300
64,303
65,306
66,309
67,310
68,317
69,318
70,319
71,321
72,323
73,324
74,331
75,339
76,340
77,344
78,353
79,358
80,362
81,370
82,382
83,390
84,393
85,396
86,401
87,409
88,415
89,420
90,426
91,433
92,435
93,521
94,448
95,459
96,460
97,461
98,462
99,463
100,465
101,467
102,470
103,471
104,472
105,480
106,482
107,485
108,486
109,489
110,490
111,496
112,498
113,502
114,506
115,507
116,510
117,514
118,531
119,533
120,542
121,544
122,553
123,557
124,565
125,567
126,572
127,575
128,578
129,584
130,585
131,586
132,588
133,589
134,590
135,591
136,592
137,593
138,598
139,608
140,622
141,631
142,632
143,638
144,642
145,643
146,644
147,646
148,649
149,659
150,661
151,664
152,665
153,671
154,676
155,681
156,686
157,692
158,699
159,702
160,706
161,710
162,715
163,721
164,728
165,734
166,742
167,757
168,2572
169,768
170,774
171,779
172,782
173,788
174,792
175,795
176,801
177,805
178,807
179,808
180,810
181,813
182,818
183,820
184,823
185,824
186,826
187,829
188,831
189,833
190,834
191,842
192,847
193,849
194,852
195,859
196,862
197,864
198,869
199,870
200,876
201,879
202,881
203,882
204,883
205,887
206,896
207,907
208,908
209,910
210,914
211,919
212,922
213,933
214,935
215,937
216,940
217,945
218,948
219,950
220,954
221,955
222,965
223,970
224,972
225,973
226,976
227,980
228,985
229,987
230,990
231,991
232,1003
233,1005
234,1010
235,1011
236,1013
237,1014
238,1020
239,1022
240,1026
241,1033
242,1034
243,1039
244,1043
245,1047
246,1050
247,1053
248,1057
249,1063
250,1064
251,1067
252,1073
253,1076
254,1087
255,1090
256,1093
257,1105
258,1107
259,1110
260,1112
261,1114
262,1122
263,1124
264,1129
265,1137
266,1139
267,1141
268,1142
269,1144
270,1150
271,1153
272,2476
273,1160
274,1164
275,1165
276,1167
277,1182
278,1191
279,1193
280,1194
281,1197
282,1201
283,1202
284,1205
285,1214
286,1217
287,1218
288,1219
289,1221
290,1222
291,1224
292,1237
293,1244
294,1247
295,1248
296,1250
297,1253
298,1254
299,1257
300,1259
301,1263
302,1265
303,1268
304,1272
305,1277
306,1281
307,1288
308,1292
309,1298
310,1300
311,1305
312,1309
313,1313
314,1316
315,1317
316,1321
317,1323
318,1339
319,1341
320,1344
321,1349
322,1350
323,1355
324,1357
325,1360
326,1365
327,1366
328,1368
329,1373
330,1374
331,1379
332,1380
333,1388
334,1392
335,1394
336,1401
337,1408
338,1410
339,1421
340,1425
341,1426
342,1430
343,1432
344,1436
345,1439
346,1442
347,1461
348,1463
349,1467
350,1475
351,1480
352,1487
353,1489
354,1494
355,1495
356,1496
357,1504
358,1506
359,1513
360,1517
361,1519
362,1524
363,1528
364,1529
365,1532
366,1541
367,1549
368,1552
369,1560
370,1568
371,1570
372,1572
373,1574
374,1578
375,1580
376,1581
377,1583
378,1587
379,1590
380,1593
381,1594
382,1606
383,1609
384,1611
385,1613
386,1616
387,1623
388,1626
389,1628
390,1630
391,1636
392,1638
393,1666
394,1674
395,1675
396,1676
397,1685
398,1688
399,1694
400,1695
401,1707
402,1708
403,1712
404,1716
405,1717
406,1720
407,1727
408,1731
409,1736
410,1737
411,1738
412,1748
413,1754
414,1691
415,1767
416,1770
417,1771
418,1772
419,1776
420,1779
421,1782
422,1784
423,1788
424,1790
425,1800
426,1802
427,1804
428,1805
429,1806
430,1810
431,1814
432,1829
433,1833
434,1797
435,1844
436,1847
437,1849
438,1856
439,1860
440,1861
441,1866
442,1872
443,1874
444,1878
445,1881
446,1882
447,1885
448,1888
449,1895
450,1899
451,1903
452,1906
453,1907
454,1911
455,1920
456,1924
457,1926
458,1929
459,1936
460,1939
461,1940
462,1943
463,1952
464,1957
465,1962
466,1977
467,1979
468,1995
469,1999
470,2008
471,2020
472,2023
473,2026
474,2029
475,2037
476,2048
477,2051
478,2055
479,2063
480,2067
481,2077
482,2079
483,2083
484,2084
485,2086
486,2086
487,2088
488,2092
489,2095
490,2107
491,2123
492,2128
493,2130
494,2138
495,2144
496,2145
497,2148
498,2158
499,2160
500,2163
501,2168
502,2173
503,2175
504,2188
505,2199
506,2201
507,2203
508,2213
509,2216
510,2219
511,2220
512,2221
513,2227
514,2234
515,2240
516,2242
517,2250
518,2253
519,2255
520,2256
521,2261
522,2269
523,2273
524,2274
525,2277
526,2280
527,2284
528,2299
529,2304
530,2315
531,2318
532,2320
533,2322
534,2324
535,2330
536,2331
537,2344
538,2346
539,2353
540,2366
541,2367
542,2369
543,2376
544,2378
545,2382
546,2385
547,2387
548,2394
549,2396
550,2398
551,2402
552,2417
553,2430
554,2431
555,2442
556,2445
557,2455
558,2456
559,2458
560,2459
561,2463
562,2465
563,2468
564,2482
565,2487
566,2490
567,2492
568,2495
569,2496
570,2498
571,2507
572,2513
573,2518
574,2523
575,2526
576,2530
577,2532
578,2539
579,2540
580,2551
581,2557
582,2559
583,2564
584,2568
585,2575
586,2579
587,2600
588,2609
589,2622
590,2629
591,2633
592,2638
593,2645
594,2655
595,2662
596,2673
597,2678
598,2682
599,2693
600,2697
601,2701
602,2707
603,2720
604,2728
605,2732
606,2734
607,2743
608,2747
609,2771
610,2772
611,2775
612,2777
613,2778
614,2783
615,2788
616,2790
617,2792
618,2796
619,2800
620,2801
621,2804
622,2812
623,2815
624,2823
625,2824
626,2826
627,2828
628,2832
629,2833
630,2835
631,2836
632,2838
633,2050
634,2864
635,2878
636,2893
637,2902
638,3727
639,2912
640,2913
641,2916
642,2919
643,3791
644,2934
645,2950
646,2955
647,2958
648,2965
649,2989
650,2991
651,3001
652,3006
653,3008
654,3010
655,3011
656,3020
657,3022
658,3024
659,3027
660,3029
661,3031
662,3032
663,3039
664,3043
665,3052
666,3060
667,3075
668,3082
669,3084
670,3085
671,3097
672,3101
673,3103
674,3117
675,3126
676,3144
677,3147
678,3148
679,3149
680,3154
681,3158
682,3183
683,3196
684,3213
685,3217
686,3224
687,3229
688,3231
689,3238
690,3240
691,3241
692,3243
693,3245
694,3249
695,3251
696,3253
697,3254
698,3255
699,3257
700,3262
701,3263
702,3264
703,3354
704,3281
705,3283
706,3294
707,3297
708,3299
709,3300
710,3312
711,3313
712,3314
713,3317
714,3318
715,3326
716,3367
717,3340
718,3341
719,3351
720,3331
721,3356
722,3327
723,3319
724,3336
725,3373
726,3374
727,3375
728,3382
729,3391
730,3400
731,3401
732,3408
733,3415
734,3418
735,3419
736,3422
737,3423
738,3426
739,3434
740,3435
741,3436
742,3439
743,3442
744,3453
745,3456
746,3460
747,3470
748,3471
749,3473
750,3487
751,3490
752,3494
753,3497
754,3508
755,3525
756,3530
757,3536
758,3543
759,3544
760,3547
761,3552
762,3553
763,3557
764,3560
765,3561
766,3563
767,3567
768,3578
769,3579
770,3582
771,3590
772,3593
773,3598
774,3605
775,3607
776,3612
777,3614
778,3634
779,3636
780,3637
781,3645
782,3649
783,3650
784,3656
785,3659
786,3669
787,3671
788,3672
789,3682
790,3683
791,3684
792,3686
793,3688
794,3689
795,3693
796,3694
797,3715
798,3719
799,3726
800,3740
801,3757
802,3761
803,3763
804,3770
805,3810
806,3822
807,3831
808,3832
809,3833
810,3839
811,3785
812,5
813,14
814,13
815,15
816,4
817,24
818,2662
819,45
820,32
821,33
822,47
823,58
824,59
825,63
826,34
827,65
828,67
829,73
830,72
831,72
832,68
833,82
834,88
835,84
836,86
837,80
838,83
839,90
840,95
841,102
842,100
843,110
844,113
845,114
846,115
847,118
848,120
849,121
850,121
851,132
852,122
853,152
854,157
855,158
856,159
857,173
858,163
859,178
860,180
861,197
862,192
863,193
864,203
865,206
866,213
867,220
868,219
869,224
870,233
871,259
872,254
873,254
874,270
875,281
876,274
877,275
878,286
879,296
880,296
881,298
882,288
883,301
884,299
885,305
886,307
887,312
888,2467
889,315
890,313
891,314
892,320
893,333
894,335
895,328
896,347
897,351
898,354
899,355
900,356
901,368
902,384
903,399
904,406
905,412
906,424
907,431
908,437
909,439
910,444
911,361
912,456
913,451
914,452
915,453
916,466
917,454
918,455
919,476
920,473
921,473
922,487
923,475
924,493
925,475
926,494
927,500
928,500
929,504
930,509
931,524
932,529
933,551
934,552
935,537
936,561
937,568
938,581
939,570
940,574
941,575
942,537
943,1146
944,1145
945,601
946,605
947,615
