from_cat,dist,cat
1,0,1
2,0,1
3,0,2
4,0,2
5,0,3
6,0,3
7,0,4
8,0,4
9,0,5
10,0,5
11,0,6
12,0,6
13,0,7
14,0,7
15,0,8
16,0,8
17,0,9
18,0,9
19,0,10
19,0,10
20,0,10
20,0,10
21,0,10
21,0,10
22,0,10
22,0,10
23,0,10
23,0,10
24,0,10
24,0,10
25,0,10
25,0,10
26,0,10
26,0,10
27,0,10
27,0,10
28,0,10
28,0,10
29,0,10
29,0,10
30,0,10
30,0,10
31,0,10
31,0,10
32,0,10
32,0,10
33,0,10
33,0,10
34,0,10
35,0,10
35,0,10
36,0,10
36,0,10
37,0,10
37,0,10
38,0,10
38,0,10
39,0,10
39,0,10
40,0,10
40,0,10
41,0,10
41,0,10
42,0,10
42,0,10
43,0,10
43,0,10
44,0,10
44,0,10
45,0,10
45,0,10
46,0,10
46,0,10
47,0,10
47,0,10
48,0,10
48,0,10
49,0,10
49,0.914825295016271,10
50,0,10
50,0.914920461073907,10
51,0.914872879280637,10
51,0,10
52,0.914768264196656,10
52,0,10
53,0,10
53,0,10
54,0,10
55,0,11
55,0,11
56,0,11
57,0,11
58,0,11
58,0,11
59,0,12
59,0.590211390928165,72
60,0,12
60,0,12
60,0.883008846571486,72
61,0,12
61,0,12
62,0,12
63,0,12
63,0,12
64,0,12
64,0,12
64,0.883008846571486,72
65,0,13
66,0,13
67,0,14
68,0,14
69,0,15
70,0,15
71,0,16
72,0,16
73,0,17
74,0,17
74,0,17
75,0,17
75,0,17
76,0,17
77,0,18
78,0,18
79,0,19
80,0,19
81,0,19
82,0,19
82,0,19
83,0,19
84,0,19
84,0,19
85,0,19
85,0,19
86,0,19
86,0,19
87,0,19
87,0,19
88,0.00024962744388222,19
88,0,19
89,0,19
89,1.44225988197698e-05,19
90,0,19
90,0,19
91,0,19
91,0,19
92,0,19
93,0,19
94,0,19
94,0,19
95,0,19
95,0,19
96,0,19
96,0,19
97,0,20
98,0,20
99,0,21
100,0,21
101,0,22
101,0.996513534983497,132
102,0,22
103,0,23
104,0,23
105,0,24
106,0,24
107,0,25
108,0,25
109,0,26
110,0,26
111,0,27
112,0,27
113,0,28
114,0,28
115,0,29
116,0,29
117,0,30
118,0,30
119,0,30
120,0,30
121,0,31
122,0,31
123,0,32
124,0,32
125,0,33
125,4.90456781892828e-05,124
126,0,33
127,0,34
127,3.30156637409312e-05,124
128,0,34
129,0,35
129,0,131
130,0,35
131,0,36
132,0,36
133,0,37
134,0,37
135,0,38
136,0,38
136,0.185154142462691,39
137,0,39
138,0,39
139,0,40
140,0,40
141,0,41
142,0,41
143,0,42
144,0,42
144,0,42
145,0,42
146,0,42
147,0,43
147,0,132
148,0,43
149,0,44
150,0,44
150,0,45
151,0,45
152,0,45
153,0,45
154,0,45
155,0,46
155,0.211713249661991,129
156,0,46
157,0.222894786834913,46
157,0,47
158,0,47
159,0,48
160,0,48
161,0,48
161,0,49
162,0,49
163,0,50
164,0,50
165,0,51
166,0,51
167,0,51
167,0,52
168,0,52
169,0,53
170,0,53
171,0,54
172,0,54
173,0,55
174,5.08337594459504e-05,54
174,0,55
175,0,56
176,0,56
177,0,57
178,0,57
179,0,58
179,0,123
180,0,58
181,0,59
182,0,59
183,0,59
184,0,59
185,0,59
186,0,59
187,0,60
188,0,60
189,0,60
189,0,61
190,0,61
191,0,62
192,0,62
193,0,63
194,0,63
195,0,63
196,0,63
197,0,64
198,0,64
199,0,65
199,0,74
200,0,65
201,0,66
202,0,66
202,0,66
203,0,66
203,0,66
204,0,66
205,0,66
205,0,67
206,0,67
207,0,68
208,0,68
208,0.00510098094417831,68
209,0.00510098094417831,68
209,0,68
210,0.0046270078039443,68
210,0,68
211,0,68
211,0.00354859825365369,68
212,0,68
212,0,68
213,0,68
213,0,68
214,0,68
214,0,68
215,0,68
215,0,68
216,0,68
216,0,68
217,0,68
217,0,68
218,0,68
218,0,68
219,0,68
219,0,68
220,0,68
220,0,68
221,0,68
221,0,68
222,0,68
222,0,68
223,0,68
223,0,68
224,0,68
224,0,68
225,0,68
225,0,68
226,0,68
226,0,68
227,0,68
227,0,68
228,0,68
228,0,68
229,0,68
229,0,68
230,0,68
230,0,68
230,0.456230906654598,69
231,0,68
231,0,68
231,0.456230906654598,69
232,0,68
232,0,69
233,0.456230906654598,68
233,0.456230906654598,68
233,0,69
234,0,69
234,0,69
235,0,69
235,0,69
236,0,69
236,0,69
237,0,69
237,0,69
238,0,69
238,0,69
239,0,69
239,0,69
240,0,69
241,0,68
241,0,69
242,0,69
242,0,69
243,0,69
243,0,69
244,0,69
244,0,69
245,0,69
245,0,69
246,0,69
246,0,69
247,0,69
247,0,69
248,0,69
248,0,69
249,0,69
249,0,69
250,0,69
251,0,69
251,0,69
252,0,69
252,0,69
253,0,69
253,0,69
254,0,69
254,0,69
255,0,70
256,0,70
256,0,70
257,0,70
257,0,70
258,0,70
259,0,70
259,0,70
260,0,70
261,0,71
261,0.484589939664286,72
262,0,71
263,0,72
263,0,72
264,0,72
264,0,72
265,0,72
265,0,72
266,0,72
266,0,72
267,0,72
267,0,72
268,0.0385693945871373,72
268,0,72
269,0,72
270,0,72
270,0,72
271,0,72
271,0,72
272,0,72
272,0,72
273,0,72
273,0,72
274,0,72
274,0,72
275,0,72
275,0,72
276,0,72
276,0,72
277,0,72
278,0.00922734679643918,12
278,0,72
278,0,72
279,0,72
279,0.0711564906238031,72
280,0.00922734679643918,12
280,0,72
280,0,72
281,0,73
282,0,73
283,0,74
283,0,74
284,0,74
285,0,74
285,0,74
286,0,65
286,0,74
287,0,75
288,0,75
289,0,75
289,0,76
290,0,76
291,0,77
292,0,77
293,0,78
294,0,78
295,0,79
296,0,79
296,0.666694738888675,124
297,0,80
298,0,80
299,6.98003567332027e-05,80
299,0,81
300,0,81
301,0,82
302,0,82
303,0,83
304,0,83
305,0,84
305,2.57835471588242e-05,118
306,0,84
307,0,85
307,4.7983076039264e-06,119
308,0,85
309,0,86
309,5.06311376674592e-05,119
310,0,86
311,0,87
311,8.51899472707759e-05,119
312,0,87
313,0,88
314,0,88
315,0,89
315,0,115
316,0,89
317,0,90
318,0,90
319,0,90
320,0,90
321,0,91
322,0,91
323,0,92
324,0,92
324,0,92
325,0,92
325,0,92
326,0,92
327,0,92
327,0,93
328,0,93
329,0,92
329,0,94
330,0,94
331,0,95
332,0,95
333,0,95
333,0,96
334,0,96
335,0,97
336,0,97
337,0,95
337,0,97
338,0,97
339,0,95
339,0,98
340,0,98
341,0,99
342,0,99
343,0,99
343,0,100
344,0,100
344,0,101
345,0,100
345,0,101
346,0,101
347,0,102
348,0,102
348,0,103
349,0,103
350,0,103
351,0,104
352,0,104
352,0,105
353,0,105
354,0,105
355,0,106
355,0,118
356,0,106
357,0.972038301423502,106
357,0,106
358,0,106
359,0,107
360,0,107
361,0,108
361,0.160011395101981,108
362,0,108
363,0,108
364,0.135021382999486,108
364,0,108
365,0,109
366,0,109
367,0,110
367,0,110
368,0,110
368,0,110
369,0,110
369,0,110
370,0,110
370,0,110
371,0,110
371,0,110
372,0,110
373,0,110
373,0,110
374,0,110
375,0,111
376,0,111
377,0,112
377,0,112
378,0,112
379,0,112
379,0,112
380,0,112
381,0,112
381,0,112
382,0,112
382,0,112
383,0,113
384,0,113
385,0,114
386,0,114
387,0,114
388,0,114
389,0,114
390,0,114
391,0,115
392,0,115
393,0,116
394,0,116
394,0.393673110168431,119
395,0,117
395,0.397982331236865,119
396,0,117
397,0,118
397,0,118
398,0,118
399,0,118
400,0,118
400,0,118
401,0,119
402,0,119
403,0,119
404,0,119
405,0.388299183583741,120
405,0,120
406,0,120
407,0,120
407,0,120
408,0,120
409,0.604645646324653,120
409,0,120
410,0,120
411,0,120
412,0,120
413,0,121
414,0.0197251842988454,59
414,0,121
414,0,121
414,0,121
415,0,121
415,0,121
