cat,lcat,along,x,y,elev
1,1,0,224260.2108,5193246.565,276.193429833984
2,1,10301.403345434,234309.0609,5192545.1955,290.092897705078
3,2,0,231561.3573,5180589.24,286.626709277344
4,2,5239.03635119847,235562.6064,5181208.3572,295.027629052734
5,3,0,219111.6121,5208174.2514,270.492903369141
6,3,10135.4160009715,220229.2509,5199615.9633,278.784006591797
7,4,0,211959.4972,5179012.138,273.864567333984
8,4,4782.12534695713,216736.4287,5178813.352,278.715806103516
9,5,0,216570.9156,5219061.7016,267.096478125
10,5,851.209879717778,215731.1161,5219174.5921,264.741012597656
11,7,0,217336.8917,5219024.5413,268.532762548828
12,7,606.070622645623,216731.6216,5219055.6092,267.841679150391
13,8,0,221357.8241,5218848.0274,270.675236425781
14,8,617.379287215485,220741.0516,5218875.373,270.684761425781
15,9,0,227430.2383,5218571.2618,272.988955664063
16,9,305.95421913666,227735.6732,5218553.4431,272.803329785156
17,11,0,219804.8852,5218910.6658,270.319611621094
18,11,936.831420384639,220741.0516,5218875.373,270.684761425781
19,15,0,225095.1008,5218681.4023,272.071969775391
20,15,2337.74274024863,227430.2383,5218571.2618,272.988955664063
21,17,0,225391.0965,5218677.7228,274.404311132812
22,17,0.91482529520994,225391.139700223,5218678.63660472,274.432011767578
23,18,0,218965.8056,5174687.7148,280.196720361328
24,18,785.566310072233,218942.7955,5173902.4927,280.709879736328
25,19,0,223828.6045,5189805.761,277.366641943359
26,19,7.31303201475334,223832.4591,5189799.5463,277.432070507813
27,20,0,229315.938,5187975.5232,282.542884130859
28,20,4330.16787700667,232183.6928,5186206.8873,288.475024365234
29,21,0,231385.0752,5211894.2473,279.465155712891
30,21,13862.4078631919,217551.2701,5212470.8243,267.465609082031
31,22,0,231414.2124,5200743.3818,282.032087402344
32,22,4557.57811996709,227568.0694,5199926.8319,277.879280419922
33,23,0,224741.0682,5200064.0334,275.448228808594
34,23,5852.59712053013,227600.0386,5196110.175,280.527081591797
35,24,0,223833.9879,5191415.5667,276.528479150391
36,24,1157.98842689484,224991.0219,5191370.8795,280.507492089844
37,25,0,224991.0219,5191370.8795,280.507492089844
38,25,3666.71944259262,228654.6992,5191226.0586,282.601299169922
39,26,0,239231.4677,5164932.0479,312.663557226562
40,26,1612.59152350062,237622.8092,5164979.7154,305.989359960938
41,28,0,240159.4088,5164904.0231,314.179594921875
42,28,2024.63941655678,242180.877300638,5164824.93251441,326.677994824219
43,31,0,215293.3164,5198613.2001,273.524699707031
44,31,3635.11728785482,218557.6307,5198086.3936,276.001906640625
45,32,0,234496.2162,5196825.1874,289.326972363281
46,32,3469.3945387958,234352.0875,5193362.4964,292.844301855469
47,33,0,213710.1556,5204715.6302,265.248888574219
48,33,1121.2909206988,214829.1889,5204648.3235,272.293165576172
49,34,0,210410.8699,5190295.1483,275.421272314453
50,34,10964.8406993609,221352.678,5189891.0619,279.941870800781
51,35,0,218203.0493,5159391.771,284.626626708984
52,35,3635.14521830805,221833.9718,5159221.3245,290.183961914063
53,36,0,243495.8025,5127205.5871,307.966876464844
54,36,4377.86778768908,243648.8732,5123130.5824,304.867474951172
55,37,0,231720.8473,5139428.7709,295.965804345703
56,37,4312.22601521512,227413.7932,5139623.4941,294.874912792969
57,38,0,229879.8931,5133035.0064,294.848923681641
58,38,8049.44801873731,237912.3431,5132661.4209,302.911538525391
59,39,0,235223.781,5166290.4729,299.375735742187
60,39,4581.26833763694,230944.4579,5166085.7098,288.548750097656
61,40,0,214321.1748,5199811.6051,271.798721337891
62,40,5923.3241287502,220238.4112,5199577.3877,274.686768310547
63,41,0,215310.4537,5198010.9102,273.332506787109
64,41,2496.73285611098,217801.8187,5197899.2844,275.297149658203
65,42,0,214503.8453,5210254.2733,270.786318017578
66,42,978.513189870568,214618.507199999,5211169.6817,269.922463769531
67,43,0,64102.2555999998,5148911.4011,
68,43,2133.30475860774,66231.8679999998,5148829.5237,
69,44,0,247517.092,5135490.6422,320.704740820313
70,44,1967.91228664798,249481.5761,5135413.78,332.923343847656
71,45,0,226803.7471,5138034.7875,293.686129541016
72,45,9348.24341087919,235267.2203,5138758.9333,299.545027734375
73,46,0,230939.8379,5130546.3743,297.389438378906
74,46,2680.77715916286,230821.2786,5127870.2286,295.633303710938
75,47,0,222011.2163,5161160.866,288.589752246094
76,47,4507.13325870599,226175.5845,5161465.5443,293.687264355469
77,48,0,222167.1606,5160832.2022,289.381424853516
78,48,2353.9082133881,224518.7827,5160728.616,292.911479150391
79,49,0,229992.2343,5155938.0062,296.788730859375
80,49,13.3504986065449,229981.8548,5155946.0875,296.501771630859
81,50,0,227371.7661,5163521.8754,291.262184472656
82,50,11.4648100061867,227360.4359,5163521.4842,291.071572851563
83,51,0,235739.37,5158590.8278,300.167799023438
84,51,9098.64896482321,243367.2234,5156714.6719,331.136773828125
85,52,0,236293.0567,5202073.032,295.349041992187
86,52,12098.035119863,224213.9285,5202626.2218,273.9765046875
87,53,0,233103.7145,5202242.3731,282.539219238281
88,53,2196.87137987478,234468.2138,5200585.1974,286.084119140625
