cat,lcat,along,x,y
1,1,0,214068.2833,5195067.5848
2,1,1579.55331408192,212771.963,5195519.9714
3,2,0,239231.4677,5164932.0479
4,2,1612.59152350062,237622.8092,5164979.7154
5,3,0,227371.7661,5163521.8754
6,3,11.4648100061867,227360.4359,5163521.4842
7,5,0,229404.4093,5189588.9555
8,5,1594.01950946646,229315.954474111,5187997.40216583
9,6,0,219948.9326,5165783.6968
10,6,1439.79342925011,219881.676747657,5164345.50099964
11,7,0,295905.3076,5202872.8211
12,7,1411.47655114332,295898.3232,5203914.9609
13,8,0,289778.0151,5202427.8916
14,8,60.3937520098186,289816.715,5202474.2567
15,9,0,273151.18,5214198.6303
16,9,1047.91687799073,273921.800515301,5214587.40048102
17,10,0,274798.5935,5189229.2953
18,10,542.111700112102,274455.900666245,5188857.09787819
19,11,0,241183.6968,5139062.5152
20,11,1511.76076386629,241231.505839898,5140572.1001845
21,12,0,289563.3332,5204651.1009
22,12,900.289470491248,290314.3861,5204578.8869
23,13,0,228008.1098,5176099.2254
24,13,45.3977253019357,228045.1029,5176124.7631
25,14,0,242972.4365,5142171.2288
26,14,1517.68893870167,244488.475,5142112.0271
27,15,0,234114.7959,5158665.3432
28,15,1659.52564918912,235739.37,5158590.8278
29,16,0,225390.2259,5218678.6799
30,16,0.876899926050876,225391.101819503,5218678.63844515
31,18,0,225391.0965,5218677.7228
32,18,0.876386674911086,225391.13788506,5218678.59820898
33,20,0,223828.6045,5189805.761
34,20,1.33725861476228,223829.309350881,5189804.62458201
35,22,0,223641.1139,5189972.0849
36,22,308.824176996654,223829.18803342,5189805.85784548
37,23,0,223903.890755004,5189790.9215674
38,23,6.32717085414235,223897.60909219,5189791.26932525
39,24,0,223897.60909219,5189791.26932525
40,24,0.695750642298275,223896.929881888,5189791.42013083
41,25,0,223896.929881888,5189791.42013083
42,25,14.6498872806861,223882.501709834,5189792.14744578
43,26,0,223882.501709834,5189792.14744578
44,26,7.93010553995669,223874.720425793,5189792.97749794
45,27,0,223874.720425793,5189792.97749794
46,27,14.5946080034492,223860.417387801,5189795.06595088
47,28,0,223860.417387801,5189795.06595088
48,28,14.5185058617747,223845.918344055,5189795.81744466
49,29,0,223845.918344055,5189795.81744466
50,29,11.5330283580321,223834.873365045,5189798.36977739
51,30,0,223903.890755004,5189790.9215674
52,30,6.29138759226437,223897.60909219,5189791.26932525
53,31,0,223897.60909219,5189791.26932525
54,31,0.713525293690837,223896.929881888,5189791.42013083
55,32,0,223896.929881888,5189791.42013083
56,32,14.9572537179355,223882.501709834,5189792.14744578
57,33,0,223882.501709834,5189792.14744578
58,33,8.17247296126495,223874.720425793,5189792.97749794
59,34,0,223874.720425793,5189792.97749794
