fromPt	dist	toPt	fromLine	toLine
1	0.000	1		
2	0.000	2		
3	0.000	3		
4	0.000	4		
5	0.000	5		
6	0.000	6		
7	0.000	7		
8	0.000	8		
9	0.000	9		
10	0.000	10		
11	0.000	11		
12	0.000	12		
13	0.000	13		
14	0.000	14		
15	0.000	15		
16	0.000	16		
17	0.000	17		
18	0.000	18		
19	0.000	19		
19	0.000	36		
20	0.000	20		
20	0.000	53		
21	0.000	21		
21	0.000	39		
22	0.000	22		
22	0.000	38	11.000	19.000
23	0.000	23		
23	0.000	37		
24	0.000	24		
24	0.000	35	12.000	18.000
25	0.000	25		
25	0.000	41		
26	0.000	26		
26	0.000	40		
27	0.000	27		
27	0.000	42	14.000	21.000
28	0.000	28		
28	0.000	43		
29	0.000	29		
29	0.000	44		
30	0.000	30		
30	0.000	45		
31	0.000	31		
31	0.000	46	16.000	23.000
32	0.000	32		
32	0.000	47		
33	0.000	33		
33	0.000	48		
34	0.000	34		
35	0.000	24		
35	0.000	35		
36	0.000	19	18.000	10.000
36	0.000	36		
37	0.000	23	19.000	12.000
37	0.000	37		
38	0.000	22		
38	0.000	38		
39	0.000	21	20.000	11.000
39	0.000	39		
40	0.000	26		
40	0.000	40		
41	0.000	25		
41	0.000	41		
42	0.000	27		
42	0.000	42		
43	0.000	28	22.000	14.000
43	0.000	43		
44	0.000	29		
44	0.000	44		
45	0.000	30		
45	0.000	45		
46	0.000	31		
46	0.000	46		
47	0.000	32	24.000	16.000
47	0.000	47		
48	0.000	33		
48	0.000	48		
49	0.000	49		
50	0.000	50		
51	0.000	51		
52	0.000	52		
53	0.000	20		
53	0.000	53		
54	0.000	54		
55	0.000	55		
55	0.000	58	28.000	29.000
56	0.000	56		
57	0.000	57		
58	0.000	55		
58	0.000	58		
59	0.000	59		
60	0.000	60		
60	0.000	64		
61	0.000	61		
61	0.000	63	31.000	32.000
62	0.000	62		
63	0.000	61		
63	0.000	63		
64	0.000	60	32.000	30.000
64	0.000	64		
65	0.000	65		
66	0.000	66		
67	0.000	67		
68	0.000	68		
69	0.000	69		
70	0.000	70		
71	0.000	71		
72	0.000	72		
73	0.000	73		
74	0.000	74		
74	0.000	75		
75	0.000	74	38.000	37.000
75	0.000	75		
76	0.000	76		
77	0.000	77		
78	0.000	78		
79	0.000	79		
80	0.000	80		
81	0.000	81		
82	0.000	82		
82	0.000	94	41.000	47.000
83	0.000	83		
84	0.000	84		
84	0.000	95		
85	0.000	85		
85	0.000	96	43.000	48.000
86	0.000	86		
86	0.000	87		
87	0.000	86	44.000	43.000
87	0.000	87		
88	0.000	88		
88	0.079	89		
89	0.079	88	45.000	44.000
89	0.000	89		
90	0.000	90		
90	0.000	91		
91	0.000	90	46.000	45.000
91	0.000	91		
92	0.000	92		
93	0.000	93		
94	0.000	82		
94	0.000	94		
95	0.000	84	48.000	42.000
95	0.000	95		
96	0.000	85		
96	0.000	96		
97	0.000	97		
98	0.000	98		
99	0.000	99		
100	0.000	100		
101	0.000	101		
102	0.000	102		
103	0.000	103		
104	0.000	104		
105	0.000	105		
106	0.000	106		
107	0.000	107		
108	0.000	108		
109	0.000	109		
110	0.000	110		
111	0.000	111		
112	0.000	112		
113	0.000	113		
114	0.000	114		
115	0.000	115		
116	0.000	116		
117	0.000	117		
118	0.000	118		
119	0.000	119		
120	0.000	120		
121	0.000	121		
122	0.000	122		
123	0.000	123		
124	0.000	124		
125	0.000	125		
126	0.000	126		
127	0.000	127		
128	0.000	128		
129	0.000	129		
130	0.000	130		
131	0.000	131		
132	0.000	132		
133	0.000	133		
134	0.000	134		
135	0.000	135		
136	0.000	136		
137	0.000	137		
138	0.000	138		
139	0.000	139		
140	0.000	140		
141	0.000	141		
142	0.000	142		
143	0.000	143		
144	0.000	144		
145	0.000	145		
146	0.000	146		
147	0.000	147		
148	0.000	148		
149	0.000	149		
150	0.000	150		
151	0.000	151		
152	0.000	152		
153	0.000	153		
154	0.000	154		
155	0.000	155		
155	0.212	436	78.000	218.000
156	0.000	156		
157	0.000	157		
158	0.000	158		
159	0.000	159		
160	0.000	160		
161	0.000	161		
162	0.000	162		
163	0.000	163		
164	0.000	164		
165	0.000	165		
166	0.000	166		
167	0.000	167		
168	0.000	168		
169	0.000	169		
170	0.000	170		
171	0.000	171		
172	0.000	172		
173	0.000	173		
174	0.000	174		
175	0.000	175		
176	0.000	176		
177	0.000	177		
178	0.000	178		
179	0.000	179		
180	0.000	180		
181	0.000	181		
182	0.000	182		
183	0.000	183		
184	0.000	184		
185	0.000	185		
186	0.000	186		
187	0.000	187		
188	0.000	188		
189	0.000	189		
190	0.000	190		
191	0.000	191		
192	0.000	192		
193	0.000	193		
194	0.000	194		
195	0.000	195		
196	0.000	196		
197	0.000	197		
198	0.000	198		
199	0.000	199		
199	0.000	286	100.000	143.000
200	0.000	200		
201	0.000	201		
202	0.000	202		
202	0.000	203		
203	0.000	202	102.000	101.000
203	0.000	203		
204	0.000	204		
205	0.000	205		
206	0.000	206		
207	0.000	207		
208	0.000	208		
208	0.005	209	104.000	105.000
209	0.005	208		
209	0.000	209		
210	0.000	210		
210	0.005	211	105.000	106.000
211	0.005	210		
211	0.000	211		
212	0.000	212		
212	0.000	213	106.000	107.000
213	0.000	212		
213	0.000	213		
214	0.000	214		
214	0.000	215	107.000	108.000
215	0.000	214		
215	0.000	215		
216	0.000	216		
216	0.000	217	108.000	109.000
217	0.000	216		
217	0.000	217		
218	0.000	218		
218	0.000	219	109.000	110.000
219	0.000	218		
219	0.000	219		
220	0.000	220		
220	0.000	221	110.000	111.000
221	0.000	220		
221	0.000	221		
222	0.000	222		
222	0.000	223	111.000	112.000
223	0.000	222		
223	0.000	223		
224	0.000	224		
224	0.000	225	112.000	113.000
225	0.000	224		
225	0.000	225		
226	0.000	226		
226	0.000	227	113.000	114.000
227	0.000	226		
227	0.000	227		
228	0.000	228		
228	0.000	229	114.000	115.000
229	0.000	228		
229	0.000	229		
230	0.000	230		
230	0.000	231		
230	0.456	233		
231	0.000	230		
231	0.000	231		
231	0.456	233		
232	0.000	232		
232	0.000	241		
233	0.456	230		
233	0.456	231		
233	0.000	233		
234	0.000	234		
234	0.000	235		
235	0.000	234	118.000	117.000
235	0.000	235		
236	0.000	236		
236	0.000	237		
237	0.000	236	119.000	118.000
237	0.000	237		
238	0.000	238		
238	0.000	239		
239	0.000	238	120.000	119.000
239	0.000	239		
240	0.000	240		
241	0.000	232		
241	0.000	241		
242	0.000	242		
242	0.000	253		
243	0.000	243		
243	0.000	254		
244	0.000	244		
244	0.000	245	122.000	123.000
245	0.000	244		
245	0.000	245		
246	0.000	246		
246	0.000	251	123.000	126.000
247	0.000	247		
247	0.000	252		
248	0.000	248		
248	0.000	249	124.000	125.000
249	0.000	248		
249	0.000	249		
250	0.000	250		
251	0.000	246		
251	0.000	251		
252	0.000	247	126.000	124.000
252	0.000	252		
253	0.000	242		
253	0.000	253		
254	0.000	243		
254	0.000	254		
255	0.000	255		
256	0.000	256		
256	0.000	259		
257	0.000	257		
258	0.000	258		
259	0.000	256		
259	0.000	259		
260	0.000	260		
261	0.000	261		
262	0.000	262		
263	0.000	263		
263	0.000	276		
264	0.000	264		
264	0.000	265	132.000	133.000
265	0.000	264		
265	0.000	265		
266	0.000	266		
266	0.000	267	133.000	134.000
267	0.000	266		
267	0.000	267		
268	0.000	268		
268	0.126	279	134.000	140.000
269	0.000	269		
270	0.000	270		
270	0.000	271	135.000	136.000
271	0.000	270		
271	0.000	271		
272	0.000	272		
272	0.000	273	136.000	137.000
273	0.000	272		
273	0.000	273		
274	0.000	274		
274	0.000	275	137.000	138.000
275	0.000	274		
275	0.000	275		
276	0.000	263	138.000	132.000
276	0.000	276		
277	0.000	277		
278	0.000	278		
278	0.000	280		
279	0.126	268		
279	0.000	279		
280	0.000	278	140.000	139.000
280	0.000	280		
281	0.000	281		
282	0.000	282		
283	0.000	283		
283	0.000	285		
284	0.000	284		
285	0.000	283		
285	0.000	285		
286	0.000	199		
286	0.000	286		
287	0.000	287		
288	0.000	288		
289	0.000	289		
290	0.000	290		
291	0.000	291		
292	0.000	292		
293	0.000	293		
294	0.000	294		
295	0.000	295		
296	0.000	296		
297	0.000	297		
298	0.000	298		
299	0.000	299		
300	0.000	300		
301	0.000	301		
302	0.000	302		
303	0.000	303		
304	0.000	304		
305	0.000	305		
306	0.000	306		
307	0.000	307		
308	0.000	308		
309	0.000	309		
310	0.000	310		
311	0.000	311		
312	0.000	312		
313	0.000	313		
314	0.000	314		
315	0.000	315		
316	0.000	316		
317	0.000	317		
318	0.000	318		
319	0.000	319		
320	0.000	320		
321	0.000	321		
322	0.000	322		
323	0.000	323		
324	0.000	324		
324	0.000	325		
325	0.000	324		
325	0.000	325		
326	0.000	326		
327	0.000	327		
328	0.000	328		
329	0.000	329		
330	0.000	330		
331	0.000	331		
332	0.000	332		
333	0.000	333		
334	0.000	334		
335	0.000	335		
336	0.000	336		
337	0.000	337		
338	0.000	338		
339	0.000	339		
340	0.000	340		
341	0.000	341		
342	0.000	342		
343	0.000	343		
344	0.000	344		
344	0.000	345		
345	0.000	344	173.000	172.000
345	0.000	345		
346	0.000	346		
347	0.000	347		
348	0.000	348		
349	0.000	349		
350	0.000	350		
351	0.000	351		
352	0.000	352		
353	0.000	353		
354	0.000	354		
355	0.000	355		
356	0.000	356		
357	0.000	357		
358	0.000	358		
359	0.000	359		
360	0.000	360		
361	0.000	361		
361	0.546	364		
362	0.000	362		
363	0.000	363		
364	0.546	361	182.000	181.000
364	0.000	364		
365	0.000	365		
366	0.000	366		
367	0.000	367		
367	0.000	373	184.000	187.000
368	0.000	368		
368	0.000	369		
369	0.000	368	185.000	184.000
369	0.000	369		
370	0.000	370		
370	0.000	371		
371	0.000	370	186.000	185.000
371	0.000	371		
372	0.000	372		
373	0.000	367		
373	0.000	373		
374	0.000	374		
375	0.000	375		
376	0.000	376		
377	0.000	377		
377	0.000	382	189.000	191.000
378	0.000	378		
379	0.000	379		
379	0.000	381		
380	0.000	380		
381	0.000	379	191.000	190.000
381	0.000	381		
382	0.000	377		
382	0.000	382		
383	0.000	383		
384	0.000	384		
385	0.000	385		
386	0.000	386		
387	0.000	387		
388	0.000	388		
389	0.000	389		
390	0.000	390		
391	0.000	391		
392	0.000	392		
393	0.000	393		
394	0.000	394		
395	0.000	395		
396	0.000	396		
397	0.000	397		
397	0.000	400	199.000	200.000
398	0.000	398		
399	0.000	399		
400	0.000	397		
400	0.000	400		
401	0.000	401		
402	0.000	402		
403	0.000	403		
404	0.000	404		
405	0.000	405		
406	0.000	406		
407	0.000	407		
408	0.000	408		
409	0.000	409		
410	0.000	410		
411	0.000	411		
412	0.000	412		
413	0.000	413		
414	0.000	414		
414	0.000	416		
414	0.000	417	207.000	209.000
414	0.000	418	207.000	209.000
415	0.000	415		
416	0.000	414		
416	0.000	416		
416	0.000	417	208.000	209.000
416	0.000	418	208.000	209.000
417	0.000	414		
417	0.000	416		
417	0.000	417		
417	0.000	418		
418	0.000	414		
418	0.000	416		
418	0.000	417		
418	0.000	418		
419	0.000	419		
420	0.000	420		
421	0.000	421		
422	0.000	422		
423	0.000	423		
423	0.000	427	212.000	214.000
424	0.000	424		
425	0.000	425		
426	0.000	426		
427	0.000	423		
427	0.000	427		
428	0.000	428		
429	0.000	429		
430	0.000	430		
431	0.000	431		
432	0.000	432		
433	0.000	433		
434	0.000	434		
435	0.000	435		
436	0.212	155		
436	0.000	436		
437	0.000	437		
438	0.000	438		
439	0.000	439		
440	0.000	440		
441	0.000	441		
442	0.000	442		
443	0.000	443		
444	0.000	444		
