cat	lcat	along	x	y	elev	ds
1	1	0.0	214068.3	5195067.6	276.2	False
2	1	1579.6	212772.0	5195520.0	275.4	True
3	2	0.0	235624.2	5213322.9	282.3	False
4	2	22084.9	215207.5	5215892.8	267.4	True
5	3	0.0	224260.2	5193246.6	276.2	True
6	3	10301.4	234309.1	5192545.2	290.1	False
7	4	0.0	251912.3	5201949.4	368.9	False
8	4	3662.5	250325.3	5200001.4	365.3	True
9	5	0.0	231561.4	5180589.2	286.6	True
10	5	5239.0	235562.6	5181208.4	295.0	False
11	6	0.0	210968.1	5212830.2	267.6	True
12	6	2131.3	213095.5	5212747.5	270.6	False
13	7	0.0	211764.6	5185401.9	273.2	True
14	7	4991.7	216748.7	5185260.4	277.5	False
15	8	0.0	219111.6	5208174.3	270.5	True
16	8	10135.4	220229.3	5199616.0	278.8	False
17	9	0.0	211959.5	5179012.1	273.9	True
18	9	4782.1	216736.4	5178813.4	278.7	False
19	10	0.0	216570.9	5219061.7	267.1	False
20	10	851.2	215731.1	5219174.6	264.7	True
21	11	0.0	219804.9	5218910.7	270.3	False
22	11	317.9	219487.3	5218924.7	270.0	True
23	12	0.0	217336.9	5219024.5	268.5	False
24	12	606.1	216731.6	5219055.6	267.8	True
25	13	0.0	221357.8	5218848.0	270.7	True
26	13	617.4	220741.1	5218875.4	270.7	False
27	14	0.0	221388.3	5218848.4	270.7	True
28	14	1570.0	222956.8	5218780.6	271.4	False
29	15	0.0	223778.7	5218742.2	271.7	False
30	15	787.4	224565.3	5218707.8	271.6	True
31	16	0.0	224588.6	5218706.8	271.7	True
32	16	507.1	225095.1	5218681.4	272.1	False
33	17	0.0	227430.2	5218571.3	273.0	False
34	17	306.0	227735.7	5218553.4	272.8	True
35	18	0.0	216731.6	5219055.6	267.8	False
36	18	160.8	216570.9	5219061.7	267.1	True
37	19	0.0	217336.9	5219024.5	268.5	True
38	19	2152.8	219487.3	5218924.7	270.0	False
39	20	0.0	219804.9	5218910.7	270.3	True
40	20	936.8	220741.1	5218875.4	270.7	False
41	21	0.0	221357.8	5218848.0	270.7	True
42	21	30.4	221388.3	5218848.4	270.7	False
43	22	0.0	222956.8	5218780.6	271.4	True
44	22	822.8	223778.7	5218742.2	271.7	False
45	23	0.0	224565.3	5218707.8	271.6	True
46	23	23.3	224588.6	5218706.8	271.7	False
47	24	0.0	225095.1	5218681.4	272.1	True
48	24	2337.7	227430.2	5218571.3	273.0	False
49	25	0.0	225390.2	5218678.7	274.4	True
50	25	1.8	225392.1	5218678.6	274.5	False
51	26	0.0	225391.1	5218677.7	274.4	False
52	26	1.8	225391.2	5218679.6	274.4	True
53	27	0.0	215731.1	5219174.6	264.7	True
54	27	121.7	215622.0	5219218.6	264.8	False
55	28	0.0	218965.8	5174687.7	280.2	True
56	28	785.6	218942.8	5173902.5	280.7	False
57	29	0.0	214082.3	5175669.2	277.2	True
58	29	5703.2	218965.8	5174687.7	280.2	False
59	30	0.0	223828.6	5189805.8	277.4	True
60	30	7.3	223832.5	5189799.5	277.4	False
61	31	0.0	229315.9	5187975.5	282.5	True
62	31	4330.2	232183.7	5186206.9	288.5	False
63	32	0.0	229315.9	5187975.5	282.5	False
64	32	6501.6	223832.5	5189799.5	277.4	True
65	33	0.0	231385.1	5211894.2	279.5	False
66	33	13862.4	217551.3	5212470.8	267.5	True
67	34	0.0	213815.9	5177148.9	275.6	True
68	34	3055.9	216657.3	5177205.0	280.3	False
