from_cat,cat
6,5
11,117
12,242
18,299
21,200
29,121
30,86
31,87
32,254
33,165
34,35
36,34
37,33
40,282
49,204
49,211
49,288
54,276
60,64
61,6
62,220
63,60
64,61
65,66
74,136
76,177
79,314
80,299
81,160
81,162
82,142
82,178
84,199
84,219
85,227
86,228
87,229
88,37
89,258
90,144
91,39
91,92
93,145
93,147
93,301
95,150
95,287
97,270
97,271
98,281
101,114
102,163
102,236
102,237
103,217
103,291
104,277
105,277
107,158
107,185
108,175
108,176
109,177
110,200
111,160
111,162
112,257
113,281
116,238
118,119
118,283
119,243
120,224
120,225
121,85
122,89
124,286
125,272
126,127
126,235
128,154
128,201
129,58
129,130
131,62
133,20
133,196
134,218
134,308
135,136
136,137
136,249
138,314
140,141
140,300
144,259
145,146
152,47
153,114
158,79
158,138
159,305
159,306
160,161
162,161
163,153
165,36
166,167
166,169
168,167
168,169
170,214
171,172
171,174
173,172
173,174
179,112
182,265
183,209
184,152
184,197
186,187
186,191
187,188
187,192
188,189
188,193
189,310
189,311
190,187
190,191
191,188
191,192
192,189
192,193
193,310
193,311
194,205
195,216
195,226
196,293
196,294
196,295
197,198
197,313
199,83
202,151
202,263
203,210
203,302
204,212
207,32
208,186
208,190
209,46
209,97
210,94
210,261
211,212
218,134
218,285
220,239
222,213
224,139
224,215
227,253
228,31
229,307
230,88
231,208
236,153
238,63
240,7
241,12
242,70
243,241
246,106
246,157
249,303
249,304
251,279
251,280
252,23
252,80
253,30
254,255
256,179
258,231
259,260
260,122
260,143
261,275
263,95
263,149
265,180
265,181
267,182
267,266
270,268
270,269
272,100
274,43
274,96
275,148
275,262
276,104
283,118
283,284
285,222
285,223
286,38
286,123
288,212
290,234
291,128
291,155
292,186
292,190
294,218
294,308
295,218
295,308
296,247
296,297
297,296
297,298
301,146
302,171
302,173
303,198
303,313
305,133
305,244
306,213
307,207
307,230
308,293
308,294
308,295
309,214
310,194
310,312
311,194
311,312
312,205
313,245
313,246
314,250
314,251
