from_cat,cat
7,32
7,44
8,58
8,92
9,4
9,10
12,6
12,172
14,190
15,196
16,190
23,18
23,24
25,56
25,81
26,165
26,166
27,157
27,171
28,75
31,30
31,49
32,120
32,185
46,96
46,149
50,196
51,20
51,177
52,115
52,178
55,193
56,88
56,197
57,35
57,59
60,25
60,89
61,39
61,160
64,2
64,68
67,13
70,75
88,22
97,98
97,99
101,37
101,102
103,37
103,102
104,53
109,195
118,119
118,123
133,116
133,199
135,134
135,180
139,54
141,189
141,198
142,91
142,143
143,144
143,145
146,192
148,45
148,147
152,150
152,151
153,34
153,70
154,36
154,47
155,38
155,156
160,3
160,9
162,31
162,161
164,26
164,108
166,17
166,163
167,41
167,168
168,169
168,181
170,193
171,158
171,159
175,48
175,106
176,15
176,114
178,21
178,51
179,13
180,169
180,181
181,130
181,182
182,53
186,7
186,184
187,136
187,137
188,54
189,22
191,192
194,195
198,60
198,127
199,86
199,135
