from_cat,to_x,to_y
4,251899.713014398,5201949.32254265
7,213836.222380335,5185339.96784553
9,213510.210869262,5178957.88829632
16,226572.450141115,5197375.67349528
19,240057.809029623,5165031.41069061
25,214817.526755351,5204648.91770915
26,219465.704994985,5189973.55568906
26,214102.618592992,5190194.31715505
38,239292.401427152,5167970.29973797
39,239663.909856854,5166543.84140188
41,242157.095332985,5161603.32256002
42,220158.739274496,5197717.69754649
42,220162.795961633,5197810.22271523
42,214586.35722973,5199803.83705021
44,214589.26239204,5211032.51478535
48,248002.06090906,5130625.58888791
49,250189.367708411,5130787.53400923
82,215332.65263401,5154671.67271576
107,213667.10148397,5182116.61175049
108,213587.533019707,5180514.68126967
109,213926.587283796,5186941.47630769
110,213191.003511946,5215985.05493633
126,237215.669427496,5176310.20069737
128,213747.347638589,5183732.28870738
132,215308.254831711,5197971.85702383
132,214149.978044514,5200669.84334362
132,214149.826381126,5200671.54963958
132,214577.91682723,5199633.14709187
