cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,285286,"42328917",5113,"primary","140th Street South","MN 9","B",0,0,"F","F",1,232701.431895729,5192647.15584229
2,67611,"18048953",5122,"residential","43rd Avenue North",,"B",0,0,"F","F",1,250427.87890913,5201614.31464628
3,326651,"140213025",5114,"secondary",,"MN 32","B",0,0,"F","F",1,251868.152433708,5201949.22764995
4,65398,"18046370",5141,"service",,,"B",0,0,"F","F",1,220235.36173941,5199735.193662
5,65398,"18046370",5141,"service",,,"B",0,0,"F","F",1,220232.324907152,5199675.64797743
6,67451,"18048754",5121,"unclassified","60th Street North",,"B",0,0,"F","F",1,221372.194970618,5218848.17830908
7,258910,"18280520",5122,"residential","270th Avenue",,"B",0,0,"F","F",1,237396.303034013,5160109.02547096
8,260174,"18282106",5121,"unclassified","County Road 188",,"B",0,0,"F","F",1,237198.187851853,5164982.48726937
9,260319,"18282277",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,235998.609650232,5164926.97542194
10,303269,"98958881",5121,"unclassified","50th Street South",,"B",0,0,"F","F",1,218236.074292196,5191869.04084362
11,66575,"18047736",5121,"unclassified","28th Avenue South",,"B",0,0,"F","F",1,234379.910137614,5194164.57104606
12,334288,"146046533",5142,"track","150th Street South",,"B",0,0,"F","F",1,234482.786014867,5196483.01304752
13,260533,"18282535",5142,"track","370th Street",,"B",0,0,"F","F",1,224005.539313698,5142992.48287892
14,258742,"18280312",5121,"unclassified",,,"B",0,0,"F","F",1,219581.397491715,5159340.81035425
15,513072,"696257964",5142,"track","250th Avenue",,"B",0,0,"F","F",1,234412.950440491,5165919.54423055
16,260023,"18281932",5121,"unclassified","T-185",,"B",0,0,"F","F",1,226084.00878561,5159031.41868835
17,260024,"18281933",5121,"unclassified","T-185",,"B",0,0,"F","F",1,226169.550823795,5161465.88949819
18,259937,"18281828",5121,"unclassified","T-180",,"B",0,0,"F","F",1,222922.379335512,5161333.3402405
19,303396,"99179372",5121,"unclassified","110th Street North","CR 93","B",0,0,"F","F",1,228530.030685375,5207315.89766014
20,66522,"18047676",5121,"unclassified","100th Street North",,"B",0,0,"F","F",1,226974.661264673,5208861.40682292
21,303397,"99179373",5121,"unclassified","110th Street North",,"B",0,0,"F","F",1,228599.552359933,5208788.92100487
22,303392,"99179368",5121,"unclassified","130th Street North","CR 92","B",0,0,"F","F",1,231787.508658787,5208648.51358114
23,67349,"18048623",5121,"unclassified","80th Street North",,"B",0,0,"F","F",1,223816.366035734,5209002.42681844
24,507839,"681716997",5121,"unclassified","90th Street North","CR 68","B",0,0,"F","F",1,225402.485138061,5208933.20561088
25,740278,"957745978",5141,"service",,,"B",0,0,"F","F",1,229385.581725873,5189273.29271498
26,259080,"18280747",5141,"service",,,"B",0,0,"F","F",1,214242.894844168,5153889.13618898
27,29728,"18002600",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,295940.939890586,5203807.73262159
28,27700,"18000211",5122,"residential","Rock Rice Road",,"B",0,0,"F","F",1,289801.018493084,5202455.44749117
29,430236,"383212212",5122,"residential","County Road 15","CR 15","B",0,0,"F","F",1,239330.313310213,5132602.94882184
30,67411,"18048705",5121,"unclassified","15th Street Northwest","CR 100","B",0,0,"F","F",1,210250.944987347,5216071.53997802
31,27589,"18000083",5141,"service","Killian Road",,"B",0,0,"F","F",1,289899.979862375,5204558.28609576
32,23384,"17994756",5141,"service",,,"B",0,0,"F","F",1,289599.42755163,5204685.22536868
33,30264,"18003211",5141,"service","Farm Lane",,"B",0,0,"F","F",1,292157.773320612,5206236.97220549
34,26541,"17998768",5141,"service",,,"B",0,0,"F","F",1,292193.665801675,5207061.52565406
35,24681,"17996396",5141,"service",,,"B",0,0,"F","F",1,292531.392009382,5207874.69386722
36,67160,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211780.010154876,5219256.12077679
37,303315,"99093328",5121,"unclassified","100th Avenue South","CR 65","B",0,0,"F","F",1,213098.98904134,5183764.39370362
38,67054,"18048272",5113,"primary","US Highway 75 South","US 75","B",0,0,"F","F",1,212227.690007546,5184795.77574974
39,500920,"654051824",5121,"unclassified","14th Street South",,"B",48,0,"F","F",1,213057.094573432,5185360.58930686
40,367968,"184470029",5113,"primary",,"US 75","B",0,0,"F","F",1,213227.860951932,5215982.39897832
41,303109,"98641914",5115,"tertiary","Oakport Street North","CR 3","B",64,0,"F","F",1,214418.839296471,5204672.30985088
42,260362,"18282329",5121,"unclassified","T-1",,"B",0,0,"F","F",1,219562.319221951,5169047.28147434
43,260554,"18282561",5121,"unclassified","County Road 190",,"B",0,0,"F","F",1,219480.286200202,5167435.30689657
44,389345,"241981954",5122,"residential","50th Street North",,"B",0,0,"F","F",1,219495.721443073,5209211.08782474
45,260712,"18282801",5122,"residential","T-10",,"B",0,0,"F","F",1,224517.24933784,5160728.67444549
46,507877,"681742965",5141,"service",,,"B",0,0,"F","F",1,224982.754225255,5191371.21673108
47,634132,"829839459",5121,"unclassified","150th Avenue South",,"B",0,0,"F","F",1,225736.886329465,5175203.32424736
48,525321,"713782926",5115,"tertiary","100th Street South","CR 15","B",0,0,"F","F",1,225488.570607455,5175844.91029453
49,524840,"713462082",5121,"unclassified","140th Avenue South","CR 57","B",0,0,"F","F",1,224705.233050793,5176862.90161614
50,303375,"99173149",5121,"unclassified","12th Avenue South",,"B",0,0,"F","F",1,227599.880364094,5196116.68423453
51,67467,"18048775",5115,"tertiary","15th Avenue North","CR 84","B",0,0,"F","F",1,225229.658823333,5199414.57108045
52,66727,"18047912",5121,"unclassified","90th Street North","CR 68","B",0,0,"F","F",1,225052.135112676,5200022.95733068
53,259556,"18281341",5121,"unclassified","T-69",,"B",0,0,"F","F",1,226726.519856097,5134791.95107402
54,66645,"18047817",5121,"unclassified","160th Street South","CR 56","B",0,0,"F","F",1,235126.57324681,5173424.60198834
55,67264,"18048513",5121,"unclassified","140th Street South",,"B",0,0,"F","F",1,231927.575625134,5174575.11286122
56,524859,"713483038",5115,"tertiary","130th Street South","CR 21","B",0,0,"F","F",1,230315.146703705,5174868.56156145
57,955421,"1368758747",5121,"unclassified","120th Street South",,"B",0,1,"T","F",1,228713.832680446,5175373.09620955
58,279811,"30249611",5121,"unclassified","130th Street South",,"B",0,0,"F","F",1,230807.114290922,5186255.42164983
59,762002,"1005661786",5121,"unclassified","170th Street South",,"B",0,1,"T","F",1,237247.774457866,5176314.71734258
60,64590,"18045428",5141,"service","130th Avenue South",,"B",0,0,"F","F",1,236065.985152887,5177964.05151324
61,611277,"806840845",5121,"unclassified","140th Street South",,"B",0,1,"T","F",1,232119.285698012,5179574.30861114
62,66679,"18047856",5121,"unclassified","110th Avenue South",,"B",0,0,"F","F",1,235562.542223667,5181207.34952813
63,507840,"681717035",5113,"primary","140th Street North","MN 9","B",96,0,"F","F",1,233731.860827366,5208571.49223581
