cat,a_cat,b_cat,to_x,to_y
1,3416,1,212772.159306496,5195343.8500523
2,881,1,224705.927823799,5192993.26264179
3,383,1,250427.852464776,5201614.24941953
4,2459,1,251870.178383182,5201949.23309941
5,1397,1,211481.51300655,5212821.42901235
6,3637,1,220240.544549194,5199836.1515398
7,3637,1,220234.162183276,5199711.43696182
8,352,1,221375.537888233,5218848.21573951
9,487,1,215856.813764296,5177241.65013315
10,1847,1,237394.988080006,5160109.17768752
11,113,1,239223.476659653,5164932.59210128
12,1461,1,242971.558668038,5164787.95585212
13,1836,1,237198.449272617,5164983.43474483
14,410,1,236000.316084503,5164927.0818713
15,1367,1,218567.056307594,5198343.66441358
16,683,1,234379.841469997,5194163.3295974
17,2039,1,224005.591442805,5142988.24698429
18,565,1,221225.471018253,5159245.15396341
19,2117,1,231196.623293941,5166071.73229135
20,2065,1,230906.311164634,5129754.10564028
21,805,1,226085.193401573,5159031.38270494
22,1660,1,224554.652113484,5161512.68124838
23,2450,1,231016.889534735,5183850.71795657
24,214,1,228533.221918962,5207314.00792327
25,215,1,226975.896647474,5208861.34620657
26,214,1,228602.300752335,5208788.84545257
27,197,1,230412.867083236,5208714.34857285
28,3380,1,223817.102761658,5209002.3973089
29,90,1,225403.307903589,5208933.16249973
30,765,1,229385.680732576,5189275.14119564
31,2345,1,217778.793182229,5154583.6561268
32,613,1,214242.808443948,5153888.29998076
33,4413,1,295941.027189005,5203807.3966146
34,1763,1,289799.754432433,5202453.93401675
35,485,1,212351.759108213,5186993.79851663
36,1469,1,210250.472704784,5216071.53683069
37,2932,1,289900.555959977,5204558.10046818
38,4621,1,292157.795099972,5206241.21308514
39,4288,1,292201.16681672,5207062.3822988
40,2005,1,292527.962566207,5207869.96409783
41,1469,1,210257.183456828,5219324.41187097
42,485,1,212521.363839238,5190245.01795523
43,1579,1,210464.531590273,5190317.74003518
44,3350,1,217701.122876058,5181997.49570837
45,893,1,213004.160992085,5183917.37069452
46,485,1,212227.462921546,5184795.89839744
47,485,1,212247.333185325,5185387.20464039
48,28,1,213160.682389081,5215987.75234245
49,328,1,214415.45976916,5204672.4489981
50,1193,1,216088.560077835,5197971.35596195
51,391,1,218008.052123995,5214112.66758222
52,1946,1,219562.224306629,5169046.25952588
53,1827,1,219497.206693011,5209210.72097397
54,804,1,222894.372927629,5160801.96916328
55,1062,1,224641.070702919,5191383.77869234
56,2946,1,225736.921027384,5175202.13725838
57,2439,1,225489.743431967,5175844.83060846
58,2436,1,224705.052609051,5176859.06678733
59,2786,1,227599.860562262,5196117.45037428
60,770,1,227130.2451193,5196502.75896828
61,2723,1,226519.62388193,5197750.37635697
62,396,1,225229.684178254,5199415.09495987
63,1937,1,226726.536588872,5134790.25280736
64,1909,1,235129.374338442,5173423.27492258
65,1065,1,231931.629588816,5174575.50043115
66,757,1,230317.962078454,5174868.27335044
67,579,1,228715.720908621,5175373.18400915
68,675,1,230808.642636294,5186255.41055309
69,969,1,237247.911017636,5176314.74831061
70,1065,1,232122.546993969,5179574.13822255
71,272,1,229854.305905617,5200817.79840684
72,1075,1,235562.616373663,5181208.35654837
73,1065,1,232171.093918786,5180566.30081314
74,2304,1,237902.690923577,5134274.9586609
75,14,1,233735.372331404,5208570.89440235
76,1906,1,232562.914521717,5189412.13316928
77,410,1,235865.266948763,5161829.08587624
78,1256,1,234751.217461106,5164610.11819211
79,374,1,222248.113868081,5206727.07256151
80,133,1,234808.954926787,5205404.4308299
81,197,1,230779.160038978,5213527.42490866
82,268,1,238174.567755182,5139106.87010462
83,1734,1,240695.574027983,5168107.22949457
84,301,1,266468.316439943,5204190.34554536
85,4585,1,271502.237589245,5199453.2992814
86,3481,1,271116.110474763,5200888.15087255
87,1576,1,270306.908724283,5202285.50726195
88,2903,1,269818.620678778,5203015.05087274
89,308,1,270723.668770018,5191161.9262592
90,3479,1,271266.595458913,5204145.95100022
91,303,1,275396.971811121,5194049.19596492
92,906,1,274892.513220521,5194448.69881618
93,3824,1,274034.101735605,5195734.07033239
94,4871,1,293357.403010455,5209001.20533759
95,2113,1,297062.336425808,5197292.68608549
96,2180,1,267888.192118045,5199439.9451372
