cat,orig_cat
1,63
2,68
3,85
4,86
5,90
6,106
7,129
8,51
9,119
10,119
11,91
12,106
13,59
14,45
15,119
16,44
17,96
18,114
19,114
20,120
21,120
22,42
23,90
24,90
25,132
26,95
27,118
28,72
29,19
30,92
31,92
32,47
33,25
34,71
35,73
36,76
37,78
38,81
39,87
40,88
41,100
42,1
43,40
44,46
45,123
46,60
47,75
48,115
49,93
50,116
51,120
52,120
53,124
54,39
55,103
56,132
57,74
58,51
59,65
60,132
61,118
62,10
63,11
64,68
65,110
66,112
67,121
68,69
69,70
70,72
71,3
72,5
73,8
74,9
75,12
76,13
77,15
78,16
79,17
80,19
81,22
82,23
83,26
84,29
85,30
86,34
87,36
88,42
89,43
90,45
91,50
92,52
93,53
94,56
95,57
96,61
97,62
98,62
99,63
100,64
101,77
102,77
103,78
104,79
105,82
106,89
107,97
108,97
109,104
110,107
111,108
112,113
113,114
114,117
115,120
116,125
117,126
118,127
119,127
120,129
121,2
122,4
123,6
124,7
125,14
126,18
127,20
128,21
129,24
130,27
131,28
132,30
133,32
134,33
135,124
136,131
137,35
138,37
139,38
140,41
141,132
142,48
143,48
144,48
145,49
146,55
147,58
148,123
149,60
150,66
151,67
152,66
153,72
154,75
155,80
156,80
157,83
158,118
159,84
160,119
161,94
162,92
163,95
164,95
165,98
166,95
167,99
168,99
169,99
170,102
171,118
172,106
173,109
174,111
175,115
176,119
177,120
178,120
179,59
180,124
181,124
182,124
183,128
184,130
185,47
186,130
187,131
188,39
189,42
190,45
191,54
192,54
193,103
194,105
195,105
196,119
197,132
198,132
199,124
200,122
201,122
