cat,lcat,along,x,y
1,1,0,224260.2108,5193246.565
2,1,5150.70167271698,229166.354920836,5192825.04203784
3,1,10301.403345434,234309.0609,5192545.1955
4,2,0,231561.3573,5180589.24
5,2,2619.51817559923,234144.702963187,5180306.08719262
6,2,5239.03635119847,235562.6064,5181208.3572
7,3,0,219111.6121,5208174.2514
8,3,5067.70800048573,220174.052383688,5204423.28390685
9,3,10135.4160009715,220229.2509,5199615.9633
10,4,0,211959.4972,5179012.138
11,4,2391.06267347856,214348.420506744,5178932.54637113
12,4,4782.12534695712,216736.4287,5178813.352
13,5,0,227430.238299981,5218571.2618
14,5,152.977109577945,227582.955749991,5218562.35245
15,5,305.95421915589,227735.6732,5218553.4431
16,6,0,225095.10079997,5218681.4023
17,6,1168.87137012976,226262.624334355,5218625.28727907
18,6,2337.74274025952,227430.238299981,5218571.2618
19,7,0,218965.8056,5174687.7148
20,7,392.783155036117,218953.257697792,5174295.13560226
21,7,785.566310072233,218942.7955,5173902.4927
22,8,0,231385.0752,5211894.2473
23,8,6931.20393159595,224460.309684726,5212190.6167876
24,8,13862.4078631919,217551.2701,5212470.8243
25,9,0,231414.2124,5200743.3818
26,9,2278.78905998354,229138.046741437,5200851.19946332
27,9,4557.57811996709,227568.0694,5199926.8319
28,10,0,224741.0682,5200064.0334
29,10,2926.29856026507,226078.857744867,5198059.45868502
30,10,5852.59712053013,227600.0386,5196110.175
31,11,0,223833.9879,5191415.5667
32,11,578.994213447085,224412.449227462,5191392.91419664
33,11,1157.98842689417,224991.021899999,5191370.8795
34,12,0,240159.408799997,5164904.0231
35,12,1012.31727155142,241170.48486597,5164871.95171683
36,12,2024.63454310284,242180.872431948,5164824.93272991
37,13,0,234496.2162,5196825.1874
38,13,1734.6972693979,234433.218955436,5195095.00414057
39,13,3469.3945387958,234352.0875,5193362.4964
40,14,0,213710.1556,5204715.6302
41,14,560.645460349399,214269.840461932,5204683.41438145
42,14,1121.2909206988,214829.1889,5204648.3235
43,15,0,210410.8699,5190295.1483
44,15,5482.42034968047,215875.244572247,5190120.97095552
45,15,10964.8406993609,221352.678,5189891.0619
46,16,0,218203.0493,5159391.771
47,16,1817.57260915402,220018.971532557,5159316.1992983
48,16,3635.14521830805,221833.9718,5159221.3245
49,17,0,243495.8025,5127205.5871
50,17,2188.93389384453,243392.745296825,5125019.12067228
51,17,4377.86778768905,243648.8732,5123130.5824
52,18,0,231720.8473,5139428.7709
53,18,2154.39877187569,229568.909794358,5139523.05739168
54,18,4308.79754375139,227417.461085146,5139626.62144419
55,19,0,235223.781,5166290.4729
56,19,2290.63416881847,233232.344476614,5165974.71673812
57,19,4581.26833763694,230944.4579,5166085.7098
58,20,0,215310.4537,5198010.9102
59,20,1248.36642805549,216555.179068188,5197964.24635649
60,20,2496.73285611098,217801.8187,5197899.2844
61,21,0,214503.8453,5210254.2733
62,21,489.256594935303,214601.749431255,5210729.67276709
63,21,978.513189870607,214618.5072,5211169.6817
64,22,0,64102.2555999998,5148911.4011
65,22,1066.65237930387,65166.3864359546,5148879.2407702
66,22,2133.30475860774,66231.8679999998,5148829.5237
67,23,0,226803.7471,5138034.7875
68,23,4674.12170543961,231470.11425714,5137815.13047303
69,23,9348.24341087922,235267.2203,5138758.9333
70,24,0,230939.8379,5130546.3743
71,24,1340.38857958143,230884.050926368,5129207.20043527
72,24,2680.77715916286,230821.2786,5127870.2286
73,25,0,222011.2163,5161160.866
74,25,2253.56662935299,224076.420524187,5161255.56922199
75,25,4507.13325870599,226175.5845,5161465.5443
76,26,0,222167.1606,5160832.2022
77,26,1176.95410669405,223343.032634943,5160781.82860521
78,26,2353.9082133881,224518.7827,5160728.616
79,27,0,234485.355,5200551.3612
80,27,87.6032850100155,234553.25715,5200496.0111
81,27,175.206570020031,234621.1593,5200440.661
82,28,0,209864.5586,5219362.1934
83,28,1180.16608442762,211041.981354359,5219289.17196547
84,28,2360.33216885524,212221.0592,5219238.7821
85,29,0,234879.6771,5206148.9798
86,29,395.880867663774,234912.885700757,5206543.44187555
87,29,791.761735327548,234942.44424594,5206938.20850089
88,30,0,234292.216600004,5207015.4949
89,30,1278.45054628602,233016.115551314,5207091.4153665
90,30,2556.90109257204,231739.307400008,5207156.1699
91,31,0,230775.264500175,5207180.3691
92,31,489.443713443352,230286.037214616,5207194.91696587
93,31,978.887426886704,229798.092600056,5207213.9763
94,32,0,228609.436399998,5208788.6593
95,32,1596.42714000433,230204.390139144,5208720.20031472
96,32,3192.85428000865,231799.060399998,5208647.5466
97,33,0,225391.0214,5208933.8163
98,33,782.614357444689,224609.148518699,5208967.86232854
99,33,1565.22871488938,223827.278803694,5209001.97969984
100,34,0,222563.988100045,5209058.9357
101,34,1208.10703970432,221357.265755136,5209116.66487392
102,34,2416.21407940863,220150.344900246,5209169.91069999
103,35,0,220150.344900246,5209169.91069999
104,35,410.745185086325,219740.076298912,5209189.1133972
105,35,821.49037017265,219335.6016,5209208.9814
106,36,0,222603.540800095,5209057.3484
107,36,19.7922687084645,222583.76445007,5209058.14205
108,36,39.584537416929,222563.988100045,5209058.9357
109,37,0,225414.869700047,5208932.5667
110,37,11.9405078962892,225402.945550023,5208933.1915
111,37,23.8810157925784,225391.0214,5208933.8163
112,38,0,234639.261811814,5210169.19131511
113,38,859.3276074518,234588.540813754,5209324.81183427
114,38,1718.6552149036,234763.4998,5208551.853
115,39,0,219948.9326,5165783.6968
116,39,719.914731070644,219915.106313969,5165064.59851202
117,39,1439.82946214129,219881.6752,5164345.465
118,40,0,243232.1261,5150195.9461
119,40,2006.2770332743,243156.037887148,5148195.32392961
120,40,4012.55406654859,243079.56123232,5146191.83462562
121,41,0,214333.7803,5153286.4685
122,41,3110.61657311641,215917.446017038,5154653.3539549
123,41,6221.23314623281,219025.6908,5154533.2591
124,42,0,295905.3076,5202872.8211
125,42,705.738275571662,295914.967592256,5203304.79437036
126,42,1411.47655114332,295898.3232,5203914.9609
127,43,0,291723.4715,5201236.8803
128,43,2474.26738051371,292376.318166775,5202706.81289975
129,43,4948.53476102742,292045.1296,5204639.1447
130,44,0,289778.0151,5202427.8916
131,44,30.1968760049093,289797.357848998,5202451.08015959
132,44,60.3937520098186,289816.715,5202474.2567
133,45,0,270063.8727,5190926.1958
134,45,962.548876444713,270959.856126527,5191150.8858399
135,45,1925.09775288943,271415.0168,5190669.9388
136,46,0,272913.5524,5192267.3192
137,46,1137.9241899637,272334.222265224,5191558.56883015
138,46,2275.8483799274,271967.4409,5190758.127
139,47,0,241183.6968,5139062.5152
140,47,755.896847894454,241210.734620432,5139816.97197379
141,47,1511.79369578891,241231.5048,5140572.1331
142,48,0,211239.2034,5182058.1524
143,48,4041.31998275352,215231.164263902,5182081.7957674
144,48,8082.63996550704,219270.3259,5181954.3941
145,49,0,217608.7371,5180396.814
146,49,2112.46022823859,215497.436864904,5180466.07327417
147,49,4224.92045647718,213385.756523237,5180520.4524009
148,50,0,235615.7008,5205361.4827
149,50,6988.35759767634,228637.203807355,5205656.09823343
150,50,13976.7151953527,222139.4136,5206716.3394
151,51,0,292619.7601,5207996.6912
152,51,1144.88384908532,292120.426227856,5207048.26732623
153,51,2289.76769817064,292078.6916,5206088.0408
154,52,0,293444.1393,5209094.8238
155,52,493.221598379771,293229.664553482,5208822.48875714
156,52,986.443196759542,292990.3074,5208423.1566
157,53,0,231356.9973,5180134.7062
158,53,4091.43831115942,234531.248625384,5178773.91100256
159,53,8182.87662231884,237284.0456,5176322.9529
160,54,0,230690.168,5153995.2125
161,54,400.943948956773,230289.791437306,5154016.53521678
162,54,801.887897913545,229889.260685357,5154034.59246613
163,55,0,214068.2833,5195067.5848
164,55,789.776657040827,213279.31968564,5195103.01666443
165,55,1579.55331408165,212771.963,5195519.9714
166,56,0,235624.2037,5213322.9157
167,56,11042.4495702583,224593.45146739,5213801.41966077
168,56,22084.8991405167,215207.5108,5215892.7807
169,57,0,251912.263,5201949.3563
170,57,1831.2518519624,250349.354696855,5201452.62959068
171,57,3662.50370392479,250325.2767,5200001.3592
172,58,0,210962.836778286,5212827.96687104
173,58,1068.53045897885,212028.18503107,5212797.76523095
174,58,2137.06091795769,213095.5212,5212747.5032
175,59,0,211764.5807,5185401.9348
176,59,2495.86662217166,214253.804326049,5185329.61900761
177,59,4991.73324434333,216748.6859,5185260.3868
178,60,0,223778.71769998,5218742.1657
179,60,393.679892744757,224172.041736508,5218725.43186247
180,60,787.359785489515,224565.325899776,5218707.78980001
181,61,0,224588.610999894,5218706.76210001
182,61,253.562776464757,224841.879114962,5218694.54148226
183,61,507.125552929513,225095.10079997,5218681.4023
184,62,0,216731.621600015,5219055.6092
185,62,80.4107201748719,216651.268600166,5219058.65539999
186,62,160.821440349744,216570.915600318,5219061.70159999
187,63,0,222956.81529998,5218780.5934
188,63,411.400122524572,223367.76649998,5218761.37955
189,63,822.800245049144,223778.71769998,5218742.1657
190,64,0,224565.325899776,5218707.78980001
191,64,11.6538840605833,224576.968449835,5218707.27595001
