cat,lcat,along,x,y
1,1,0,214068.2833,5195067.5848
2,1,143.595755825629,213924.836603925,5195074.09117616
3,1,287.191511651257,213781.389848482,5195080.63090825
4,1,430.787267476886,213637.956028943,5195087.36764364
5,1,574.383023302515,213494.469629374,5195092.77365871
6,1,717.978779128143,213351.036333551,5195099.60232919
7,1,861.574534953772,213207.603037728,5195106.43099967
8,1,1005.1702907794,213064.124618903,5195112.21448952
9,1,1148.76604660503,212928.115050359,5195149.86732538
10,1,1292.36180243066,212824.262463601,5195248.70969399
11,1,1435.95755825629,212767.865593924,5195376.49905339
12,1,1579.55331408192,212771.963,5195519.9714
13,2,0,224260.2108,5193246.565
14,2,1030.1403345434,225048.826199906,5192979.44552336
15,2,2060.28066908679,226078.181054492,5192939.60966098
16,2,3090.42100363019,227107.615382583,5192901.75109299
17,2,4120.56133817358,228137.058435918,5192864.22238889
18,2,5150.70167271698,229166.354920836,5192825.04203784
19,2,6180.84200726038,230195.198412833,5192773.93625634
20,2,7210.98234180377,231224.266890537,5192727.90554096
21,2,8241.12267634717,232252.414013092,5192664.60263269
22,2,9271.26301089057,233280.857728119,5192608.30423465
23,2,10301.403345434,234309.0609,5192545.1955
24,3,0,251912.263,5201949.3563
25,3,366.24651743582,251546.487822472,5201954.89131851
26,3,732.49303487164,251183.78244063,5201987.34999635
27,3,1098.73955230746,250894.749647289,5201799.96576915
28,3,1464.98606974328,250541.446662212,5201739.40860381
29,3,1831.2325871791,250349.362995801,5201452.64697628
30,3,2197.47910461492,250134.641180129,5201164.30365446
31,3,2563.72562205074,249918.162031461,5200868.90607558
32,3,2929.97213948656,249995.695163315,5200544.04626092
33,3,3296.21865692238,250270.13345889,5200359.377903
34,3,3662.4651743582,250325.273221125,5200001.39757219
35,4,0,210968.1306,5212830.2126
36,4,193.753587298867,211159.996309998,5212835.82667602
37,4,387.507174597733,211353.558249828,5212827.21218931
38,4,581.2607618966,211547.120729861,5212818.64851387
39,4,775.014349195467,211740.713727107,5212810.76156209
40,4,968.767936494333,211934.27368408,5212802.11561858
41,4,1162.5215237932,212127.822330176,5212793.20838046
42,4,1356.27511109207,212321.397765805,5212784.90155724
43,4,1550.02869839093,212514.936978888,5212775.81387981
44,4,1743.7822856898,212708.455209554,5212766.26899543
45,4,1937.53587298867,212902.008977136,5212757.47644212
46,4,2131.28946028753,213095.500238814,5212747.50435061
47,5,0,220229.252908152,5199616.00241752
48,5,921.397893812393,220274.393315111,5200536.2916049
49,5,1842.79578762479,220315.525325851,5201456.75745232
50,5,2764.19368143718,220355.683124089,5202377.26972123
51,5,3685.59157524957,220394.6634175,5203297.83592812
52,5,4606.98946906196,220434.624946802,5204218.36627205
53,5,5528.38736287436,219713.944208143,5204446.98459733
54,5,6449.78525668675,218827.286022126,5204525.86865863
55,5,7371.18315049914,218868.990740532,5205446.322074
56,5,8292.58104431153,218911.816177225,5206366.72343465
57,5,9213.97893812393,218954.806196195,5207287.10134655
58,5,10135.3768319363,219111.6121,5208174.2514
59,6,0,211959.4972,5179012.138
