root,chain
1,[1]
2,"[64, 2]"
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,"[8, 58]"
9,"[160, 9, 10]"
10,"[160, 9, 10]"
11,[11]
12,[12]
13,"[179, 13]"
14,"[14, 190]"
15,"[176, 15, 196]"
16,[16]
17,[17]
18,[18]
19,[19]
20,[20]
21,[21]
22,[22]
23,"[23, 24]"
24,"[23, 24]"
25,"[141, 198, 60, 25, 56, 197]"
26,"[164, 26, 166, 163]"
27,"[27, 171, 158]"
28,[28]
29,[29]
30,"[162, 31, 30]"
31,"[162, 31, 30]"
32,"[32, 185]"
33,[33]
34,[34]
35,[35]
36,[36]
37,"[103, 37]"
38,[38]
39,[39]
40,[40]
41,[41]
42,[42]
43,[43]
44,[44]
45,"[148, 45]"
46,"[46, 149]"
47,"[154, 47]"
48,"[175, 48]"
49,[49]
50,[50]
51,[51]
52,[52]
53,"[199, 135, 180, 181, 182, 53]"
54,"[188, 54]"
55,"[55, 193]"
56,"[141, 198, 60, 25, 56, 197]"
57,[57]
58,"[8, 58]"
59,[59]
60,"[141, 198, 60, 25, 56, 197]"
61,[61]
62,[62]
63,[63]
64,"[64, 2]"
65,[65]
66,[66]
67,[67]
68,[68]
69,[69]
70,"[153, 70]"
71,[71]
72,[72]
73,[73]
74,[74]
75,[75]
76,[76]
77,[77]
78,[78]
79,[79]
80,[80]
81,[81]
82,[82]
83,[83]
84,[84]
85,[85]
86,[86]
87,[87]
88,[88]
89,[89]
90,[90]
91,[91]
92,[92]
93,[93]
94,[94]
95,[95]
96,[96]
97,"[97, 98]"
98,"[97, 98]"
99,[99]
100,[100]
101,"[101, 102]"
102,"[101, 102]"
103,"[103, 37]"
104,[104]
105,[105]
106,[106]
107,[107]
108,[108]
109,[109]
110,[110]
111,[111]
112,[112]
113,[113]
114,[114]
115,[115]
116,[116]
117,[117]
118,"[118, 119]"
119,"[118, 119]"
120,[120]
121,[121]
122,[122]
123,[123]
124,[124]
125,[125]
126,[126]
127,[127]
128,[128]
129,[129]
130,[130]
131,[131]
132,[132]
133,[133]
134,[134]
135,"[199, 135, 180, 181, 182, 53]"
136,"[187, 136]"
137,[137]
138,[138]
139,[139]
140,[140]
141,"[141, 198, 60, 25, 56, 197]"
142,"[142, 143, 144]"
143,"[142, 143, 144]"
144,"[142, 143, 144]"
145,[145]
146,[146]
147,[147]
148,"[148, 45]"
149,"[46, 149]"
150,"[152, 150]"
151,[151]
152,"[152, 150]"
153,"[153, 70]"
154,"[154, 47]"
155,"[155, 156]"
156,"[155, 156]"
157,[157]
158,"[27, 171, 158]"
159,[159]
160,"[160, 9, 10]"
161,[161]
162,"[162, 31, 30]"
163,"[164, 26, 166, 163]"
164,"[164, 26, 166, 163]"
165,[165]
166,"[164, 26, 166, 163]"
167,"[167, 168, 169]"
168,"[167, 168, 169]"
169,"[167, 168, 169]"
170,[170]
171,"[27, 171, 158]"
172,[172]
173,[173]
174,[174]
175,"[175, 48]"
176,"[176, 15, 196]"
177,[177]
178,[178]
179,"[179, 13]"
180,"[199, 135, 180, 181, 182, 53]"
181,"[199, 135, 180, 181, 182, 53]"
182,"[199, 135, 180, 181, 182, 53]"
183,[183]
184,"[186, 184]"
185,"[32, 185]"
186,"[186, 184]"
187,"[187, 136]"
188,"[188, 54]"
189,[189]
190,"[14, 190]"
191,"[191, 192]"
192,"[191, 192]"
193,"[55, 193]"
194,"[194, 195]"
195,"[194, 195]"
196,"[176, 15, 196]"
197,"[141, 198, 60, 25, 56, 197]"
198,"[141, 198, 60, 25, 56, 197]"
199,"[199, 135, 180, 181, 182, 53]"
