cat,system_cod,type,segment_na,map_label,bottom_wid,tile_dim,tile_mater,source,side_slope,grade,buffer_rig,buffer_lef,buffer_req,easement,easement_w,easement_1,constructi,construc_1,construc_2,notes,SHAPE_Leng
1,"CD016","Open","Main_5600","Main",8,-9998,"N/A","Plans","1:1",0.03,"Yes","Yes","2018-11-01","No",-9998,-9998,"No",-9998,-9998,,5600.15739769
2,"CD016","Open","Main_19900","Main",6,-9998,"N/A","Plans","1:1",0.07,"Yes","Yes","2018-11-01","No",-9998,-9998,"No",-9998,-9998,,14300.3924673
3,"CD048","Tile","Main_800","Main",-9998,24,"Unknown","Plans","N/A",0.26,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,800.000026023
4,"CD048","Tile","Main_2500","Main",-9998,20,"Unknown","Plans","N/A",0.74,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1699.99988302
5,"CD048","Tile","Main_4300","Main",-9998,16,"Unknown","Plans","N/A",0.4,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1800.00000961
6,"CD048","Tile","Main_4700","Main",-9998,16,"Unknown","Plans","N/A",1,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,399.999826883
7,"CD048","Tile","Main_6500","Main",-9998,16,"Unknown","Plans","N/A",0.16,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1800.00013027
8,"CD048","Tile","Main_7500","Main",-9998,14,"Unknown","Plans","N/A",0.16,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1000.00002554
9,"CD048","Tile","Main_8500","Main",-9998,12,"Unknown","Plans","N/A",0.16,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,990.443398915
10,"CD048","Tile","Branch 1_1200","Branch 1",-9998,14,"Unknown","Plans","N/A",0.2,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1200.14419974
11,"CD048","Tile","Branch 1_2700","Branch 1",-9998,10,"Unknown","Plans","N/A",1.4,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1500.18031592
12,"CD048","Tile","Branch 1_3400","Branch 1",-9998,10,"Unknown","Plans","N/A",0.26,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,700.083772036
13,"CD048","Tile","Branch 1_4000","Branch 1",-9998,8,"Unknown","Plans","N/A",0.26,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,600.072184891
14,"CD048","Tile","BR 1 Lateral A_525","BR 1 Lat A",-9998,8,"Unknown","Plans","N/A",0.2,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,524.696805515
15,"CD048","Tile","Branch 2_600","Branch 2",-9998,18,"Unknown","Plans","N/A",1.15,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,600.000200807
16,"CD048","Tile","Branch 2_2200","Branch 2",-9998,18,"Unknown","Plans","N/A",0.16,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1599.99985329
17,"CD048","Tile","Branch 2_2900","Branch 2",-9998,16,"Unknown","Plans","N/A",1.2,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,699.999938511
18,"CD048","Tile","Branch 2_5000","Branch 2",-9998,16,"Unknown","Plans","N/A",0.16,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,2100.00018221
19,"CD048","Tile","Branch 2_6100","Branch 2",-9998,10,"Unknown","Plans","N/A",0.5,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1100.00009163
20,"CD048","Tile","Branch 2_7325","Branch 2",-9998,10,"Unknown","Plans","N/A",0.2,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1225.28219747
21,"CD048","Tile","BR 2 Lateral B_700","BR 2 Lat B",-9998,10,"Unknown","Plans","N/A",0.2,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,700.000324194
22,"CD048","Tile","BR 2 Lateral B_1000","BR 2 Lat B",-9998,8,"Unknown","Plans","N/A",0.8,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,300.000039941
23,"CD048","Tile","BR 2 Lateral B_1281","BR 2 Lat B",-9998,8,"Unknown","Plans","N/A",0.3,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,281.187054871
24,"CD049","Tile","Main_1500","Main",-9998,12,"Unknown","Plans","N/A",1,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,1500.00373687
25,"CD049","Tile","Main_4100","Main",-9998,12,"Unknown","Plans","N/A",0.4,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,2600.00633107
26,"CD049","Tile","Main_4600","Main",-9998,10,"Unknown","Plans","N/A",0.4,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,500.001275704
27,"CD049","Tile","Main_5200","Main",-9998,8,"Unknown","Plans","N/A",0.4,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,600.001557135
28,"CD055","Tile","Branch 2_750","Branch 2",-9998,8,"Unknown","Plans","N/A",0.14,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,750.007286462
29,"CD055","Tile","Branch 3_375","Branch 3",-9998,8,"Unknown","Plans","N/A",0.5,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,375.005008207
30,"CD063","Tile","Main_600","Main",-9998,24,"Unknown","Plans","N/A",0.3,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,600.000091971
31,"CD063","Tile","Main_1200","Main",-9998,24,"Unknown","Plans","N/A",1.6,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,599.999802194
32,"CD063","Tile","Main_3200","Main",-9998,26,"Unknown","Plans","N/A",0.14,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,2000.00010009
33,"CD063","Tile","Main_3600","Main",-9998,18,"Unknown","Plans","N/A",0.14,"N/A","N/A","0-00-00","No",-9998,-9998,"No",-9998,-9998,,399.999953442
