cat,orig_cat
1,3
2,16
3,21
4,28
5,29
6,36
7,41
8,43
9,49
10,54
11,55
12,57
13,66
14,70
15,75
16,76
17,87
18,92
19,94
20,96
21,97
22,99
23,106
24,108
25,111
26,116
27,124
28,127
29,131
30,133
31,135
32,138
33,143
34,146
35,148
36,151
37,164
38,166
39,168
40,170
41,175
42,184
43,187
44,189
45,199
46,205
47,208
48,210
49,216
50,218
51,225
52,234
53,243
54,250
55,256
56,258
57,262
58,263
59,265
60,273
61,284
62,291
63,293
64,295
65,300
66,303
67,306
68,309
69,310
70,317
71,318
72,319
73,321
74,323
75,324
76,329
77,331
78,339
79,340
80,344
81,353
82,358
83,362
84,370
85,382
86,390
87,393
88,396
89,401
90,409
91,415
92,420
93,426
94,433
95,435
96,521
97,448
98,459
99,460
100,461
101,462
102,463
103,465
104,467
105,470
106,471
107,472
108,480
109,482
110,485
111,486
112,489
113,490
114,496
115,498
116,502
117,506
118,507
119,510
120,514
121,531
122,533
123,542
124,544
125,553
126,557
127,565
128,567
129,572
130,575
131,578
132,584
133,585
134,586
135,588
136,589
137,590
138,591
139,592
140,593
141,598
142,608
143,622
144,631
145,632
146,638
147,642
148,643
149,644
150,646
151,649
152,659
153,661
154,664
155,665
156,671
157,676
158,681
159,686
160,692
161,699
162,702
163,706
164,710
165,715
166,721
167,728
168,733
169,742
170,757
171,2572
172,768
173,774
174,779
175,782
176,788
177,792
178,795
179,801
180,805
181,807
182,808
183,810
184,813
185,818
186,820
187,823
188,824
189,826
190,829
191,831
192,833
193,834
194,840
195,842
196,847
197,849
198,852
199,859
200,862
201,864
202,869
203,870
204,876
205,879
206,881
207,882
208,883
209,887
210,896
211,907
212,908
213,910
214,914
215,919
216,922
217,927
218,933
219,935
220,937
221,940
222,945
223,948
224,950
225,954
226,955
227,965
228,970
229,972
230,973
231,976
232,980
233,985
234,987
235,990
236,991
237,1003
238,1005
239,1010
240,1011
241,1013
242,1014
243,1020
244,1022
245,1026
246,1033
247,1034
248,1039
249,1043
250,1047
251,1050
252,1053
253,1057
254,1063
255,1064
256,1067
257,1073
258,1076
259,1085
260,1087
261,1090
262,1093
263,1105
264,1107
265,1110
266,1112
267,1114
268,1122
269,1124
270,1129
271,1133
272,1137
273,1139
274,1141
275,1142
276,1144
277,1150
278,1153
279,2476
280,1160
281,1164
282,1165
283,1167
284,1182
285,1183
286,1191
287,1193
288,1194
289,1197
290,1201
291,1202
292,1205
293,1214
294,1217
295,1218
296,1219
297,1221
298,1222
299,1224
300,1237
301,1244
302,1247
303,1248
304,1250
305,1253
306,1254
307,1255
308,1257
309,1259
310,1263
311,1265
312,1268
313,1272
314,1277
315,1281
316,1287
317,1292
318,1298
319,1300
320,1305
321,1309
322,1313
323,1316
324,1317
325,1321
326,1323
327,1339
328,1341
329,1344
330,1349
331,1350
332,1355
333,1357
334,1360
335,1365
336,1366
337,1368
338,1373
339,1374
340,1379
341,1380
342,1388
343,1392
344,1394
345,1401
346,1408
347,1410
348,1421
349,1425
350,1426
351,1430
352,1432
353,1436
354,1439
355,1442
356,1461
357,1463
358,1467
359,1475
360,1480
361,1487
362,1489
363,1494
364,1495
365,1496
366,1504
367,1506
368,1513
369,1517
370,1519
371,1524
372,1528
373,1529
374,1532
375,1541
376,1549
377,1552
378,1560
379,1568
380,1570
381,1572
382,1574
383,1578
384,1580
385,1581
386,1583
387,1587
388,1590
389,1593
390,1594
391,1606
392,1609
393,1611
394,1613
395,1616
396,1623
397,1626
398,1628
399,1630
400,1636
401,1638
402,1666
403,1674
404,1675
405,1676
406,1685
407,1688
408,1694
409,1695
410,1707
411,1708
412,1712
413,1716
414,1717
415,1720
416,1727
417,1731
418,1736
419,1737
420,1738
421,1748
422,1754
423,1691
424,1767
425,1770
426,1771
427,1772
428,1776
429,1779
430,1782
431,1784
432,1787
433,1790
434,1800
435,1802
436,1804
437,1805
438,1806
439,1810
440,1814
441,1829
442,1833
443,1797
444,1844
445,1847
446,1849
447,1856
448,1860
449,1861
450,1866
451,1872
452,1874
453,1878
454,1881
455,1882
456,1885
457,1888
458,1895
459,1899
460,1903
461,1906
462,1907
463,1911
464,1920
465,1924
466,1926
467,1929
468,1936
469,1939
470,1940
471,1943
472,1952
473,1957
474,1962
475,1977
476,1979
477,1995
478,1999
479,2008
480,2020
481,2023
482,2026
483,2029
484,2037
485,2041
486,2048
487,2051
488,2055
489,2063
490,2067
491,2077
492,2079
493,2083
494,2084
495,2086
496,2086
497,2088
498,2092
499,2095
500,2107
501,2123
502,2128
503,2130
504,2138
505,2144
506,2145
507,2148
508,2158
509,2160
510,2163
511,2168
512,2173
513,2175
514,2188
515,2199
516,2201
517,2203
518,2213
519,2216
520,2219
521,2220
522,2221
523,2227
524,2234
525,2240
526,2242
527,2250
528,2253
529,2255
530,2256
531,2261
532,2269
533,2273
534,2274
535,2277
536,2280
537,2284
538,2299
539,2304
540,2315
541,2318
542,2320
543,2322
544,2324
545,2330
546,2331
547,2344
548,2346
549,2353
550,2366
551,2367
552,2369
553,2376
554,2378
555,2382
556,2385
557,2387
558,2394
559,2396
560,2398
561,2402
562,2417
563,2430
564,2431
565,2442
566,2445
567,2455
568,2456
569,2458
570,2459
571,2463
572,2465
573,2468
574,2478
575,2482
576,2487
577,2490
578,2492
579,2495
580,2496
581,2498
582,2507
583,2513
584,2518
585,2523
586,2526
587,2530
588,2532
589,2539
590,2540
591,2551
592,2557
593,2559
594,2564
595,2568
596,2575
597,2579
598,2600
599,2609
600,2622
601,2629
602,2633
603,2638
604,2645
605,2655
606,2662
607,2673
608,2678
609,2682
610,2693
611,2697
612,2701
613,2707
614,2720
615,2728
616,2732
617,2734
618,2743
619,2747
620,2771
621,2772
622,2775
623,2777
624,2778
625,2783
626,2788
627,2790
628,2792
629,2796
630,2800
631,2801
632,2804
633,2812
634,2815
635,2823
636,2824
637,2826
638,2828
639,2832
640,2833
641,2835
642,2836
643,2838
644,2050
645,2849
646,2864
647,2878
648,2893
649,2902
650,3727
651,2912
652,2913
653,2916
654,2919
655,3791
656,2934
657,2942
658,2950
659,2955
660,2958
661,2965
662,2979
663,2981
664,2989
665,2991
666,3001
667,3006
668,3008
669,3010
670,3011
671,3020
672,3022
673,3024
674,3026
675,3027
676,3029
677,3031
678,3032
679,3039
680,3043
681,3052
682,3060
683,3075
684,3082
685,3084
686,3085
687,3097
688,3101
689,3103
690,3110
691,3117
692,3126
693,3144
694,3147
695,3148
696,3149
697,3154
698,3158
699,3183
700,3196
701,3213
702,3217
703,3224
704,3229
705,3231
706,3238
707,3240
708,3241
709,3243
710,3245
711,3249
712,3251
713,3253
714,3254
715,3255
716,3257
717,3262
718,3263
719,3264
720,3354
721,3281
722,3283
723,3294
724,3297
725,3299
726,3300
727,3312
728,3313
729,3314
730,3317
731,3318
732,3326
733,3367
734,3340
735,3341
736,3351
737,3331
738,3356
739,3327
740,3319
741,3336
742,3373
743,3374
744,3375
745,3382
746,3391
747,3400
748,3401
749,3408
750,3415
751,3416
752,3418
753,3419
754,3422
755,3423
756,3426
757,3434
758,3435
759,3436
760,3439
761,3442
762,3453
763,3456
764,3460
765,3470
766,3471
767,3473
768,3487
769,3490
770,3494
771,3497
772,3508
773,3525
774,3530
775,3536
776,3543
777,3544
778,3547
779,3552
780,3553
781,3557
782,3560
783,3561
784,3563
785,3567
786,3578
787,3579
788,3582
789,3590
790,3593
791,3598
792,3605
793,3607
794,3612
795,3614
796,3634
797,3636
798,3637
799,3645
800,3649
801,3650
802,3656
803,3659
804,3669
805,3671
806,3672
807,3682
808,3683
809,3684
810,3686
811,3688
812,3689
813,3693
814,3694
815,3715
816,3719
817,3726
818,3740
819,3757
820,3761
821,3763
822,3770
823,3810
824,3822
825,3831
826,3832
827,3833
828,3839
829,3785
830,5
831,14
832,13
833,4
834,15
835,24
836,2662
837,45
838,32
839,33
840,47
841,58
842,59
843,63
844,34
845,65
846,67
847,73
848,72
849,72
850,68
851,82
852,88
853,84
854,80
855,86
856,90
857,83
858,95
859,102
860,100
861,110
862,113
863,114
864,115
865,118
866,120
867,121
868,121
869,132
870,122
871,152
872,157
873,158
874,159
875,173
876,163
877,178
878,180
879,197
880,192
881,193
882,203
883,206
884,213
885,220
886,219
887,224
888,233
889,259
890,254
891,254
892,270
893,281
894,274
895,275
896,286
897,296
898,296
899,298
900,288
901,301
902,299
903,305
904,307
905,312
906,2467
907,315
908,313
909,314
910,320
911,333
912,335
913,328
914,347
915,351
916,354
917,355
918,356
919,368
920,384
921,399
922,406
923,412
924,424
925,431
926,437
927,439
928,444
929,361
930,456
931,451
932,452
933,453
934,466
935,454
936,455
937,476
938,473
939,473
940,487
941,475
942,493
943,475
944,494
