from_cat,cat
2,20
2,37
7,6
7,8
8,24
8,26
8,82
12,46
12,94
20,81
20,100
22,23
22,152
29,68
29,83
30,116
31,77
31,109
37,36
37,123
41,91
41,108
42,43
42,92
46,95
46,97
47,80
47,96
47,120
48,49
48,143
53,13
53,14
54,53
54,55
55,52
55,56
61,60
61,145
66,21
66,127
70,39
70,69
71,27
71,155
73,29
73,157
79,33
79,104
86,35
86,136
87,3
87,41
88,4
88,89
91,42
91,93
93,44
93,141
94,48
94,50
100,148
100,149
104,107
104,113
106,105
106,167
108,12
108,45
109,111
110,111
112,116
116,31
116,115
117,19
117,147
119,66
119,84
126,11
126,90
129,72
129,156
139,40
139,140
142,47
142,124
144,10
144,17
145,18
145,117
148,114
148,150
153,128
153,154
154,71
154,75
157,28
157,158
158,99
158,146
159,51
159,98
160,121
160,159
162,161
162,163
163,164
163,165
164,32
164,106
165,132
165,166
