cat,a_cat,b_cat,to_x,to_y
1,1230,1,396152.027539622,4852521.36601023
2,1797,1,398439.698633212,4857366.62137243
3,1759,1,388731.487992423,4878449.43820532
4,1996,1,436965.249937384,4898763.69312553
5,2759,1,423842.29550983,4861775.42687499
6,2763,1,431139.931143037,4868536.23657656
7,3893,1,426422.056030788,4879148.97981839
8,1475,1,425887.743962747,4879567.68713952
9,1626,1,433867.341811375,4899028.42376358
10,1682,1,390017.052809097,4852569.31862745
11,1797,1,392339.933245563,4857479.59360731
12,3554,1,432162.328664357,4890729.16996993
13,4085,1,395922.941347287,4879128.55898229
14,1610,1,393781.814367803,4879735.68921085
15,1892,1,421973.018269438,4864305.74764073
16,1965,1,436400.466248847,4888588.47736578
17,3772,1,426701.22356003,4863465.59369107
18,2402,1,427850.36498005,4861058.69985504
19,1749,1,424912.286400428,4889137.90658502
20,2066,1,421414.143749689,4854883.45263471
21,2378,1,418451.302518206,4856306.89345723
22,2448,1,431057.489559431,4858146.116618
23,2400,1,429547.435640806,4858259.392639
24,2402,1,427826.493896848,4857945.84446319
25,2297,1,424852.217084933,4857312.63064124
26,4281,1,424247.818311755,4858310.37636683
27,2594,1,430457.01230027,4879393.02297894
28,3500,1,399255.727782862,4884307.93839969
29,1428,1,392152.677206297,4894415.06211116
30,915,1,391834.07273191,4894527.2719298
31,418,1,392073.202721301,4887233.56580861
32,1892,1,398513.932678112,4860978.98504305
33,1221,1,440807.530567269,4860079.47445007
34,962,1,433586.239894899,4874006.22842181
35,2589,1,432778.855672272,4873584.25934911
36,1287,1,440989.159257451,4889131.7127604
37,2811,1,410901.376431106,4856398.04904021
38,2447,1,441563.193418549,4861995.81803238
39,2447,1,441555.282163041,4860699.96773337
40,2068,1,421000.850215355,4853790.95080035
41,2065,1,421063.586686617,4852181.65046667
42,2903,1,393634.539711458,4885894.52147323
43,2903,1,393327.557695229,4885709.37546482
44,1466,1,420612.079809489,4854753.89165216
45,1027,1,418882.938789917,4853011.01304381
46,2387,1,419933.4790778,4850584.01510992
47,1461,1,419577.630319223,4849784.53431389
48,3341,1,402083.709078759,4858618.2467764
49,1892,1,409433.98920261,4860054.15738223
50,3547,1,429890.449519893,4882732.17568253
51,3867,1,403054.560593762,4872064.60461814
52,3495,1,406160.060926407,4873115.11820156
53,4000,1,404655.887200871,4871840.3991362
54,3076,1,426639.110916878,4898916.0949814
55,948,1,396714.872050834,4878926.76659715
56,1000,1,402705.027693718,4883851.81309756
57,2983,1,401652.405700299,4881832.41955142
58,1986,1,398374.905729656,4879767.53548671
59,1415,1,397749.777491479,4884728.82551444
60,1908,1,398466.333244515,4885309.38777193
61,3534,1,401663.848810826,4885019.99893813
62,3416,1,400070.877220868,4885167.18035412
63,3437,1,390765.962660983,4896155.21005598
64,1892,1,436316.521010677,4860134.89977472
65,889,1,406737.958195469,4873341.1643208
66,1737,1,395083.601091121,4854141.86876108
67,1316,1,395718.59587194,4855812.95960687
68,1797,1,395940.36563858,4857413.39110982
69,1791,1,433557.75685493,4866623.28641696
70,3070,1,434480.742580075,4881860.92960415
71,447,1,437564.056888971,4863341.28355091
72,1944,1,436739.193454549,4863701.77498398
73,2770,1,434335.263390663,4865666.03601517
74,1908,1,398496.117959755,4887408.03151437
75,447,1,432265.470608718,4862594.68042122
76,1126,1,436909.838807547,4883870.46268542
77,2104,1,435118.577589465,4882673.59561458
78,2400,1,423165.751358153,4874278.96077362
79,3884,1,424776.608482479,4874743.65204518
80,2373,1,439777.683159001,4889885.37577322
81,2373,1,440792.231707883,4889875.60790235
82,2373,1,439928.509192952,4889882.10831674
83,1287,1,440987.791935345,4889914.99528379
84,493,1,440051.946560049,4861690.5214204
85,881,1,440812.663323537,4881011.88013678
86,2293,1,424146.397876379,4859463.64346415
87,2757,1,423980.973420553,4858664.93615747
88,3914,1,396871.628722928,4887971.04247268
89,2895,1,396939.993657152,4890892.0590865
90,2007,1,413490.757413962,4871559.56365687
91,2506,1,413490.757413962,4871559.56365687
92,4299,1,398322.272171306,4858979.16142811
93,301,1,398055.870972565,4851650.93982917
94,2051,1,398732.552587782,4855757.51270811
95,795,1,398439.698633212,4857366.62137243
96,3790,1,398322.272171306,4858979.16142811
97,1888,1,390368.80133192,4880832.45568195
98,1985,1,390947.197905139,4881438.20426301
99,3994,1,390946.34064696,4881472.29092413
100,3397,1,390368.80133192,4880832.45568195
101,710,1,390368.80133192,4880832.45568195
102,1889,1,390368.80133192,4880832.45568195
103,1349,1,390368.80133192,4880832.45568195
104,686,1,390368.80133192,4880832.45568195
105,3011,1,436752.792961203,4897965.01655042
106,1535,1,436965.249937384,4898763.69312553
107,1285,1,436965.249937384,4898763.69312553
108,1629,1,436965.249937384,4898763.69312553
109,2005,1,436965.249937384,4898763.69312553
110,1022,1,436965.249937384,4898763.69312553
111,3280,1,423842.29550983,4861775.42687499
112,2289,1,423842.29550983,4861775.42687499
113,782,1,431139.931143037,4868536.23657656
114,3468,1,427219.721414756,4877748.89061831
115,3467,1,427219.721414756,4877748.89061831
116,2943,1,427219.721414756,4877748.89061831
117,469,1,426422.056030788,4879148.97981839
118,462,1,425887.743962747,4879567.68713952
119,1996,1,434314.957858294,4898784.22885494
120,1535,1,434314.957858294,4898784.22885494
121,886,1,434314.957858294,4898784.22885494
122,1022,1,434314.957858294,4898784.22885494
123,2005,1,434314.957858294,4898784.22885494
124,516,1,434314.957858294,4898784.22885494
125,1629,1,434314.957858294,4898784.22885494
126,1285,1,434314.957858294,4898784.22885494
127,935,1,433867.341811375,4899028.42376358
128,920,1,398572.895163932,4892416.9194089
129,920,1,398583.126564653,4892779.90173093
130,3905,1,397360.619028649,4892379.23907146
131,2896,1,397360.619028649,4892379.23907146
132,751,1,390425.231397262,4896757.86931139
133,565,1,387214.320839309,4897834.7250758
134,1726,1,387214.320839309,4897834.7250758
135,1134,1,390425.231397262,4896757.86931139
136,2869,1,390425.231397262,4896757.86931139
137,3873,1,390425.231397262,4896757.86931139
