cat,orig_cat
1,99
2,250
3,273
4,361
5,393
6,514
7,510
8,533
9,604
10,887
11,1167
12,1666
13,1936
14,1939
15,1954
16,1999
17,2008
18,2019
19,2055
20,2223
21,2416
22,2518
23,2523
24,2693
25,2699
26,2701
27,2747
28,2864
29,2878
30,3354
31,3279
32,3822
33,3839
34,206
35,243
36,254
37,253
38,384
39,537
40,1474
41,1663
42,1710
43,1714
44,1721
45,1738
46,1781
47,1743
48,1850
49,1851
50,1671
51,3035
52,1933
53,1935
54,1931
55,1932
56,1945
57,1946
58,2036
59,2040
60,756
61,752
62,2116
63,2137
64,2231
65,2264
66,2412
67,2568
68,2883
69,2649
70,2649
71,3160
72,2761
73,2857
74,2923
75,2744
76,3807
77,3288
78,3479
79,3732
80,1814
81,2232
82,2697
83,2877
84,3733
85,3806
86,240
87,1661
88,359
89,367
90,2408
91,1704
92,1710
93,1706
94,1670
95,1782
96,1744
97,1796
98,3385
99,2033
100,2224
101,3780
102,3103
103,3484
104,3828
105,3825
106,3819
107,3830
108,1666
109,3286
110,3273
111,3272
112,3274
113,3828
114,2276
115,3278
116,3277
117,2015
118,3380
119,2411
120,2499
121,3035
122,248
123,260
124,1753
125,2403
126,2407
127,2425
128,2745
129,2748
130,3775
131,3792
132,3823
133,3836
134,1
135,235
136,247
137,1170
138,1174
139,1419
140,1419
141,1706
142,1743
143,1862
144,1990
145,2015
146,2034
147,2016
148,2225
149,2268
150,2226
151,2406
152,2522
153,2744
154,2744
155,2746
156,2749
157,2862
158,2033
159,3035
160,3035
161,3820
162,3819
163,3819
164,3819
165,3821
166,3821
167,3819
