cat,x,y
1,393315.79621961,4885637.7963758
2,393315.749629082,4885637.70789234
3,393293.824415406,4885593.20508353
4,393293.852583651,4885593.3010343
5,393786.213215255,4879944.09408509
6,393786.215800309,4879944.19405167
7,393809.770249325,4879980.72814876
8,393809.672158878,4879980.70869974
9,393328.217524461,4885734.15535277
10,393328.215915032,4885734.05536572
11,393327.915266622,4885684.57490187
12,393327.911454568,4885684.67482918
13,395923.283269462,4879153.36061568
14,395923.281931278,4879153.26062463
15,395923.177046747,4879103.75008307
16,395923.168330293,4879103.84970246
17,393779.183698721,4879710.93962753
18,393779.186283774,4879711.03959411
19,393780.987415822,4879760.57079742
20,393780.974896094,4879760.47158423
21,393238.770809017,4884825.52172012
22,393238.796355534,4884825.4250383
23,393250.940810799,4884777.33212798
24,393250.92503213,4884777.43087531
25,395608.751359013,4883194.82299774
26,395608.699599278,4883194.73743531
27,395600.815151646,4883145.85242881
28,395600.88537975,4883145.92361879
29,392507.991493309,4888608.94665608
30,392507.906781782,4888608.999797
31,392461.731001085,4888625.45075825
32,392461.824488772,4888625.41526103
33,396916.599899191,4890900.3649483
34,396916.67980029,4890900.30481665
35,396964.666410653,4890894.4399816
36,396964.566417943,4890894.44118899
37,400092.554692619,4885154.9205318
38,400092.470925055,4885154.97514861
39,400050.137536896,4885180.74266724
40,400050.235414284,4885180.72217292
41,392098.199143982,4887233.53978168
42,392098.099144101,4887233.53993599
43,392048.43557265,4887233.72835819
44,392048.535554064,4887233.72643029
45,396937.711662559,4877507.84193888
46,396937.767861083,4877507.75922416
47,396965.012701118,4877467.47842546
48,396965.033487776,4877467.57624118
49,390929.190034375,4881698.05540452
50,390929.183032261,4881698.15515907
51,390919.14857237,4881796.47207998
52,390919.176679802,4881796.37611138
53,389422.644039204,4879620.19264768
54,389422.659466895,4879620.29145044
55,389468.623069026,4879639.14694839
56,389468.532882198,4879639.19014951
57,398468.389378845,4883598.81172404
58,398468.290733918,4883598.79531738
59,398414.070668941,4883589.6586549
60,398414.15144122,4883589.59969866
61,395914.608506323,4878353.14077854
62,395914.610088098,4878353.04079105
63,395909.834952042,4878297.33128675
64,395909.907884585,4878297.39970344
65,396239.963353698,4886393.1386286
66,396239.991782138,4886393.0427546
67,396251.861267837,4886353.01329479
68,396251.832839398,4886353.10916879
69,396737.379776532,4878941.35107337
70,396737.297919154,4878941.29363323
71,396702.226177766,4878916.68344045
72,396702.308035142,4878916.74088059
73,390496.940825351,4886177.97135606
74,390496.840884393,4886177.97479189
75,390444.224230791,4886183.01710078
76,390444.308138995,4886182.96270029
77,396914.849866909,4878326.95734968
78,396914.749931341,4878326.96093886
79,396896.829443759,4878281.5817803
80,396896.829534005,4878281.68178026
81,388719.492478126,4878425.83844043
82,388719.552559857,4878425.91837906
83,388744.784699934,4878469.63071776
84,388744.826524309,4878469.53988427
85,399257.041742686,4884332.67448685
86,399257.040514276,4884332.57449439
87,399256.653942584,4884283.17493664
88,399256.645215126,4884283.27455507
89,398401.68317734,4879778.55624338
90,398401.596147973,4879778.50699007
91,398354.336121091,4879753.6934965
92,398354.424847007,4879753.73962363
93,390341.514713823,4880835.83753694
94,390341.614704616,4880835.83617996
95,390393.399043001,4880835.3825512
96,390393.300695272,4880835.36444805
97,393062.398219253,4888017.87522622
98,393062.367960724,4888017.97053845
99,393051.230052569,4888065.23946544
100,393051.267700697,4888065.14682301
101,393062.398219253,4888017.87522622
102,393062.300524238,4888017.89657298
103,393042.329667056,4888020.4198311
104,393042.42962286,4888020.41685835
105,396871.051467418,4887946.17630743
106,396871.051749865,4887946.27630703
107,396869.458885577,4887995.88781794
108,396869.46440992,4887995.78797065
109,401689.20103011,4885023.38507371
110,401689.104249474,4885023.35990412
111,401639.081662175,4885017.64570856
112,401639.179533756,4885017.66623058
113,400115.235818717,4886435.77366926
114,400115.149259769,4886435.82374469
115,400064.706928924,4886458.17126028
116,400064.787287194,4886458.11174097
117,400784.17317512,4879872.44972649
118,400784.174703918,4879872.34973818
119,400783.31956333,4879822.1970605
120,400783.318425998,4879822.29705403
121,390947.845623728,4881413.42354667
122,390947.843051155,4881413.52351357
123,390944.418395981,4881497.18771843
124,390944.435812123,4881497.08924672
125,397764.324105423,4884749.1991924
126,397764.272675961,4884749.11343104
127,397735.115385698,4884708.63017241
128,397735.177331293,4884708.70867555
129,395596.096157021,4883037.68411803
130,395596.096844206,4883037.58412039
131,395559.968779852,4882901.68322824
132,395560.002446188,4882901.77739075
133,393634.776327172,4885919.33030978
134,393634.775333155,4885919.23031472
135,393678.256068078,4885876.26458259
136,393678.188895501,4885876.33866258
137,402879.78222469,4884372.1656813
138,402879.733562043,4884372.07832028
139,402855.480464477,4884328.81867175
140,402855.513845902,4884328.91293563
141,402943.195619784,4884473.42127803
142,402943.124801658,4884473.35067496
143,402912.407592346,4884438.17435918
144,402912.454003599,4884438.26293681
145,401677.656475054,4881841.08126329
146,401677.561101062,4881841.0512
147,401629.799835841,4881821.92604137
148,401629.891830849,4881821.96524492
149,398498.27090914,4885308.31889252
150,398498.170950783,4885308.31600689
151,398441.564035767,4885308.02837536
152,398441.663403605,4885308.01714892
153,398521.103123329,4887408.13945738
154,398521.003827598,4887408.12761012
155,398469.967804193,4887407.22605443
156,398470.026592827,4887407.14516008
157,395302.951817544,4887568.93780451
158,395302.851831674,4887568.93948553
159,395249.789138098,4887573.797693
160,395249.886842244,4887573.77638808
161,393708.201778651,4887752.00628958
162,393708.101809165,4887752.00875978
163,393654.429903382,4887750.00326229
164,393654.529386569,4887750.01341588
165,402821.975533833,4884269.00804748
166,402821.924309796,4884268.92216327
167,402803.582309533,4884216.9064488
168,402803.637298369,4884216.98997262
169,402786.945005482,4884159.60317294
170,402786.920301573,4884159.50627239
171,402773.509475605,4884107.41721523
172,402773.534634215,4884107.51399873
173,406224.156121082,4887526.75838436
174,406224.089382843,4887526.83285588
175,406152.806853979,4887638.15539
176,406152.833694024,4887638.05905926
177,399252.490569059,4883880.78498519
178,399252.489340719,4883880.68499273
179,399250.837873827,4883746.24806278
180,399250.839102167,4883746.34805524
181,402712.086590144,4883875.58917447
182,402712.061978174,4883875.49225052
183,402697.940337807,4883825.3884025
184,402697.945453137,4883825.48827158
185,393064.037031949,4888016.22320752
186,393063.966605598,4888016.29420138
187,393062.398219253,4888017.87522622
188,393062.468645604,4888017.80423235
