from_cat,cat
2,36
2,122
7,6
7,8
8,23
8,25
8,81
12,44
12,93
21,22
21,154
28,66
28,82
29,116
30,75
30,109
36,35
36,125
40,90
40,108
41,42
41,91
44,94
44,96
45,79
45,95
45,101
46,47
46,145
51,13
51,14
52,51
52,54
54,50
54,53
59,58
59,147
64,20
64,129
68,38
68,67
69,26
69,157
71,28
71,159
77,32
77,103
85,34
85,138
86,3
86,40
87,4
87,88
90,41
90,92
92,119
92,143
93,46
93,48
99,150
99,151
103,107
103,113
106,105
106,169
108,12
108,43
109,111
110,111
112,116
116,30
116,115
117,19
117,149
120,64
120,83
122,80
122,99
128,11
128,89
131,70
131,158
141,39
141,142
144,45
144,126
146,10
146,17
147,18
147,117
151,114
151,152
154,123
154,137
155,130
155,156
156,69
156,73
159,27
159,160
160,98
160,148
161,49
161,97
162,121
162,161
164,163
164,165
165,166
165,167
166,31
166,106
167,133
167,168
