cat,orig_cat
1,99
2,250
3,273
4,361
5,393
6,514
7,510
8,533
9,604
10,887
11,1167
12,1666
13,1936
14,1939
15,1954
16,1999
17,2008
18,2019
19,2055
20,2416
21,2518
22,2523
23,2693
24,2699
25,2701
26,2747
27,2864
28,2878
29,3354
30,3279
31,3822
32,3839
33,206
34,243
35,254
36,253
37,384
38,537
39,1474
40,1663
41,1710
42,1714
43,1738
44,1781
45,1743
46,1850
47,1851
48,1671
49,3035
50,1933
51,1935
52,1931
53,1945
54,1932
55,1946
56,2036
57,2040
58,756
59,752
60,2116
61,2137
62,2231
63,2264
64,2412
65,2568
66,2883
67,2649
68,2649
69,3160
70,2761
71,2857
72,2923
73,2744
74,3807
75,3288
76,3479
77,3732
78,3484
79,1814
80,2232
81,2697
82,2877
83,3733
84,3806
85,240
86,1661
87,359
88,367
89,2408
90,1704
91,1710
92,1706
93,1670
94,1782
95,1744
96,1796
97,3385
98,2033
99,2224
100,3780
101,2499
102,3103
103,3828
104,3775
105,3825
106,3819
107,3830
108,1666
109,3286
110,3273
111,3272
112,3274
113,3828
114,2276
115,3278
116,3277
117,2015
118,3380
119,1721
120,2411
121,3035
122,2223
123,239
124,248
125,260
126,1753
127,2403
128,2407
129,2425
130,2745
131,2748
132,3792
133,3823
134,3836
135,1
136,235
137,2522
138,247
139,1170
140,1174
141,1419
142,1419
143,1706
144,1743
145,1862
146,1990
147,2015
148,2034
149,2016
150,2268
151,2225
152,2226
153,2406
154,2522
155,2744
156,2744
157,2746
158,2749
159,2862
160,2033
161,3035
162,3035
163,3820
164,3819
165,3819
166,3819
167,3821
168,3821
169,3819
