from_cat,cat
2,3
2,261
6,7
6,208
8,9
8,209
9,10
9,305
15,16
15,281
16,12
16,13
16,280
17,283
17,284
18,19
18,21
23,24
23,26
26,22
26,27
27,212
27,213
32,33
32,34
33,31
33,215
34,35
34,36
36,37
36,309
40,41
40,42
42,43
42,44
54,55
54,218
59,67
61,57
61,63
62,23
62,61
63,58
63,64
64,66
64,220
65,221
65,310
70,69
70,311
71,222
71,223
73,74
73,75
76,4
76,73
78,224
79,210
79,282
80,79
80,83
81,287
81,313
83,84
83,312
87,86
87,289
88,85
88,89
92,91
92,93
99,100
99,227
101,97
101,105
102,108
102,226
103,102
103,109
104,106
105,106
109,107
109,228
111,99
111,112
113,114
113,115
117,126
117,230
118,125
118,132
119,123
119,229
121,122
121,294
122,119
122,292
123,124
123,127
124,231
124,232
127,128
127,130
128,129
128,293
133,134
133,135
136,140
136,234
137,263
138,145
138,314
139,147
139,238
140,141
140,237
142,297
143,297
148,239
148,298
153,152
153,154
154,155
154,159
155,160
155,315
156,157
156,165
157,158
157,163
158,164
158,241
160,161
160,299
169,186
169,247
172,171
172,303
173,174
173,242
174,167
174,245
175,176
175,188
176,177
176,189
177,190
177,246
182,169
182,187
183,185
183,248
192,193
192,249
194,317
195,224
196,197
198,257
199,257
200,202
201,200
202,203
204,201
205,203
206,201
210,78
210,82
214,28
214,30
217,53
217,54
219,51
219,52
220,60
220,65
221,67
226,111
226,291
228,95
228,290
230,120
230,121
232,118
232,133
233,217
233,240
234,295
234,296
235,138
235,144
238,148
238,264
240,8
240,136
242,166
242,180
245,181
245,301
246,178
246,191
247,183
247,244
248,243
248,316
250,254
250,274
251,252
251,272
252,253
252,271
253,266
254,275
254,278
255,256
256,197
257,200
262,29
262,214
264,151
264,236
265,273
265,277
266,250
266,270
267,153
268,153
269,194
270,254
270,274
271,266
272,251
272,279
274,275
274,278
275,265
275,319
276,17
276,259
278,265
278,319
279,317
282,15
282,320
283,18
283,20
284,211
284,307
285,32
285,38
287,80
287,288
289,88
289,90
290,96
290,101
291,98
291,110
295,263
298,149
298,150
300,173
300,179
301,168
301,302
302,175
302,182
303,267
303,268
303,300
304,256
314,139
314,146
315,156
315,162
316,170
316,184
317,194
318,202
319,273
319,277
320,14
320,306
