cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,45093,"18021508",5122,"residential","217th Avenue",,"B",0,0,"F","F",1,371314.444879543,4906990.06513613
2,44256,"18020545",5122,"residential","225th Street",,"B",0,0,"F","F",1,372250.504181853,4905330.18482599
3,446202,"460137216",5113,"primary","Richard J. Mathiowetz Memorial Highway","MN 4","B",96,0,"F","F",1,362412.330128189,4889821.32884636
4,446202,"460137216",5113,"primary","Richard J. Mathiowetz Memorial Highway","MN 4","B",96,0,"F","F",1,362427.705188403,4891690.8003142
5,43154,"18019238",5141,"service",,,"B",0,0,"F","F",1,363047.785194698,4907976.384324
6,44940,"18021316",5122,"residential","325th Avenue",,"B",0,0,"F","F",1,353253.57941453,4896112.44073042
7,45121,"18021537",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,380778.446145147,4896335.7761
8,42995,"18019050",5122,"residential","445th Avenue",,"B",0,0,"F","F",1,333968.253021803,4897879.2157
9,45159,"18021581",5122,"residential","140th Street",,"B",0,0,"F","F",1,346168.122533861,4892066.78966872
10,43647,"18019862",5122,"residential","T-100",,"B",0,0,"F","F",1,360229.987893547,4903150.56552701
11,446201,"460136045",5112,"trunk","US Highway 14","US 14;MN 68","B",96,0,"F","F",1,370945.535334307,4908701.56064252
12,42834,"18018852",5122,"residential","230th Avenue",,"B",0,0,"F","F",1,368611.723408272,4897143.71956186
13,510176,"691708958",5122,"residential","200th Avenue",,"B",0,0,"F","F",1,374311.010677094,4895255.09905163
14,946002,"1357664187",5141,"service",,,"B",0,0,"F","F",1,382450.371371259,4888128.37040586
15,205416,"18216386",5122,"residential","160th Street",,"B",0,0,"F","F",1,330254.74368983,4905378.02747576
16,45113,"18021528",5122,"residential","250th Avenue",,"B",0,0,"F","F",1,365600.040505154,4888334.84141574
17,45058,"18021469",5115,"tertiary","County Road 10","CR 10","B",0,0,"F","F",1,368832.701299741,4888115.10549133
18,44010,"18020263",5122,"residential","T-135",,"B",0,0,"F","F",1,359623.925581429,4909698.72070232
19,43107,"18019183",5141,"service",,,"B",0,0,"F","F",1,359737.309897319,4911035.12842479
20,44309,"18020606",5115,"tertiary","County Road 29","CR 29","B",88,0,"F","F",1,361439.036975815,4914371.11416592
21,44507,"18020821",5122,"residential","320th Avenue",,"B",0,0,"F","F",1,354482.986416595,4888886.1212
22,435623,"425091357",5115,"tertiary","County Road 8","CR 8","B",0,0,"F","F",1,356103.607957583,4887905.44197153
23,43697,"18019918",5122,"residential","150th Avenue",,"B",0,0,"F","F",1,382361.339060131,4895230.74337387
24,45083,"18021497",5115,"tertiary","County Road 11","CR 11","B",0,0,"F","F",1,373761.399514128,4894727.58875548
25,44178,"18020460",5115,"tertiary","County Road 22","CR 22","B",0,0,"F","F",1,375494.864119558,4894830.57473862
26,258107,"18279902",5122,"residential","690th Avenue",,"B",0,0,"F","F",1,363970.83447011,4885313.19415557
27,446202,"460137216",5113,"primary","Richard J. Mathiowetz Memorial Highway","MN 4","B",96,0,"F","F",1,365464.5192,4885341.70757299
28,45113,"18021528",5122,"residential","250th Avenue",,"B",0,0,"F","F",1,365580.382462417,4886340.98643791
29,44056,"18020321",5141,"service","136th Avenue",,"B",0,0,"F","F",1,384759.297790767,4894678.95898897
30,634227,"833218738",5112,"trunk",,"MN 15","B",96,0,"F","F",1,385568.220630828,4894881.38209555
31,44722,"18021064",5115,"tertiary","260th Street","CR 6","B",0,0,"F","F",1,374649.460900136,4885157.91386208
32,257100,"18278748",5122,"residential","800th Avenue",,"B",0,0,"F","F",1,382399.898118881,4884984.79684455
33,300980,"91940978",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,380062.799970084,4887745.00881593
34,44295,"18020591",5114,"secondary","County Road 28","CR 28","B",0,0,"F","F",1,351377.273382224,4911358.52739045
35,205111,"18216010",5121,"unclassified","220th Street",,"B",0,0,"F","F",1,346868.710057339,4914676.12667188
36,205973,"18217059",5121,"unclassified","Prairie Avenue",,"B",0,0,"F","F",1,344007.308243146,4911967.21219295
37,207096,"18218420",5115,"tertiary","County Road 16","CR 16","B",0,0,"F","F",1,344767.608436254,4916355.76860435
38,205078,"18215970",5115,"tertiary","Midway Avenue","CR 23","B",0,0,"F","F",1,333506.452088049,4907705.37247491
39,205025,"18215907",5121,"unclassified","Nature Avenue",,"B",0,0,"F","F",1,335068.212003708,4906330.74963247
40,206999,"18218300",5122,"residential","205th Street",,"B",0,0,"F","F",1,331497.140299965,4912614.69377265
41,206453,"18217662",5122,"residential","260th Street",,"B",0,0,"F","F",1,321551.765281275,4921819.41400609
42,41615,"18017469",5122,"residential","472nd Avenue",,"B",0,0,"F","F",1,390405.256832677,4895676.89780405
43,44520,"18020839",5122,"residential","206th Street",,"B",0,0,"F","F",1,396871.648763542,4887971.04218711
44,45121,"18021537",5115,"tertiary","County Road 13","CR 13","B",0,0,"F","F",1,380581.687157663,4893905.64017716
45,45573,"18022109",5122,"residential","232nd Street",,"B",0,0,"F","F",1,390769.040112148,4896155.17648314
46,45034,"18021443",5122,"residential","478th Avenue",,"B",0,0,"F","F",1,392152.677233752,4894415.06393821
47,44505,"18020819",5121,"unclassified","320th Avenue",,"B",0,0,"F","F",1,354555.688614274,4916086.6739955
48,300991,"92025669",5115,"tertiary","County Road 13","CR 13","B",88,0,"F","F",1,380929.905150796,4902955.90048768
49,45030,"18021438",5122,"residential","145th Avenue",,"B",0,0,"F","F",1,383299.628197649,4902962.94843659
50,44920,"18021290",5122,"residential","245th Avenue",,"B",0,0,"F","F",1,366586.845340294,4914783.95657442
51,44892,"18021255",5121,"unclassified","Golden Gate Road",,"B",0,0,"F","F",1,364176.886497285,4914699.95270119
52,44881,"18021244",5122,"residential","185th Avenue",,"B",0,0,"F","F",1,376921.832300239,4892560.07793624
53,298443,"81957272",5115,"tertiary","County Road 29","CR 29","B",88,0,"F","F",1,354240.0941,4914490.65278117
54,43675,"18019893",5121,"unclassified","250th Street",,"B",0,0,"F","F",1,352778.867313003,4909742.26258932
55,43431,"18019597",5115,"tertiary","County Road 7","CR 7","B",0,0,"F","F",1,353594.419800879,4910291.76864273
56,206222,"18217377",5114,"secondary","County Road 2","CR 2","B",0,0,"F","F",1,346419.029991347,4913100.60896613
57,44756,"18021103",5115,"tertiary","County Highway 20","CR 20","B",0,0,"F","F",1,380002.721478292,4889498.86448366
58,45110,"18021525",5122,"residential","250th Avenue",,"B",0,0,"F","F",1,365604.299965282,4907099.66645384
59,44266,"18020558",5115,"tertiary","County Road 27","CR 10; CR 27","B",0,0,"F","F",1,366601.581827511,4906239.83310486
60,44604,"18020936",5122,"residential","300th Avenue",,"B",0,0,"F","F",1,357726.436911591,4888308.31241496
61,44268,"18020560",5115,"tertiary","County Road 27","CR 27","B",0,0,"F","F",1,356930.4643,4906445.95716556
