cat,a_cat,b_cat,to_x,to_y
1,919,1,362415.309220762,4889819.11161047
2,919,1,362430.222039948,4891689.38515932
3,594,1,363140.136948471,4908750.20792086
4,1149,1,361093.452599429,4919796.60138625
5,1856,1,379168.390094355,4896782.6015
6,1399,1,372187.457830088,4910554.3864
7,1255,1,334757.381544617,4897460.99253265
8,927,1,346168.187688668,4892068.74869474
9,1190,1,360229.878003481,4903149.86221984
10,1684,1,366304.409457565,4897153.90196155
11,1562,1,370948.741310646,4909348.46881266
12,1490,1,368625.660799137,4897144.086332
13,1597,1,382448.358618889,4888060.40257235
14,670,1,343094.730578727,4918011.81032949
15,2521,1,343301.706798428,4917202.0407
16,2799,1,330254.723695638,4905378.02807043
17,1697,1,368832.588908915,4888115.13710133
18,1263,1,359629.600958059,4909697.96398912
19,694,1,359760.783649219,4911034.1524197
20,1365,1,362622.676391663,4910691.22518103
21,575,1,361438.947874173,4914369.76720431
22,346,1,353691.252042647,4890349.82949338
23,985,1,356102.644935299,4887905.45023762
24,945,1,382359.352136343,4895232.41320561
25,422,1,373762.106848266,4894727.56941146
26,541,1,375494.53329319,4894824.95069036
27,1120,1,363974.480400484,4885312.81036977
28,727,1,367199.611175038,4886371.13226045
29,1138,1,384762.712811759,4894678.89756478
30,940,1,385569.221567584,4894881.69489024
31,353,1,374649.405520504,4885153.29642418
32,692,1,351377.135577846,4911357.08047377
33,543,1,346868.730031231,4914676.12564505
34,541,1,344888.587039543,4915949.25121986
35,2564,1,333508.430511325,4907704.44920991
36,797,1,335068.212003708,4906330.74963247
37,516,1,331497.089302355,4912614.34528992
38,1747,1,321551.765281275,4921819.41400609
39,1015,1,317507.008454373,4910910.99397688
40,2884,1,396871.628698842,4887971.04247302
41,943,1,380581.172130662,4893905.65627122
42,541,1,380341.649,4894737.32721062
43,3437,1,390769.040112148,4896155.17648314
44,3422,1,392152.677233752,4894415.06393821
45,574,1,354559.867380503,4916086.62378515
46,1326,1,383301.597213553,4902963.07150009
47,1170,1,364178.16874242,4914699.90365115
48,1178,1,376936.051466017,4892559.10978103
49,763,1,354240.0941,4914490.2663728
50,514,1,352778.99368261,4909739.40313525
51,2001,1,346424.519520617,4913100.51905369
52,397,1,380002.567121093,4889495.37146509
53,462,1,357728.933429077,4888306.64808107
54,784,1,356930.4643,4906443.09600987
55,888,1,376949.876670919,4896411.43770915
56,1673,1,376427.55805828,4897219.85591121
57,1673,1,376232.36194271,4897228.36860186
58,763,1,353319.906895554,4914507.97042474
59,1263,1,359929.594682969,4906578.46692543
60,1772,1,356026.989217338,4910475.30247717
61,991,1,357600.995311848,4909543.23128439
62,1772,1,355944.935645435,4907956.32853095
63,991,1,357574.189326717,4908546.67732398
64,3137,1,298959.29611113,4917705.41664286
65,2827,1,301475.249203647,4919220.30852451
66,1686,1,310415.597163957,4917268.51910133
67,1602,1,314216.857723805,4914012.03304495
68,2521,1,343289.985126457,4915594.67511419
69,874,1,341431.922983425,4904710.26508529
70,365,1,344651.007534701,4904514.2993
71,692,1,351611.438776324,4911355.21971181
72,539,1,369362.351900569,4888491.1646018
73,1153,1,360061.065614583,4911189.75140507
74,445,1,387969.136135546,4890958.06642266
75,413,1,367435.661464319,4912852.33131157
76,412,1,366903.522010795,4911087.29039738
77,1562,1,365841.8886,4909494.91078635
78,956,1,359415.353483289,4916625.99170354
79,412,1,363052.80380668,4911184.42634405
80,1170,1,364095.566367333,4912927.0605
81,919,1,362499.393375076,4912985.79805997
82,763,1,362162.000575314,4914354.24212026
83,1772,1,356086.025084846,4887076.26665066
