cat,lcat,along,x,y
1,1,0,370115.6526,4909310.2839
2,1,50.6982154134512,370075.2967,4909340.9712
3,1,101.396430826902,370034.9408,4909371.6585
4,2,0,371932.7946,4909174.649
5,2,56.3958444969469,371918.2996,4909229.15025
6,2,112.791688993894,371903.8046,4909283.6515
7,3,0,372044.1162,4909203.639
8,3,53.0414020061383,372058.6112,4909152.6166
9,3,106.082804012277,372073.1062,4909101.5942
10,4,0,372146.161,4909230.3099
11,4,52.4839110560067,372131.666,4909280.7525
12,4,104.967822112013,372117.171,4909331.1951
13,5,0,372146.161,4909230.3099
14,5,49.50084500263,372157.757,4909182.18645
15,5,99.00169000526,372169.353,4909134.063
16,6,0,372044.1162,4909203.639
17,6,78.1313898237519,372026.17865,4909279.68345
18,6,156.262779647504,372008.2411,4909355.7279
19,7,0,370661.6786,4906910.4004
20,7,23.799393781026,370661.72425,4906934.19975
21,7,47.598787562052,370661.7699,4906957.9991
22,8,0,372141.9604,4905037.8741
23,8,155.016589332062,372207.717525318,4905177.69052678
24,8,310.033178664124,372251.1515,4905324.7047
25,9,0,372251.1515,4905324.7047
26,9,230.797386198562,372245.28215958,4905539.4587428
27,9,461.594772397124,372293.1297,4905718.6229
28,10,0,372293.1297,4905718.6229
29,10,107.705457491182,372211.486420228,4905788.50143781
30,10,215.410914982364,372149.818,4905876.4352
31,11,0,372149.818,4905876.4352
32,11,246.183951246338,372022.471731017,4906087.12327661
33,11,492.367902492677,372016.9306,4906329.1714
34,12,0,372016.9306,4906329.1714
35,12,330.758105833194,372029.424699998,4906659.56674483
36,12,661.516211666387,371847.0282,4906871.8329
37,13,0,371847.0282,4906871.8329
38,13,188.532125490994,371690.247716918,4906911.84728448
39,13,377.064250981989,371509.1417,4906935.464
40,14,0,371509.1417,4906935.464
41,14,101.798046968723,371414.342728117,4906958.66157027
42,14,203.596093937447,371321.5988,4906980.4031
43,15,0,371321.5988,4906980.4031
44,15,93.2787247124104,371242.617394985,4907013.85252542
45,15,186.557449424821,371163.4672,4907050.6104
46,16,0,371163.4672,4907050.6104
47,16,181.23981293006,371065.143664354,4907202.8579377
48,16,362.47962586012,370966.55,4907354.9341
49,17,0,370868.5319,4908019.4589
50,17,88.2706105059302,370863.843364921,4908107.59231425
51,17,176.54122101186,370926.57,4908145.6485
52,18,0,370966.55,4907354.9341
53,18,339.047509600195,370895.510156994,4907681.4983712
54,18,678.095019200389,370868.5319,4908019.4589
55,19,0,370926.57,4908145.6485
56,19,122.465794258152,370957.432602231,4908249.65994574
57,19,244.931588516304,370962.3469,4908372.0271
58,20,0,370947.0042,4908681.3798
59,20,36.9666095318028,370944.3389,4908718.2502
60,20,73.9332190636056,370941.6736,4908755.1206
61,21,0,370962.3469,4908372.0271
62,21,155.094407040437,370962.197890517,4908527.10617934
63,21,310.188814080874,370947.0042,4908681.3798
64,22,0,370941.6736,4908755.1206
65,22,160.791824656536,370942.81125,4908915.9084
66,22,321.583649313072,370943.9489,4909076.6962
67,23,0,370948.7301,4909349.2433
68,23,53.9193659776549,370948.64575,4909403.1626
69,23,107.83873195531,370948.5614,4909457.0819
70,24,0,370133.1151,4909974.9488
71,24,229.298327089978,369930.103146833,4910052.15019936
72,24,458.596654179956,369713.2028,4910125.8813
73,25,0,370943.9489,4909076.6962
74,25,136.300951685978,370946.289657941,4909212.97232896
75,25,272.601903371956,370948.7301,4909349.2433
76,26,0,370948.5614,4909457.0819
77,26,2.78161587817202,370945.7811,4909457.16745
78,26,5.56323175634405,370943.0008,4909457.253
79,27,0,370943.0008,4909457.253
80,27,19.4715610271193,370923.53845,4909457.85185
81,27,38.9431220542386,370904.0761,4909458.4507
82,28,0,370904.0761,4909458.4507
83,28,197.497297937526,370707.833584205,4909480.53743843
84,28,394.994595875052,370511.6103,4909502.9321
85,29,0,370511.6103,4909502.9321
86,29,31.2167953014032,370480.5763,4909506.3054
87,29,62.4335906028064,370449.5423,4909509.6787
88,30,0,370449.5423,4909509.6787
89,30,98.4619438910973,370425.21005,4909605.08675
90,30,196.923887782195,370400.8778,4909700.4948
91,31,0,370400.8778,4909700.4948
92,31,28.1319855945589,370393.92575,4909727.75425
