cat,orig_cat
1,8
2,18
3,21
4,113
5,224
6,231
7,260
8,272
9,278
10,291
11,299
12,447
13,447
14,450
15,470
16,485
17,604
18,608
19,609
20,640
21,645
22,650
23,736
24,668
25,680
26,685
27,688
28,741
29,6379
30,740
31,813
32,818
33,811
34,844
35,831
36,814
37,848
38,866
39,1126
40,1215
41,1225
42,1231
43,1234
44,1236
45,1498
46,1924
47,1941
48,2084
49,2563
50,2576
51,2659
52,2676
53,2719
54,2735
55,2800
56,2958
57,2979
58,3007
59,2985
60,2987
61,2993
62,2991
63,2995
64,3058
65,2984
66,3076
67,3090
68,3110
69,3133
70,3134
71,3233
72,3237
73,3385
74,3284
75,3283
76,3383
77,3524
78,3658
79,3681
80,3688
81,3696
82,3721
83,3835
84,3832
85,3915
86,3917
87,3925
88,3931
89,3937
90,3963
91,4052
92,4050
93,4065
94,4070
95,4081
96,4082
97,4084
98,4091
99,4097
100,4201
101,4106
102,4111
103,4112
104,4129
105,4128
106,4131
107,4169
108,4156
109,4168
110,4171
111,4172
112,4180
113,4241
114,4246
115,4375
116,4500
117,4844
118,4818
119,4823
120,4885
121,4833
122,4851
123,4816
124,4828
125,5016
126,4877
127,4842
128,4903
129,4905
130,4918
131,6439
132,4969
133,4996
134,4820
135,4839
136,5350
137,5050
138,5052
139,5061
140,5081
141,5114
142,5212
143,5278
144,5213
145,5235
146,5242
147,5265
148,5285
149,5290
150,5292
151,5310
152,5420
153,5383
154,5390
155,5392
156,5397
157,5398
158,5410
159,5447
160,5470
161,5480
162,5538
163,5558
164,5570
165,5381
166,5627
167,5630
168,5632
169,5635
170,5655
171,5659
172,5660
173,5670
174,5679
175,5685
176,5693
177,5697
178,5708
179,5730
180,5737
181,5648
182,5651
183,5753
184,5757
185,5755
186,5763
187,5766
188,5770
189,5774
190,5633
191,5779
192,5828
193,5843
194,6053
195,6163
196,6250
197,6252
198,6256
199,6315
200,6266
201,6289
202,6279
203,6284
204,6290
205,6307
206,6316
207,6386
208,242
209,300
210,3662
211,628
212,649
213,692
214,747
215,827
216,1013
217,2718
218,2725
219,2658
220,3061
221,3089
222,3235
223,3244
224,3654
225,4064
226,4114
227,4121
228,4170
229,4942
230,4847
231,4963
232,4857
233,5023
234,5031
235,5051
236,5068
237,5105
238,5064
239,5303
240,5026
241,5415
242,5642
243,5761
244,5654
245,5631
246,5703
247,5752
248,5652
249,5822
250,6063
251,6055
252,6056
253,6062
254,6064
255,6238
256,6235
257,6265
258,6426
259,620
260,6145
261,55
262,746
263,5353
264,5069
265,6059
266,6063
267,5638
268,5383
269,6050
270,6051
271,6051
272,6051
273,6051
274,6051
275,6059
276,631
277,6049
278,6051
279,6051/6055
280,447
281,465
282,468
283,603
284,611
285,817
286,918
287,3690
288,3875
289,3905
290,4083
291,4173
292,4815
293,4837
294,4900
295,5037
296,5133
297,5205
298,5289
299,5369
300,5668
301,5647
302,5683
303,5658
304,6234
305,355
306,452
307,612
308,681
309,815
310,3063
311,3140
312,3637
313,3880
314,5060
315,5396
316,5653
317,6051
318,6311
319,6051
320,449
