from_cat,cat
2,112
2,386
3,178
3,382
5,389
6,300
7,387
8,180
10,338
10,353
11,182
13,388
14,407
15,406
16,409
17,197
18,219
19,330
21,307
22,342
22,412
23,211
24,215
25,219
26,460
27,222
28,222
29,190
30,312
31,227
32,351
34,230
35,421
36,131
37,421
38,392
39,42
40,422
41,45
42,234
43,234
44,235
45,314
46,240
47,243
48,459
49,455
50,446
51,54
52,53
53,142
54,425
55,143
56,59
57,56
58,316
59,158
60,326
61,392
62,261
64,259
65,64
66,260
67,318
68,431
69,260
70,64
71,261
72,262
73,398
74,319
75,320
76,434
77,78
78,265
79,333
80,267
81,322
82,334
84,83
85,335
86,340
87,273
88,273
89,276
90,327
91,92
92,274
93,441
94,445
95,280
96,164
97,167
98,458
99,98
100,450
101,100
102,328
103,329
104,279
105,106
107,106
108,298
109,401
110,292
113,337
114,358
115,299
116,302
117,9
117,118
118,350
119,117
120,196
121,404
122,303
123,200
124,21
126,311
128,418
129,230
130,133
131,232
132,131
133,38
134,356
135,237
136,241
137,242
138,242
139,50
140,50
142,425
143,159
144,396
145,317
146,61
147,259
148,66
149,65
150,63
151,332
152,438
153,439
154,265
155,268
155,323
157,277
159,442
160,442
161,426
162,443
164,281
165,449
166,100
167,285
168,352
169,352
170,289
171,298
172,401
173,172
174,171
175,171
176,292
177,3
178,111
178,291
180,300
181,337
182,183
183,338
183,353
184,388
185,190
186,304
187,303
188,410
189,121
190,191
191,196
192,15
193,15
194,195
196,406
197,317
198,336
198,343
199,198
201,200
202,20
203,202
204,202
205,363
207,389
208,205
209,205
211,308
212,211
213,308
214,210
216,390
217,210
218,207
219,207
220,26
221,26
222,364
223,364
224,310
225,311
226,331
227,33
227,129
228,415
229,227
230,312
231,420
232,419
233,235
234,233
234,355
235,315
236,444
237,240
238,237
239,241
240,136
241,451
242,136
243,236
244,245
244,246
245,236
247,243
248,419
250,427
251,427
252,255
253,428
254,429
255,429
256,251
257,430
258,439
259,431
260,318
261,262
262,332
263,320
264,263
265,371
266,333
267,213
269,268
269,323
271,440
272,420
273,325
274,277
275,158
276,275
277,276
278,103
279,289
280,426
281,454
282,281
283,164
284,165
285,328
286,285
287,329
288,103
289,287
290,274
293,387
294,255
295,269
296,83
297,275
298,172
299,358
300,299
301,180
302,183
303,405
304,185
305,294
306,21
307,206
309,330
310,34
311,331
313,422
314,233
314,355
315,367
316,251
317,316
318,65
319,398
320,319
321,78
322,267
323,322
324,269
325,335
326,340
327,92
328,450
329,452
330,307
331,351
332,326
333,213
334,440
335,86
335,148
337,402
339,305
340,66
341,121
342,363
343,451
344,305
345,294
346,20
347,350
349,390
350,263
351,31
351,127
352,287
353,117
354,143
355,356
356,314
357,3
359,402
360,182
361,410
362,197
364,145
365,415
366,315
368,54
369,395
370,142
371,61
372,436
373,434
374,435
375,437
377,270
378,334
379,325
380,165
381,453
382,1
382,383
385,2
385,384
387,5
388,191
389,413
389,414
391,310
393,367
394,141
395,53
396,59
397,145
398,371
399,432
400,433
402,5
403,302
404,304
405,404
406,195
407,185
408,409
409,407
410,405
411,198
412,206
414,215
415,229
416,229
417,418
418,34
419,38
420,232
421,133
422,42
423,45
424,395
425,141
426,159
427,56
428,396
429,430
430,428
431,63
432,435
433,432
434,433
435,436
436,437
437,161
438,161
439,438
440,270
441,327
442,441
443,279
444,443
445,280
446,454
447,167
448,458
449,98
450,449
451,444
452,456
453,452
454,455
455,456
456,460
457,453
458,459
459,446
460,445
