cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,63645,"18044459",5115,"tertiary","County Road 31","CR 31","B",0,0,"F","F",1,272904.276589506,4995848.70990494
2,63007,"18043729",5122,"residential","160th Avenue Northwest",,"B",0,0,"F","F",1,270323.313432761,5000678.05902021
3,63312,"18044083",5122,"residential","125th Street Southeast",,"B",0,0,"F","F",1,301011.346554636,4968281.16380984
4,63994,"18044847",5115,"tertiary","County Road 15","CR 15","B",0,0,"F","F",1,294266.007704373,4972549.03261567
5,63390,"18044174",5115,"tertiary","60th Avenue Northeast","CR 4","B",0,0,"F","F",1,305456.32979214,4996762.95750887
6,389194,"242666915",5115,"tertiary","Black Oak Avenue",,"B",0,0,"F","F",1,287238.63506008,4980707.41181973
7,63900,"18044742",5113,"primary","60th Street Northeast","MN 40","B",96,0,"F","F",1,319015.324254852,4997640.25019343
8,63797,"18044633",5122,"residential","40th Avenue Southeast",,"B",0,0,"F","F",1,301543.244789504,4975736.44608734
9,63250,"18043999",5115,"tertiary","30th Avenue Southeast","CR 5","B",0,0,"F","F",1,300007.065842313,4977906.37430977
10,63225,"18043968",5122,"residential","80th Avenue Northeast",,"B",0,0,"F","F",1,308533.419107936,4991964.7348891
11,63629,"18044442",5115,"tertiary","30th Street Northeast","CR 12","B",0,0,"F","F",1,309172.445230301,4993031.9267409
12,244028,"18263605",5122,"residential","15th Street Southeast",,"B",0,0,"F","F",1,297018.763842664,5007644.2937437
13,247003,"18267240",5113,"primary","10th Avenue Southwest","MN 29","B",0,0,"F","F",1,296271.49713677,5007877.46015253
14,245993,"18266121",5122,"residential","110th Street Southeast",,"B",0,0,"F","F",1,303075.624223079,5004461.14163682
15,332331,"144328575",5114,"secondary","135th Street Southwest","CR 7","B",0,0,"F","F",1,324317.755619881,4982709.64320844
16,302345,"97078983",5115,"tertiary","40th Street Northwest","CR 12","B",0,0,"F","F",1,279760.217964837,4995598.56491385
17,62785,"18043475",5113,"primary","60th Street Northwest","MN 40","B",0,0,"F","F",1,277204.188834807,4998926.58918408
18,61334,"18041815",5121,"unclassified",,,"B",0,0,"F","F",1,276823.980721582,5000555.88502211
19,63764,"18044597",5122,"residential","40th Avenue Northeast",,"B",0,0,"F","F",1,302231.482514905,4994816.25272083
20,210002,"18221962",5121,"unclassified","890th Avenue",,"B",0,0,"F","F",1,311278.188376316,4971984.22922317
21,302304,"96741104",5121,"unclassified","Chippewa-Renville Street Southeast",,"B",0,0,"F","F",1,312254.363441017,4973601.46466952
22,62859,"18043557",5122,"residential","110th Avenue Southeast",,"B",0,0,"F","F",1,312853.309655759,4975838.63793193
23,63484,"18044269",5115,"tertiary","County Road 2","CR 2","B",88,0,"F","F",1,314416.897231607,4974334.91123686
24,63878,"18044718",5122,"residential","15th Avenue Southeast",,"B",0,0,"F","F",1,297348.586229375,4970640.62163208
25,63994,"18044847",5115,"tertiary","County Road 15","CR 15","B",0,0,"F","F",1,299062.607595066,4972423.59609882
26,63527,"18044325",5115,"tertiary","1st Avenue North","CR 6","B",0,0,"F","F",1,295614.706794506,4990247.95413273
27,63417,"18044202",5115,"tertiary","80th Avenue Northwest","CR 35","B",0,0,"F","F",1,282871.749722243,4990723.39232268
28,62867,"18043565",5122,"residential","70th Avenue Northwest",,"B",0,0,"F","F",1,284477.858894772,4990158.41803198
29,63509,"18044306",5122,"residential","10th Street Northwest",,"B",0,0,"F","F",1,286284.863272225,4990560.73314611
30,63224,"18043967",5122,"residential","50th Avenue Northwest",,"B",0,0,"F","F",1,287649.438435081,4990951.18275858
31,59181,"18039406",5122,"residential","50th Street Northwest",,"B",0,0,"F","F",1,293316.534958662,4996722.83543959
