cat,a_cat,b_cat,to_x,to_y
1,105,1,272904.276589506,4995848.70990494
2,1652,1,271976.199088442,4997970.11568257
3,232,1,301342.229090254,4968727.75899115
4,303,1,294265.585798572,4972026.4214349
5,1852,1,305456.32979214,4996762.95750887
6,1756,1,287238.729976025,4980709.17641432
7,118,1,319015.324254852,4997640.25019343
8,232,1,301543.244789504,4975736.44608734
9,198,1,300007.113302543,4977906.37500451
10,45,1,308545.103935454,4992283.78271107
11,30,1,309172.445230301,4993031.9267409
12,1489,1,297018.754150474,5007644.31132814
13,1319,1,324321.667560169,4982709.39749724
14,810,1,279760.217964837,4995598.56491385
15,1833,1,276823.954622381,5000554.25375744
16,59,1,302231.482514905,4994816.25272083
17,2407,1,311278.165575783,4971981.97292816
18,927,1,311904.997232875,4973307.38694897
19,1868,1,297263.018311238,4970890.09588983
20,231,1,299062.607595066,4972423.59609882
21,5,1,295614.706794506,4990247.95413273
22,148,1,284477.858894772,4990158.41803198
23,130,1,287649.438435081,4990951.18275858
24,53,1,307216.050461893,4991489.14392468
25,245,1,303407.403019634,4980257.00852957
26,181,1,302847.545101997,4981901.1718042
27,999,1,314805.488494659,4981633.78762778
28,1935,1,308882.830391751,4975303.99147803
29,1179,1,308127.028686048,4979917.12452799
30,214,1,305681.501786604,4983422.1680134
31,46,1,308517.436813284,4989829.77665022
32,1841,1,315835.790627004,4978712.14324022
33,207,1,320969.479616088,4978963.23581672
34,132,1,289732.950104228,5003236.31841169
35,62,1,316621.432606639,4992334.33789583
36,273,1,290687.430895163,4985665.89378964
37,323,1,290524.937773157,4985539.96599854
38,273,1,290613.695796701,4983216.70100411
39,1569,1,289877.002670949,4982416.12092339
40,286,1,288974.622530761,4982795.25496873
41,14,1,290973.180831599,4988758.29116613
42,1468,1,319965.804896117,4996014.12181526
43,705,1,290817.269964854,5009196.46126903
44,656,1,291556.734312255,5009734.44860508
45,329,1,290596.714793728,4977163.41430598
46,1775,1,292056.629477527,4978736.0186411
47,261,1,292502.799036209,4979070.90005501
