cat,lcat,along,x,y
1,1,0,289757.762672188,4982414.51647606
2,1,64.13378611463,289820.862013855,4982417.31738235
3,1,128.26757222926,289884.981482698,4982415.96230424
4,2,0,289884.981482698,4982415.96230424
5,2,143.51585622256,290028.433759271,4982413.17561707
6,2,287.031712445121,290167.796652217,4982414.98891329
7,3,0,290167.796652217,4982414.98891329
8,3,281.373178160324,290375.306968003,4982530.23548951
9,3,562.746356320648,290419.361078309,4982792.1762324
10,4,0,290419.355451411,4982792.01767241
11,4,885.600300318199,290739.761506147,4983557.00698326
12,4,1771.2006006364,290578.246888499,4984323.67047628
13,5,0,290578.246888499,4984323.67047628
14,5,353.799625664987,290469.439628311,4984574.71226639
15,5,707.599251329975,290352.089738102,4984906.05233783
16,6,0,290352.089738102,4984906.05233783
17,6,16.0637721507322,290352.337900548,4984922.11419299
18,6,32.1275443014645,290352.586062993,4984938.17604814
19,7,0,290352.586062993,4984938.17604814
20,7,100.682134181306,290354.141355278,4985038.84616888
21,7,201.364268362612,290355.696647562,4985139.51628962
22,8,0,290355.696647562,4985139.51628962
23,8,620.973825225093,290567.812365418,4985562.67464567
24,8,1241.94765045019,290904.690027862,4985981.36743471
25,9,0,288464.212124369,4984795.9519229
26,9,72.379713851586,288439.43683924,4984863.9593359
27,9,144.759427703172,288414.661554111,4984931.96674891
28,10,0,288111.084517118,4986512.03299184
29,10,101.567617228534,288098.837978525,4986411.20639236
30,10,203.135234457069,288086.591439932,4986310.37979289
31,11,0,287968.73233203,4986439.17457654
32,11,13.381907417594,287968.865586259,4986425.79333259
33,11,26.763814835188,287968.998840488,4986412.41208865
34,12,0,288099.303753935,4986796.87847486
35,12,77.5050240812586,288174.83707143,4986810.8494462
36,12,155.010048162517,288245.420853224,4986842.86441935
37,13,0,288015.423103365,4985556.44753814
38,13,92.249144543998,288012.756454049,4985464.23694412
39,13,184.498289087996,288010.089804733,4985372.02635009
40,14,0,287465.670622053,4986174.74358949
41,14,51.1897832224908,287463.534936473,4986123.59837707
42,14,102.379566444982,287461.399250892,4986072.45316465
43,15,0,287473.547552981,4986475.82132219
44,15,150.59037748948,287469.609087517,4986325.28245584
45,15,301.180754978959,287465.670622053,4986174.74358949
46,16,0,287501.501385976,4986143.91746302
47,16,18.4219017227102,287483.118684914,4986145.11861446
48,16,36.8438034454204,287464.735983853,4986146.31976589
49,17,0,287516.80378786,4986460.82143148
50,17,21.8636863592482,287495.031774136,4986462.82148138
51,17,43.7273727184963,287473.259760411,4986464.82153127
52,18,0,286678.518522227,4985844.31621978
53,18,129.157882802909,286681.224565132,4985973.44575173
54,18,258.315765605817,286683.930608037,4986102.57528368
55,19,0,286274.085187142,4986700.44701268
56,19,496.737383146282,286680.628205487,4986600.07835738
57,19,993.474766292565,286665.842368801,4986103.56107988
58,20,0,286342.783518362,4986955.63004362
59,20,35.068469520657,286310.314448788,4986942.38024832
60,20,70.136939041314,286277.845379213,4986929.13045302
61,21,0,286758.536374442,4987059.37180401
62,21,23.8398792982019,286734.69755539,4987059.59663992
63,21,47.6797585964037,286710.858736339,4987059.82147584
64,22,0,286687.324574095,4986102.30183379
65,22,899.160135374169,287458.205031304,4985948.00693716
66,22,1798.32027074834,287913.292900512,4985374.90241697
67,23,0,288410.747370344,4984935.33950501
68,23,108.284381621584,288327.953725945,4985004.10770163
69,23,216.568763243169,288219.777860695,4985008.95429637
70,24,0,288410.747370344,4984935.33950501
71,24,15.0597503254953,288424.241345892,4984934.43598074
72,24,30.1195006509907,288438.824454838,4984938.19483873
73,25,0,288678.380492552,4984880.96765605
74,25,133.11858282663,288564.570997759,4984950.01804337
75,25,266.23716565326,288438.824454838,4984938.19483873
76,26,0,288540.393315657,4985366.04645284
77,26,107.027003577393,288440.515606596,4985400.71650331
78,26,214.054007154785,288342.955351725,4985444.72532247
79,27,0,288831.862371877,4985547.84222943
80,27,172.867653874235,288683.844141486,4985460.60306776
81,27,345.735307748471,288540.393315657,4985366.04645284
82,28,0,288895.55549186,4985615.72826768
83,28,46.5438710302585,288863.708931868,4985581.78524856
84,28,93.087742060517,288831.862371877,4985547.84222943
85,29,0,288344.422092324,4985557.90418067
86,29,152.0533347613,288342.451734569,4985405.86361273
87,29,304.1066695226,288226.631059377,4985363.74846225
88,30,0,288357.135085891,4986125.19605921
89,30,283.745312566677,288348.428444142,4985841.62120792
90,30,567.490625133353,288344.422092324,4985557.90418067
91,31,0,288355.824256131,4986214.56344134
92,31,44.6884975796381,288356.479671011,4986169.87975028
93,31,89.3769951592763,288357.135085891,4986125.19605921
94,32,0,288589.233523079,4986842.82753725
95,32,47.4700671561943,288576.359659968,4986797.13649957
96,32,94.9401343123885,288563.485796856,4986751.44546188
97,33,0,288563.485796856,4986751.44546188
98,33,28.5750596949135,288550.939210222,4986725.77218394
99,33,57.1501193898271,288538.392623587,4986700.098906
100,34,0,288494.671837256,4986620.26682603
101,34,219.333249124427,288392.805371256,4986426.02394386
102,34,438.666498248855,288355.824256131,4986214.56344134
103,35,0,288538.392623587,4986700.098906
104,35,45.5100762155929,288516.532230421,4986660.18286601
105,35,91.0201524311858,288494.671837256,4986620.26682603
106,36,0,288245.420853224,4986842.86441935
107,36,168.13820786479,288408.057650977,4986815.57461604
108,36,336.276415729579,288563.485796856,4986751.44546188
109,37,0,288035.173728381,4987128.32847006
110,37,177.276279397201,288140.003490779,4986985.36833522
111,37,354.552558794402,288245.420853224,4986842.86441935
112,38,0,288139.919631596,4987382.82870841
113,38,175.577839898455,288180.286375222,4987215.68746841
114,38,351.155679796911,288035.173728381,4987128.32847006
115,39,0,287988.190800296,4987229.87710886
116,39,58.6740129056997,288001.115703592,4987176.10598295
117,39,117.348025811399,288035.173728381,4987128.32847006
118,40,0,288319.949943149,4986123.82735869
