cat,orig_cat
1,1
2,136
3,140
4,177
5,182
6,212
7,223
8,224
9,238
10,247
11,255
12,265
13,343
14,456
15,401
16,453
17,534
18,687
19,732
20,776
21,824
22,856
23,1035
24,1144
25,1272
26,1317
27,1418
28,1417
29,1451
30,1459
31,1487
32,1500
33,1519
34,1507
35,1582
36,1650
37,1873
38,1902
39,1982
40,1983
41,1984
42,1988
43,1991
44,1993
45,2004
46,2012
47,2256
48,2303
49,2329
50,2341
51,2455
52,2426
53,2447
54,2439
55,2475
56,2536
57,2526
58,2524
59,2534
60,2772
61,2921
62,2925
63,2954
64,2959
65,2966
66,2972
67,2992
68,2996
69,3000
70,3004
71,3006
72,3008
73,3014
74,3016
75,3018
76,3028
77,3069
78,3062
79,3223
80,3305
81,3325
82,3424
83,3439
84,3443
85,3521
86,3528
87,3529
88,3531
89,3540
90,3543
91,3553
92,3551
93,3566
94,3666
95,3791
96,3782
97,3803
98,3809
99,3818
100,3832
101,3838
102,3841
103,3948
104,3585
105,4188
106,4198
107,4213
108,14
109,56
110,68
111,155
112,176
113,185
114,210
115,211
116,234
117,236
118,236
119,242
120,279
121,328
122,462
123,613
124,828
125,1455
126,1463
127,1470
128,1516
129,1484
130,1588
131,1648
132,1662
133,1529
134,1995
135,2027
136,2113
137,2115
138,2193
139,2352
140,2357
141,2424
142,2446
143,2473
144,2588
145,2658
146,2847
147,2990
148,2994
149,2998
150,3002
151,3010
152,3035
153,3043
154,3122
155,3370
156,3413
157,3541
158,3546
159,3561
160,3568
161,3042
162,3893
163,3667
164,3708
165,3820
166,3835
167,3848
168,3877
169,4011
170,4057
171,165
172,164
173,30
174,19
175,165
176,73
177,140
178,151
179,174
180,231
181,229
182,237
183,254
184,352
185,311
186,288
187,300
188,313
189,328
190,309
191,307
192,401
193,394
194,432
195,450
196,306
197,539
198,558
199,559
200,591
201,591
202,776
203,776
204,765
205,893
206,885
207,709
208,893
209,971
210,1293
211,1097
212,1097
213,3251
214,1098
215,1165
216,1158
217,1177
218,1194
219,1285
220,1318
221,1317
222,1430
223,1422
224,1508
225,1487
226,1465
227,1485
228,1475
229,1475
230,1483
231,1901
232,1904
233,2330
234,1986
235,2002
236,2205
237,2025
238,2013
239,2151
240,2024
241,2111
242,2114
243,2207
244,2196
245,2196
246,2200
247,2206
248,1560
249,2393
250,2558
251,2656
252,2567
253,2581
254,2593
255,2605
256,2544
257,2610
258,3037
259,2957
260,2968
261,2975
262,2974
263,2985
264,2987
265,3144
266,3218
267,3251
268,3240
269,3251
270,3415
271,3415
272,1885
273,3513
274,3558
275,3547
276,3548
277,3548
278,4105
279,3588
280,3886
281,3704
282,3697
283,3708
284,3821
285,3810
286,3810
287,3937
288,3948
289,3937
290,3542
291,151
292,73
293,221
294,497
295,3235
296,3441
297,3539
298,22
299,209
300,209
301,231
302,250
303,299
304,312
305,498
306,816
307,897
308,999
309,1284
310,1508
311,1487
312,1482
313,1988
314,2330
315,2001
316,2657
317,2659
318,2966
319,2983
320,2984
321,3062
322,3251
323,3251
324,3408
325,3527
326,2973
327,3552
328,3880
329,3936
330,1284
331,1487
332,2973
333,3218
334,3418
335,3435
336,561
337,182
338,246
339,504
340,2972
341,296
342,885
343,3887
344,498
345,496
346,762
347,3020
348,619
349,1166
350,235/3020
351,1487
352,3875
353,253
354,2472
355,1985
356,1994
357,141
358,209
359,216
360,251
361,303
362,551
363,884
364,1428
365,1478
366,1997
367,2001
368,2416
369,2422
370,2448
371,2980
372,3022
373,3025
374,3029
375,3044
376,3411
377,3412
378,3418
379,3520
380,3800
381,3915
382,151
383,152
384,131
385,136
386,132
387,221
388,341
389,887
390,1166
391,1460
392,1532
393,1999
394,2414
395,2428
396,2604
397,2658
398,2982
399,3023
400,3024
401,163
402,182
403,250
404,313
405,313
406,450
407,385
408,452
409,452
410,313
411,558
412,885
413,886
414,1165
415,1475
416,1504
417,1512
418,1512
419,1578
420,1575
421,1583
422,1988
423,2004
424,2428
425,2424
426,3555
427,2655
428,2604
429,2667
430,2604
431,2954
432,3026
433,3026
434,3026
435,3042
436,3042
437,3042
438,3030
439,3036
440,3415
441,3554
442,3554
443,3588
444,3588
445,3886
446,3886
447,3848
448,3886
449,3809
450,3809
451,3588
452,3935
453,3914
454,3886
455,3886
456,3886
457,3914
458,3886
459,3886
460,3886
461,4179
