from_cat,cat
3,1
3,2
4,101
6,101
10,41
14,10
17,18
19,85
19,95
20,66
20,110
25,26
25,27
26,120
26,135
35,37
36,37
42,96
45,119
47,46
49,18
55,41
56,10
57,103
58,60
60,17
60,131
61,86
62,48
64,113
66,119
67,46
68,128
69,70
69,88
70,128
71,82
72,82
73,75
74,136
75,136
76,77
76,84
78,40
78,81
80,97
81,22
81,114
83,87
85,61
85,62
88,90
89,90
91,96
93,54
93,56
96,69
96,94
97,86
99,87
104,103
105,127
106,127
108,60
112,113
113,43
113,134
115,133
117,133
119,24
119,25
121,83
121,93
125,76
125,78
126,107
126,109
128,19
128,108
129,48
131,104
131,126
133,116
133,118
136,72
136,100
137,75
139,97
