cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,94119,"18082853",5122,"residential","480th Avenue",,"B",0,0,"F","F",1,426779.1568025,4832323.64688706
2,807469,"1106691794",5115,"tertiary","70th Street","CR 112","B",0,1,"T","F",1,427197.298,4826360.75919075
3,93169,"18081680",5122,"residential","60th Street",,"B",0,0,"F","F",1,426801.211338946,4824767.98999174
4,306951,"115097389",5115,"tertiary","490th Avenue","CH 19","B",0,0,"F","F",1,428258.600054604,4823826.5166
5,92968,"18081430",5122,"residential","500th Avenue",,"B",0,0,"F","F",1,429870.239905338,4823493.2733645
6,94049,"18082773",5115,"tertiary","510th Avenue","CR 111","B",0,0,"F","F",1,431470.48829288,4822701.84844105
7,92275,"18080540",5122,"residential","520th Avenue",,"B",0,0,"F","F",1,433068.676041241,4821931.46849326
8,307033,"115305340",5122,"residential","90th Street",,"B",0,0,"F","F",1,430364.178341699,4829572.8016961
9,306951,"115097389",5115,"tertiary","490th Avenue","CH 19","B",0,0,"F","F",1,428345.762307324,4829576.38159824
10,807435,"1106679998",5122,"residential","480th Avenue",,"B",0,1,"T","F",1,426589.977395481,4830000.50821433
11,934724,"1331969305",5115,"tertiary","130th Street","CR 8","B",0,0,"F","F",1,410180.833880081,4836229.66167247
12,93002,"18081471",5122,"residential","210th Street",,"B",0,0,"F","F",1,418550.478951919,4848989.96703679
13,93876,"18082547",5142,"track","425th Avenue",,"B",0,0,"F","F",1,418159.654035334,4849677.47180801
14,809618,"1110572582",5115,"tertiary","415th Avenue","CR 15","B",0,0,"F","F",1,416572.90327073,4851431.74893153
15,808621,"1109101629",5115,"tertiary","225th Street","CR 18","B",88,0,"F","F",1,415864.43931386,4851442.72456229
16,92620,"18080991",5122,"residential","420th Avenue",,"B",0,0,"F","F",1,416891.557691867,4817801.3164664
17,965607,"1387101191",5113,"primary","US Highway 169","US 169","B",96,0,"F","F",1,412068.504284103,4818697.38788221
18,94243,"18083003",5122,"residential","330th Avenue",,"B",0,0,"F","F",1,402530.806886741,4827303.9686365
19,306913,"115027010",5115,"tertiary","330th Avenue","CR 7","B",0,0,"F","F",1,402846.511798312,4852136.1269311
20,306913,"115027010",5115,"tertiary","330th Avenue","CR 7","B",0,0,"F","F",1,402852.285183809,4852577.6345567
21,92529,"18080858",5122,"residential","338th Avenue",,"B",0,0,"F","F",1,404077.662156654,4853592.94637201
22,393891,"254446807",5122,"residential","230th Street",,"B",0,0,"F","F",1,396147.322356871,4852522.64724809
