cat,a_cat,b_cat,to_x,to_y
1,2324,1,426779.1568025,4832323.64688706
2,1496,1,426801.203871757,4824767.0865476
3,2447,1,428258.600054604,4823826.5166
4,2450,1,429870.239905338,4823493.2733645
5,2117,1,433073.667824907,4821931.59871413
6,1603,1,430364.158343695,4829572.80198112
7,1603,1,428661.904879072,4829562.49202416
8,2329,1,426588.114160713,4829998.72483066
9,1962,1,418550.448226252,4848989.39859002
10,1963,1,416572.666550677,4851431.94072702
11,1351,1,415863.178045783,4851440.41945518
12,769,1,416890.885343671,4817801.85085948
13,1571,1,412067.947680023,4818697.51390636
14,1719,1,403349.347709246,4827891.45944474
15,2819,1,402846.479392071,4852136.12739403
16,643,1,404079.204426282,4853592.00759962
17,1230,1,398093.479012251,4852492.23589625
18,325,1,417844.469706673,4842588.86839988
19,1014,1,443005.401631384,4847564.25953562
20,1348,1,414981.306103448,4853246.71318914
21,2686,1,405037.734015234,4834668.55711115
22,1741,1,424861.797508945,4852956.50674956
23,699,1,418959.675946504,4829686.23483389
24,2579,1,439759.131911045,4844178.12147717
25,1798,1,429138.235817348,4816687.37355361
26,1798,1,427787.249708145,4816703.20856408
27,1197,1,432430.599794176,4816652.73671224
28,1762,1,435812.936204657,4849959.00008561
29,741,1,439445.449017045,4848817.5810556
30,2475,1,430935.487320116,4842416.07946753
31,1252,1,399339.462090519,4832121.58879497
32,1599,1,417635.637054091,4834546.55365728
33,2198,1,415488.600967507,4833712.67696637
34,1591,1,417831.730728554,4827058.2219
35,1592,1,416391.241256537,4828922.81273016
36,937,1,398739.783647286,4818726.9564106
37,1272,1,398852.175741062,4817114.98113764
38,2100,1,401267.800964158,4818691.02216662
39,807,1,402392.260050332,4819382.04734179
40,2022,1,439596.445920536,4824159.14928607
41,579,1,437964.591792036,4824633.59496544
42,947,1,422154.203860405,4848080.42609343
43,1258,1,426873.005581615,4839223.24129674
44,617,1,392759.703376132,4824128.15976472
45,807,1,402498.002948718,4826329.29662526
46,948,1,422937.811920024,4845726.41455472
47,322,1,424137.452381788,4836844.24530926
48,947,1,422009.600468698,4835794.03907574
49,768,1,401229.476060544,4821912.52695754
50,569,1,420116.273037894,4817179.13569914
51,2553,1,418512.994257782,4819430.27216692
52,2639,1,416246.4269,4820072.83394783
53,769,1,416940.433083997,4821347.58564754
54,769,1,416945.776123534,4821742.25107006
55,461,1,415428.47118784,4823310.17985468
56,1364,1,437086.7194533,4852055.40735418
57,2566,1,436639.16914713,4851418.21592561
58,617,1,392765.15794128,4822582.74490518
59,1828,1,432761.1815,4842418.28465579
60,2387,1,422061.474530463,4850564.01671947
61,1964,1,416313.601911362,4849813.14140635
62,1962,1,416268.838150361,4849012.87334786
63,409,1,417606.003900048,4847383.85834969
64,1022,1,417830.247860572,4847357.49230707
65,2068,1,421000.929465049,4853790.95033667
66,2065,1,421064.280823682,4852181.64154514
67,1466,1,420612.073267741,4854753.03784089
68,1027,1,418883.443942717,4853011.00129445
69,1345,1,419032.095459927,4854617.55596622
70,471,1,420573.886415689,4834500.78461376
71,2241,1,437022.67461521,4823046.89018829
72,355,1,420043.544293044,4832891.92164909
73,2198,1,420077.403312644,4833647.03053031
74,2066,1,421414.12867799,4854881.91634467
75,1324,1,436362.294468368,4825223.76530868
76,2701,1,436906.479149662,4824659.93030079
77,1193,1,437150.218757975,4824640.82824268
78,2220,1,415481.480947411,4834189.82657292
79,2554,1,418644.026588249,4827752.46190445
80,2554,1,418618.223934635,4825979.69326029
81,569,1,420233.892044618,4825672.94335245
82,768,1,414129.442993605,4821704.48923064
83,1497,1,423368.421564814,4819292.27211021
84,1069,1,422489.978697186,4819990.11053762
85,2308,1,420099.809359768,4821636.57123514
86,2554,1,418565.407691047,4822821.08372602
87,2100,1,403817.372250768,4818645.07782885
88,2359,1,408917.269492595,4824637.71294978
89,1717,1,407247.591391033,4820912.07590584
90,2732,1,405620.284455207,4819818.6639287
91,861,1,404000.588227031,4818930.52203253
92,1726,1,404072.233332342,4831519.77358886
93,1726,1,403664.340152918,4831530.41352137
94,807,1,402572.802540922,4831551.43881784
95,805,1,400970.521816814,4832509.15012885
96,1677,1,413791.56238668,4825627.36280785
97,467,1,414285.876153428,4824916.45624285
98,769,1,416975.699338186,4823916.31903884
99,1879,1,424289.069258326,4844078.97813313
100,325,1,422495.44374162,4842488.93175273
101,1059,1,427385.875343245,4846508.76629626
102,321,1,426975.161793361,4848681.76650463
103,809,1,406892.307507413,4829860.15166851
104,1109,1,406328.138137189,4829067.88697767
105,2036,1,405332.46157032,4827020.07735378
106,813,1,404869.873442724,4826682.58456571
107,919,1,399168.686166831,4821350.69041567
108,313,1,394365.152434081,4823218.49219896
109,625,1,393705.987687253,4821937.96611058
110,947,1,422143.24368488,4846543.99867901
111,805,1,400956.864239755,4831691.56601002
112,1252,1,399287.287076008,4828593.56227111
113,1109,1,399516.100584866,4829162.48552484
114,805,1,400942.671198264,4828750.16174377
115,805,1,400939.784979436,4829959.1621
116,655,1,423755.436090754,4847348.21788902
117,655,1,423763.776480788,4848378.73302965
118,805,1,400812.512019403,4822457.09048338
119,321,1,426891.074119806,4839625.47943309
120,1364,1,435722.1917,4852052.0628444
121,951,1,428365.027547899,4842440.36137722
122,318,1,427469.756315174,4840833.98182819
123,1333,1,443743.944719025,4840697.62041169
124,1014,1,442932.123019473,4840035.53391154
125,728,1,441923.416464005,4837510.05755662
126,399,1,441372.214830454,4839125.09633062
127,1069,1,432380.298087278,4819873.06869903
128,990,1,431416.791793404,4818800.10702242
129,1390,1,428898.360225275,4818297.48367977
130,652,1,428208.776800613,4819501.73640873
131,2329,1,426588.758336606,4819047.9444
132,2329,1,426592.123563603,4819365.7054496
133,1390,1,433396.271444399,4818250.29525382
134,1526,1,429355.581085827,4844423.48444001
135,569,1,420195.521467038,4823394.66497847
136,2438,1,421817.948058843,4824029.55853038
137,1461,1,419578.236858161,4849784.52476209
138,2064,1,422559.891762595,4848950.30391398
139,2387,1,422504.077214116,4850560.28002914
140,652,1,428499.655849181,4839658.85904852
141,652,1,428391.21123022,4832444.69206181
142,2241,1,430615.128860411,4823117.80273314
143,652,1,428258.600054604,4823826.5166
144,706,1,430615.128860411,4823117.80273314
145,990,1,431471.383884309,4822701.8183883
146,1930,1,429960.676465609,4829049.49389933
147,652,1,428345.762307324,4829576.38159824
148,1435,1,410181.843289136,4836228.4100071
149,1898,1,410716.758838871,4835937.19524323
150,1920,1,418959.044055675,4848961.50120617
151,1634,1,416572.666550677,4851431.94072702
152,1351,1,416576.240433237,4851429.04509328
153,1677,1,413662.197441836,4818332.74502763
154,807,1,402530.806886741,4827303.9686365
155,2505,1,402852.285183809,4852577.6345567
156,2505,1,402846.479392071,4852136.12739403
157,2819,1,402852.285183809,4852577.6345567
158,1239,1,402690.035806334,4852405.61312611
159,4299,1,398320.539247544,4858979.17929605
160,301,1,398055.85715554,4851650.38719687
161,1230,1,396147.408833546,4852521.44014971
162,1552,1,396452.126522491,4852084.3415466
163,1737,1,398849.894536304,4854091.93622719
164,1097,1,398731.892748579,4855757.52693591
165,1797,1,398438.408935362,4857366.6374142
166,3790,1,398320.539247544,4858979.17929605
167,4329,1,400501.795761549,4860602.71770077
168,3341,1,402083.71002006,4858618.3228399
169,2337,1,401887.122034725,4858911.99688569
