cat,lcat,along,x,y
1,1,0,400110.7371,4844445.9623
2,1,79.8576508052223,400123.768891539,4844367.17916352
3,1,159.715301610445,400137.4535,4844288.51
4,2,0,399905.0216,4844378.9602
5,2,125.187628209348,400024.908892908,4844343.01229779
6,2,250.375256418696,400137.4535,4844288.51
7,3,0,400137.4535,4844288.51
8,3,117.423327484273,400193.760625611,4844186.70346135
9,3,234.846654968546,400259.9406,4844089.7178
10,4,0,399938.6982,4844101.7352
11,4,161.622121222299,400099.310322058,4844084.37316193
12,4,323.244242444599,400259.9406,4844089.7178
13,5,0,401112.9889,4844220.3705
14,5,541.015430467584,401653.354725464,4844196.4360099
15,5,1082.03086093517,402152.121,4844049.1718
16,6,0,402204.8877,4844315.644
17,6,150.369442721018,402267.162574763,4844178.79345571
18,6,300.738885442036,402340.1675,4844047.3857
19,7,0,402152.121,4844049.1718
20,7,94.0432747997469,402246.130637539,4844047.3857
21,7,188.086549599494,402340.1675,4844047.3857
22,8,0,401567.857,4843963.3144
23,8,406.254516223684,401787.130063577,4843906.13441029
24,8,812.509032447368,402152.121,4844049.1718
25,9,0,400292.0725,4844040.5421
26,9,231.776505241784,400467.058581626,4843888.5582539
27,9,463.553010483568,400642.7288,4843737.385
28,10,0,399018.821,4844417.5463
29,10,839.625455131116,399640.853134614,4843879.11210965
30,10,1679.25091026223,400439.0219,4843732.5768
31,11,0,402340.0571,4844047.1185
32,11,225.822410121248,402516.438220837,4843923.01753599
33,11,451.644820242495,402686.5759,4843774.7434
34,12,0,402686.5759,4843774.7434
35,12,446.636756120361,403128.817266048,4843810.14062295
36,12,893.273512240722,403555.1511,4843923.9897
37,13,0,400775.895,4843995.5554
38,13,196.695082573301,400877.320451714,4843827.13395411
39,13,393.390165146602,400976.2394,4843657.1613
40,14,0,400642.7288,4843737.385
41,14,172.33212079018,400806.164814931,4843684.73790832
42,14,344.66424158036,400976.2394,4843657.1613
43,15,0,400976.2394,4843657.1613
44,15,893.45456256753,401833.496578431,4843643.36467389
45,15,1786.90912513506,402686.5759,4843774.7434
46,16,0,400439.0219,4843732.5768
47,16,101.887092208921,400540.881052756,4843734.85735025
48,16,203.774184417842,400642.7288,4843737.385
49,17,0,400259.9406,4844089.7178
50,17,29.3794111069073,400276.530694,4844065.47076765
51,17,58.7588222138146,400292.0725,4844040.5421
52,18,0,400709.9572,4844091.132
53,18,58.2333585078458,400746.519080882,4844045.81030171
54,18,116.466717015692,400775.895,4843995.5554
55,19,0,402153.6995,4844424.6802
56,19,60.3315323766963,402180.466507245,4844370.79225364
57,19,120.663064753393,402204.8877,4844315.644
58,20,0,406169.8644,4837064.0709
59,20,174.110003825769,406100.970349469,4837218.45204235
60,20,348.220007651537,406101.3234,4837392.5407
