cat,orig_cat
1,473
2,479
3,427
4,505
5,613
6,3866
7,905
8,1148
9,1247
10,3807
11,1331
12,1384
13,1441
14,1472
15,1481
16,1485
17,1562
18,1595
19,1769
20,4678
21,2211
22,2367
23,2402
24,2449
25,2493
26,2511
27,2525
28,2751
29,243
30,2962
31,2991
32,3037
33,3229
34,3290
35,3427
36,3451
37,3533
38,3390
39,3404
40,3674
41,3800
42,4019
43,2907
44,4102
45,4676
46,3749
47,4729
48,4766
49,4687
50,4658
51,206
52,233
53,1067
54,4674
55,1261
56,1258
57,1340
58,1533
59,1469
60,1543
61,1771
62,4547
63,1778
64,2307
65,2324
66,2017
67,3755
68,4541
69,3943
70,3953
71,4140
72,4145
73,4145
74,4144
75,4145
76,4632
77,4632
78,4103
79,4634
80,4644
81,2364
82,4151
83,3303
84,4633
85,1735
86,1772
87,3304
88,3951
89,3937
90,3936
91,3938
92,4636
93,486
94,3942
95,4765
96,3941
97,1742/4643
98,4651
99,3302
100,4143
101,499
102,559
103,1337
104,1338
105,1392
106,1393
107,1400
108,4037
109,1547
110,2019
111,2055
112,2309
113,2310
114,2375
115,2427
116,2428
117,2429
118,2432
119,2436
120,2601
121,3300
122,4659
123,4079
124,4080
125,4103
126,1546
127,1394
128,1541
129,1741
130,1799
131,1545
132,2393
133,2435
134,2311
135,3384
136,4145
137,4150
138,1395
139,1742
