from_cat,cat
1,154
2,77
3,231
4,240
5,52
6,245
7,53
9,99
10,66
12,210
13,213
14,212
15,223
16,228
17,45
18,241
19,32
20,132
20,169
21,182
21,184
22,193
22,266
24,11
24,200
25,204
26,277
27,82
28,45
29,231
30,245
31,250
32,53
33,66
37,36
38,96
38,282
39,96
39,282
40,39
41,255
42,222
44,227
45,78
48,49
49,285
50,241
51,244
53,81
54,81
55,291
57,91
58,258
59,68
61,89
62,262
63,265
64,296
66,198
68,298
69,265
70,296
71,257
73,110
74,283
75,21
75,297
77,225
78,228
79,229
80,232
81,55
82,222
84,223
85,288
86,285
87,261
88,264
89,60
90,233
91,256
92,292
93,234
93,287
94,152
94,153
95,154
97,258
98,26
100,256
101,97
102,89
103,91
104,284
105,202
106,205
107,204
108,208
109,110
110,76
111,214
112,279
113,217
114,217
116,82
119,227
120,232
121,90
122,86
123,237
124,243
125,30
126,247
127,32
128,255
129,260
134,269
135,168
136,273
140,194
140,196
141,189
144,93
145,298
146,203
147,275
148,211
149,26
150,277
151,215
152,216
155,226
156,225
157,43
158,229
159,284
160,233
162,31
163,252
164,291
165,130
165,172
166,263
167,131
167,170
168,20
168,165
169,167
169,177
170,171
170,175
172,173
172,174
175,8
175,176
177,133
177,178
178,179
178,180
182,138
182,183
186,140
186,190
187,198
188,189
190,141
190,271
191,142
191,192
192,75
192,186
194,195
195,22
195,197
196,187
196,188
197,23
197,143
198,24
198,199
201,202
202,205
204,206
205,206
206,203
207,208
209,210
210,299
211,212
212,213
213,214
214,76
215,218
216,215
217,216
220,39
222,83
222,84
223,221
224,226
226,77
227,78
228,43
229,80
231,80
232,90
233,230
234,49
235,86
236,237
237,286
238,288
239,240
240,47
240,48
242,243
243,244
246,30
248,31
249,250
250,247
251,252
253,292
254,55
255,283
258,257
259,260
261,60
262,263
264,262
266,267
268,269
269,267
270,99
271,168
272,273
273,195
274,299
275,211
276,275
278,279
279,36
280,218
281,219
282,221
284,230
285,286
288,93
289,161
289,236
290,52
291,249
292,249
293,68
294,261
295,264
297,139
297,185
298,97
300,219
