cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,92890,"18081333",5113,"primary","State Highway 109","MN 109","B",96,0,"F","F",1,449336.241381793,4838000.61788026
2,298134,"81140381",5115,"tertiary","620th Avenue","CR 61","B",0,0,"F","F",1,449394.210668005,4839517.62212223
3,102586,"18093411",5121,"unclassified","160th Street",,"B",0,0,"F","F",1,479943.876485831,4825923.14631636
4,307200,"115798410",5115,"tertiary","830th Avenue","CR 100","B",0,0,"F","F",1,483138.404968201,4827544.97450485
5,102798,"18093656",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479855.312378753,4822943.31759996
6,307298,"115921551",5115,"tertiary","335th Street","CR 70","B",0,0,"F","F",1,456557.426574315,4854256.53620715
7,102795,"18093650",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479925.685990905,4844191.19206397
8,164507,"18167054",5122,"residential","255th Street",,"B",0,0,"F","F",1,501313.248732329,4841304.02313696
9,103088,"18094004",5115,"tertiary","255th Street","CR 25","B",0,0,"F","F",1,457446.959071774,4841343.93590612
10,101734,"18092354",5122,"residential","220th Street",,"B",0,0,"F","F",1,450515.089669409,4835767.76578369
11,298217,"81177459",5111,"motorway",,"I 90","F",112,0,"F","F",1,451237.195911846,4834923.02849365
12,307190,"115796807",5115,"tertiary","210th Street","CR 46","B",88,0,"F","F",1,452286.028470373,4834126.37293785
13,102353,"18093128",5115,"tertiary","227th Street","CR 102","B",0,0,"F","F",1,486987.419632115,4836874.08021844
14,98287,"18088168",5141,"service",,,"B",0,0,"F","F",1,486514.768982622,4837678.08069307
15,100223,"18090337",5122,"residential","770th Avenue",,"B",0,0,"F","F",1,473496.797059066,4847568.46558221
16,102687,"18093528",5113,"primary",,"US 65;I 35 ALT","B",96,0,"F","F",1,479191.367165561,4820359.91521307
17,307201,"115799724",5122,"residential","700th Avenue",,"B",0,0,"F","F",1,462294.810805983,4840191.34432883
18,298159,"81140410",5115,"tertiary","700th Avenue","CR 14","B",0,0,"F","F",1,462237.344564734,4838504.62722002
19,100891,"18091215",5115,"tertiary","872nd Avenue","CR 34","B",0,0,"F","F",1,489970.638569401,4849135.13980025
20,102099,"18092813",5122,"residential","860th Avenue",,"B",0,0,"F","F",1,487958.893189308,4848513.43330243
21,97625,"18087393",5141,"service",,,"B",0,0,"F","F",1,487338.51265347,4847900.93670062
22,97478,"18087201",5142,"track",,,"B",0,0,"F","F",1,487364.654518294,4846991.33880812
23,101227,"18091636",5121,"unclassified","190th Street",,"B",0,0,"F","F",1,482936.880636445,4830785.1028144
24,101372,"18091870",5122,"residential","800th Avenue",,"B",0,0,"F","F",1,478322.716737296,4818064.35810944
25,102533,"18093343",5115,"tertiary","650th Avenue","CR 4","B",0,0,"F","F",1,454165.220975126,4830954.84001606
26,97660,"18087432",5141,"service",,,"B",0,0,"F","F",1,478910.293877951,4846498.06891274
27,102223,"18092967",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486363.593306565,4850996.60855521
28,307270,"115867874",5115,"tertiary","320th Street","CR 35","B",88,0,"F","F",1,485980.134868827,4851798.12500506
29,102687,"18093528",5113,"primary",,"US 65;I 35 ALT","B",96,0,"F","F",1,479260.868620096,4819565.59121805
30,101243,"18091658",5141,"service","300th Street",,"B",0,0,"F","F",1,479930.965508858,4848485.6175898
31,307207,"115799732",5115,"tertiary","180th Street","CR 17","B",0,0,"F","F",1,459131.904693397,4829274.10700467
32,298141,"81140392",5115,"tertiary","740th Avenue","CR 20","B",0,0,"F","F",1,469079.60221932,4844325.32386073
33,100912,"18091244",5122,"residential","270th Street",,"B",0,0,"F","F",1,470163.39284133,4843689.78070189
34,307284,"115877335",5115,"tertiary","340th Street","CR 37","B",0,0,"F","F",1,480248.170106778,4855040.62348045
35,307185,"115794471",5115,"tertiary","140th Street","CR 9","B",0,0,"F","F",1,459678.034621301,4823250.36321955
36,821143,"1137086627",5115,"tertiary","680th Avenue","CR 70","B",0,1,"T","F",1,459056.387812287,4854410.46085158
37,298141,"81140392",5115,"tertiary","740th Avenue","CR 20","B",0,0,"F","F",1,468671.71588374,4845435.10799415
38,102634,"18093465",5115,"tertiary","283rd Street","CR 31","B",0,0,"F","F",1,469628.477307922,4845719.23761288
39,102139,"18092863",5122,"residential","750th Avenue",,"B",0,0,"F","F",1,470283.175049742,4846452.80592417
40,307220,"115836005",5122,"residential","290th Street",,"B",0,0,"F","F",1,471291.239779944,4846912.19393439
41,100374,"18090537",5122,"residential","200th Street",,"B",0,0,"F","F",1,449882.812596445,4832537.18687948
42,101217,"18091621",5122,"residential","190th Street",,"B",0,0,"F","F",1,450805.885389825,4830925.30562411
43,101376,"18091876",5122,"residential","800th Avenue",,"B",0,0,"F","F",1,478297.2567335,4837231.90996746
44,625543,"818646553",5141,"service",,,"B",0,0,"F","F",1,483121.757549869,4833622.25139837
45,102805,"18093664",5114,"secondary","County Highway 45","CR 45;I 35 ALT","B",88,0,"F","F",1,475506.257952732,4847107.97438165
46,101030,"18091389",5122,"residential","335th Street",,"B",0,0,"F","F",1,469472.525566489,4854183.35585699
47,101108,"18091483",5122,"residential","230th Street",,"B",0,0,"F","F",1,460526.594031342,4837288.48024945
48,578832,"760636988",5141,"service",,,"B",0,0,"F","F",1,466127.089215939,4819251.02922875
49,100150,"18090257",5141,"service",,,"B",0,0,"F","F",1,492898.571831549,4846229.30782928
50,100070,"18090165",5141,"service",,,"B",0,0,"F","F",1,475889.609252496,4835749.07074386
51,94464,"18083280",5115,"tertiary","670th Avenue","CR 12","B",88,0,"F","F",1,457370.091942259,4830357.17240449
