cat,a_cat,b_cat,to_x,to_y
1,406,1,449394.210668005,4839517.62212223
2,3834,1,479903.87856026,4825630.44708598
3,1086,1,481487.099162854,4824547.41027135
4,3708,1,450515.089669409,4835767.76578369
5,3289,1,473496.797059066,4847568.46558221
6,2319,1,479191.367165561,4820359.91521307
7,3465,1,462294.810805983,4840191.34432883
8,676,1,489970.638569401,4849135.13980025
9,3941,1,487958.893189308,4848513.43330243
10,3500,1,487364.654518294,4846991.33880812
11,3877,1,482180.902166466,4829979.10608318
12,1389,1,454165.220975126,4830954.84001606
13,1042,1,478910.293877951,4846498.06891274
14,533,1,485980.114818355,4851798.12483575
15,2319,1,479260.868620096,4819565.59121805
16,1044,1,479930.965508858,4848485.6175898
17,2443,1,474460.89850756,4824138.26715109
18,2543,1,459678.063286893,4823250.28442995
19,949,1,470495.632550348,4846917.56631962
20,949,1,471291.219779054,4846912.19418835
21,2781,1,449882.812596445,4832537.18687948
22,408,1,450805.885389825,4830925.30562411
23,2167,1,478297.498980768,4837231.73148117
24,594,1,483121.738704179,4833621.85428797
25,3255,1,453535.870256667,4829292.53132136
26,451,1,475506.257952732,4847107.97438165
27,671,1,489171.646756728,4846157.29555269
28,3284,1,469472.525566489,4854183.35585699
29,1136,1,460526.594031342,4837288.48024945
30,640,1,454874.112458376,4816453.04160467
31,2357,1,475889.609252496,4835749.07074386
32,1949,1,475842.260122961,4816876.37797822
33,3364,1,465624.832482666,4817984.66502785
34,3298,1,476705.058725807,4846088.33255354
35,38,1,488160.177757231,4829202.28984431
36,993,1,451078.781432607,4851110.09966087
37,2828,1,472288.165810808,4849941.89438548
38,3538,1,488358.071062547,4827998.05776285
39,895,1,467006.408881286,4827608.19526762
40,574,1,479366.404647322,4832316.69264172
41,3834,1,479968.864270217,4833360.16850372
42,1123,1,485730.596466457,4822763.15505195
43,535,1,479517.744566074,4853338.88670022
44,573,1,484742.384293551,4832404.51405282
45,3272,1,472473.376257981,4840455.50523258
46,2533,1,464899.453914561,4842512.1270478
47,1158,1,492800.013006768,4844395.98311345
48,2815,1,491827.332424968,4845339.16463088
49,2660,1,485416.3338989,4838891.97947208
50,2175,1,484783.533004556,4838877.23585966
51,3948,1,486600.706181108,4843763.5082239
52,574,1,487164.811882765,4832419.51320872
53,3439,1,489017.074204476,4822753.8196384
54,2047,1,488620.182606423,4821143.52324599
55,2119,1,490909.379664769,4847461.34307442
56,2111,1,490921.676845344,4846974.41517238
57,2499,1,483148.848076086,4842102.03294474
58,1166,1,489200.449912191,4840588.82619351
59,3724,1,491221.341821361,4839685.71243297
60,653,1,492004.600480147,4839219.65821297
61,651,1,495106.962817476,4837460.09263909
62,327,1,496815.222969637,4836921.94219316
63,308,1,497449.996598529,4836048.7759463
64,309,1,498418.520465655,4835622.07742993
65,1751,1,449768.580793921,4834880.3479772
66,1382,1,450184.44687614,4834142.36038782
67,4017,1,463709.455564675,4831939.56267445
68,2330,1,463762.975323884,4832088.88525746
69,1231,1,478976.544147383,4836643.725258
70,1704,1,463812.730190654,4826916.95720922
71,2815,1,481539.477565478,4845314.03833011
72,3940,1,487951.868627751,4844956.22406976
73,1492,1,471839.163034537,4819560.46072252
74,2888,1,472004.78976613,4819402.62272445
75,325,1,460071.348591336,4836096.10698558
76,1751,1,485558.737795745,4834091.62478116
77,1977,1,486364.446733252,4851814.80045093
78,3983,1,458163.357933225,4825748.54840286
79,1151,1,451537.617353087,4818728.32115448
80,484,1,452139.04089304,4849880.57900618
81,319,1,462240.073720202,4835669.18314607
