cat,lcat,along,x,y
1,1,0,486343.9121,4830409.0962
2,1,204.251636035849,486346.335207095,4830613.33331538
3,1,408.503272071699,486348.5594,4830817.5668
4,2,0,448498.4211,4818894.0441
5,2,192.540378166603,448430.477818861,4818713.89206393
6,2,385.080756333206,448392.3057,4818527.6126
7,3,0,448152.5589,4816800.3376
8,3,733.866505180661,448179.602471244,4817529.59264055
9,3,1467.73301036132,448387.9778,4818089.1893
10,4,0,452847.6452,4817994.3678
11,4,774.591957617664,452180.224336915,4817897.58491256
12,4,1549.18391523533,451889.8911,4817262.6669
13,5,0,451962.517,4820449.2421
14,5,1318.54125444553,451723.912401924,4819326.86580211
15,5,2637.08250889105,451238.8546,4818487.8223
16,6,0,451238.2794,4818862.0921
17,6,376.951196105216,451238.834849647,4818485.14154945
18,6,753.902392210432,451236.8477,4818108.2068
19,7,0,447627.3422,4818914.7404
20,7,3849.15507876897,450384.084269628,4818509.00363709
21,7,7698.31015753794,452354.5772,4816468.4954
22,8,0,451771.0319,4832102.8724
23,8,1112.17342067683,451137.586161424,4832817.43398157
24,8,2224.34684135367,450391.1544,4833240.6084
25,9,0,450558.4712,4830510.207
26,9,3752.75433154868,450414.059645963,4833157.61600806
27,9,7505.50866309736,449350.6844,4835776.3767
28,10,0,488159.1687,4829218.4863
29,10,1313.19576113047,488355.503797531,4828001.90047498
30,10,2626.39152226095,488488.9344,4826790.7449
31,11,0,487084.2325,4826790.1991
32,11,111.814851611035,487196.041629948,4826790.33720079
33,11,223.62970322207,487307.8531,4826789.4676
34,12,0,486982.2658,4827987.7651
35,12,2769.47690768047,488658.906641383,4826790.57281205
36,12,5538.95381536094,490012.2024,4825303.7536
37,13,0,461391.9634,4828010.494
38,13,399.603757359856,461155.550008046,4827699.53196985
39,13,799.207514719713,460808.8589,4827547.9336
40,14,0,458099.9264,4825932.8966
41,14,741.420390878976,458653.87290231,4825888.97632563
42,14,1482.84078175795,459121.5563,4825931.2796
43,15,0,459670.3607,4824430.2785
44,15,158.977734342318,459511.3917,4824431.94495
45,15,317.955468684637,459352.4227,4824433.6114
46,16,0,458971.6466,4824835.5907
47,16,182.188952639281,459153.816696698,4824833.01111647
48,16,364.377905278563,459335.6888,4824836.1068
49,17,0,460639.9418,4823929.4735
50,17,685.824502419668,460163.464793005,4823628.78832993
51,17,1371.64900483934,459661.9677,4823303.5864
52,18,0,458136.3463,4823634.5909
53,18,605.778745090168,458742.122579662,4823633.37814827
54,18,1211.55749018034,459347.8845,4823628.9414
55,19,0,461089.1216,4829208.2073
56,19,4158.00531380897,459762.946582223,4826571.80255371
57,19,8316.01062761795,459625.0956,4823065.3139
58,20,0,452412.5299,4849957.3733
59,20,251.336184924736,452299.400065212,4850181.56712412
60,20,502.672369849472,452083.0852,4850273.2102
61,21,0,451880.2451,4851438.7276
62,21,827.624911956511,451171.348196524,4851167.54783928
63,21,1655.24982391302,450637.9545,4851506.2002
64,22,0,452039.8722,4851900.4195
65,22,337.755841451047,451840.330551048,4851749.99112179
66,22,675.511682902093,451847.9561,4851442.3113
67,23,0,453069.3986,4847650.2892
68,23,2616.67904862216,451875.364015401,4849133.52984361
69,23,5233.35809724432,451880.2451,4851438.7276
70,24,0,450150.7974,4840583.525
71,24,2448.68971739406,449378.495358109,4838724.41297057
72,24,4897.37943478812,447736.1775,4837764.9201
73,25,0,483499.6252,4826407.8209
74,25,3438.52495672058,481173.386552733,4827491.54531362
75,25,6877.04991344115,479508.4687,4825176.4084
76,26,0,472102.5448,4827157.9147
77,26,385.943584492991,472093.91487918,4826772.09908998
78,26,771.887168985983,472114.0669,4826386.9188
79,27,0,470071.1116,4828654.3575
80,27,5768.49921482861,473880.111622422,4824621.89483141
81,27,11536.9984296572,478113.5531,4821581.2301
82,28,0,473736.7678,4825919.2826
83,28,417.792214294991,473330.03301833,4825910.98381671
84,28,835.584428589983,473068.7271,4825587.3608
85,29,0,459734.1159,4819576.2913
86,29,3466.02895529057,457639.240243789,4817565.32739785
87,29,6932.05791058114,454873.9158,4816452.6025
88,30,0,452936.2778,4819262.9863
89,30,1135.21263838854,453763.018203623,4818552.08752125
90,30,2270.42527677708,454887.0552,4818399.7767
91,31,0,451910.9615,4821557.4095
92,31,265.497639189915,452035.443307782,4821790.12425775
93,31,530.99527837983,452168.8499,4822019.6665
94,32,0,451290.4795,4822440.7268
95,32,936.263991436076,451849.330441821,4821713.99979957
96,32,1872.52798287215,452059.732,4820816.0405
97,33,0,451061.99,4821246.6249
98,33,372.795738266209,451319.829355667,4820977.44933505
99,33,745.591476532417,451581.3125,4820712.1227
100,34,0,447923.5757,4821735.758
101,34,1686.60217655001,448546.607129733,4820399.57652978
102,34,3373.20435310002,450038.9154,4820203.7798
103,35,0,450038.9154,4820203.7798
104,35,4278.34947168818,453984.099983778,4820393.81599377
105,35,8556.69894337636,455436.098,4817232.5195
106,36,0,474543.2351,4836630.0486
107,36,603.741573316392,474699.849400119,4836073.85572786
108,36,1207.48314663278,475259.8238,4836009.6594
109,37,0,475958.6281,4836811.1966
110,37,1583.44749117459,475435.144472463,4835838.86829546
111,37,3166.89498234917,476662.452,4835540.657
112,38,0,463878.5721,4842704.6553
113,38,894.364072293029,464558.869318785,4843065.81583248
114,38,1788.72814458606,465374.8124,4843212.6423
115,39,0,465371.3294,4843717.4977
116,39,3779.00729960112,464672.293253629,4840441.59816553
117,39,7558.01459920223,465165.8087,4837607.0341
118,40,0,457446.8635,4841331.3021
119,40,658.989463943423,457157.618786742,4841739.7513881
120,40,1317.97892788685,456701.2403,4842125.4926
121,41,0,470763.2319,4823587.674
122,41,148.569573555702,470842.102733456,4823469.8942691
123,41,297.139147111404,470943.532,4823362.3344
124,42,0,462526.8734,4840110.7428
125,42,421.972488669875,462870.154244576,4839900.06917189
126,42,843.944977339751,463292.0832,4839895.5975
127,43,0,459666.516,4835546.1866
128,43,1171.48047748971,460227.205567902,4836267.06386386
129,43,2342.96095497943,460526.9013,4837291.8015
130,44,0,462526.8734,4840110.7428
131,44,5384.7926501813,462095.588915689,4838506.91272185
132,44,10769.5853003626,465818.7378,4836963.7975
133,45,0,463026.0181,4835650.592
134,45,477.43195220184,462634.627949596,4835799.36343447
135,45,954.863904403681,462240.0691,4835675.7942
136,46,0,462297.6232,4834844.9564
137,46,975.496376130419,462143.928458343,4835690.75330488
138,46,1950.99275226084,461810.3768,4836392.803
139,47,0,459526.1208,4831675.0173
140,47,4162.54384130866,461206.643232499,4834620.9496126
141,47,8325.08768261731,463056.1763,4837282.7531
142,48,0,460066.2788,4836548.3085
143,48,76.7486276384627,460143.026063106,4836547.85084265
144,48,153.497255276925,460219.2631,4836553.3426
145,49,0,465475.7642,4842187.289
146,49,630.283200772999,465110.980891693,4841906.97370102
147,49,1260.566401546,464481.1051,4841886.1243
148,50,0,461731.5537,4841305.4979
149,50,849.003330756557,461106.720660383,4841004.2873044
150,50,1698.00666151311,460770.0279,4840325.1892
151,51,0,464445.774,4836389.0148
152,51,414.698667176037,464448.5163,4836803.7044
153,51,829.397334352073,464451.2586,4837218.394
154,52,0,453367.5172,4834007.9904
155,52,3027.07574037542,451327.420180283,4834889.85036341
156,52,6054.15148075084,449347.3662,4836056.0554
157,53,0,463489.1307,4832593.1651
158,53,472.661244336203,463660.271058728,4832265.92067235
159,53,945.322488672406,463991.027,4832047.1292
160,54,0,464904.9197,4831641.7715
161,54,236.086333653038,464725.142561692,4831709.45958645
162,54,472.172667306075,464745.9326,4831943.1852
163,55,0,464629.2605,4832831.3608
164,55,335.297144700274,464630.0975,4832496.0647
165,55,670.594289400548,464630.9345,4832160.7686
166,56,0,462845.9279,4830854.2241
167,56,1832.05648017297,463938.781747077,4831972.27977292
168,56,3664.11296034595,465412.3213,4832065.329
169,57,0,479972.0206,4833363.2593
170,57,857.495056293641,479635.040345922,4832607.80501122
171,57,1714.99011258728,479003.9457,4832124.6383
172,58,0,477514.732,4837826.2817
173,58,1052.07246698158,478323.69181096,4837212.27652932
174,58,2104.14493396316,479109.1625,4836515.3398
175,59,0,480718.7666,4836559.6566
176,59,3161.43841624293,478364.936309967,4835274.33899513
177,59,6322.87683248586,479972.0206,4833363.2593
178,60,0,479465.0685,4836827.5137
179,60,345.696024022442,479119.547441975,4836823.38211869
180,60,691.392048044883,478773.9682,4836822.1041
181,61,0,478470.2869,4836410.2416
182,61,318.390969775793,478788.61795,4836416.41835
183,61,636.781939551585,479106.949,4836422.5951
184,62,0,477955.5292,4835188.2332
185,62,187.803102588148,478143.31221973,4835185.48677638
186,62,375.606205176297,478331.0856,4835182.1826
187,63,0,480409.4611,4836833.3286
188,63,143.257187962484,480413.061,4836690.11665
189,63,286.514375924969,480416.6609,4836546.9047
190,64,0,487347.7669,4831952.9673
191,64,321.834710214353,487217.672116346,4832151.83737451
192,64,643.669420428706,487163.624,4832434.0767
193,65,0,486560.3006,4834066.1887
194,65,1039.39034722476,486650.155500575,4833219.30162096
195,65,2078.78069444953,486390.8207,4832430.7006
196,66,0,484774.9831,4830222.4523
197,66,301.069085185575,484776.948227736,4830523.50936953
198,66,602.13817037115,484776.5566,4830824.5782
199,67,0,486348.5594,4830817.5668
200,67,1704.88571874748,484647.837748529,4830823.21902874
201,67,3409.77143749495,482943.0845,4830803.1889
202,68,0,485562.5781,4834617.5749
203,68,287.739930099402,485560.48265,4834329.8426
204,68,575.479860198804,485558.3872,4834042.1103
205,69,0,487163.624,4832434.0767
206,69,1199.09830758327,485964.539623286,4832428.3363245
207,69,2398.19661516654,484766.2329,4832425.3722
208,70,0,484754.3849,4831489.5021
209,70,467.855566859548,484748.583824906,4831957.32169961
210,70,935.711133719097,484742.0905,4832425.1319
211,71,0,483121.3943,4833743.769
212,71,670.420976898369,483135.402488901,4833074.58204776
213,71,1340.84195379674,483144.742,4832404.2267
214,72,0,482346.01,4832395.2238
215,72,401.428510331885,482747.380117236,4832402.07054356
216,72,802.85702066377,483117.3293,4832375.9329
217,73,0,486075.7811,4834049.865
218,73,4999.31101989601,483122.651316736,4831962.34676643
219,73,9998.62203979202,480358.5536,4830598.738
220,74,0,482677.2627,4824623.0664
221,74,2938.15751978027,480748.85407225,4823719.07412135
222,74,5876.31503956054,478820.4435,4822306.0065
223,75,0,482479.4785,4822785.1023
224,75,6317.14665556122,486801.547904607,4820941.47065529
225,75,12634.2933111224,489684.5474,4816297.5405
226,76,0,486215.746,4823774.2816
227,76,1209.31407874279,485933.348773911,4822743.48002839
228,76,2418.62815748559,486131.1766,4821653.9593
229,77,0,483587.4451,4819808.1439
230,77,677.895334276051,484255.072258464,4819733.51008174
231,77,1355.7906685521,484907.0599,4819639.2862
232,78,0,489547.0001,4820886.1635
233,78,674.227619470663,489413.863739888,4820334.14629397
234,78,1348.45523894133,488743.2562,4820323.4377
235,79,0,488756.5271,4823266.257
236,79,3200.34071040245,488620.243954202,4821157.88401402
237,79,6400.6814208049,488071.7193,4818688.0224
238,80,0,483120.7191,4817950.1707
239,80,2749.50465204994,484899.617312575,4819501.31010543
240,80,5499.00930409987,486613.4432,4821130.2957
241,81,0,488620.2553,4821156.9095
242,81,369.174645766442,488251.085007749,4821157.87044557
243,81,738.349291532885,487958.1749,4821244.2802
244,82,0,485933.4926,4822751.4383
245,82,830.940222063365,485532.632757393,4823195.76847083
246,82,1661.88044412673,485074.845,4823586.1695
247,83,0,482111.9528,4821032.1451
248,83,1206.13015024905,482672.418546462,4821872.76082797
249,83,2412.26030049811,483464.5895,4822391.832
250,84,0,486325.4344,4823156.7568
251,84,109.566588628232,486215.947457215,4823159.85798502
252,84,219.133177256465,486106.4441,4823162.8634
253,85,0,484320.4679,4822386.9126
254,85,1026.70707466112,483948.282316574,4823089.92020086
255,85,2053.41414932224,483107.3479,4823309.9359
256,86,0,479264.5449,4819565.8476
257,86,102.127293890786,479162.53145034,4819564.44709927
258,86,204.254587781572,479060.4352,4819566.965
259,87,0,479204.711,4820359.5057
260,87,1460.75973745598,479063.540253671,4819088.94503302
261,87,2921.51947491197,478288.0293,4818028.9924
262,88,0,454346.0389,4828358.9839
263,88,355.833118439201,454551.137757608,4828079.5862596
264,88,711.666236878402,454543.2399,4827723.8408
265,89,0,459131.0291,4829256.0379
266,89,3919.75426472585,456926.330973113,4829794.84381976
267,89,7839.50852945169,455333.3394,4826871.3818
268,90,0,454175.5816,4830957.7612
269,90,5676.13183991594,455339.315463507,4826484.1804069
270,90,11352.2636798319,458475.7385,4822301.2952
271,91,0,466227.2362,4827212.7784
272,91,202.157308938547,466229.22255,4827414.92595
273,91,404.314617877094,466231.2089,4827617.0735
274,92,0,467650.9795,4826809.8659
275,92,1364.75163164007,467020.355798605,4827586.92734612
276,92,2729.50326328013,465691.4519,4827696.2435
277,93,0,462682.5311,4826893.6098
278,93,167.548231773869,462682.538787902,4827061.1580316
279,93,335.096463547737,462698.2547,4827221.5183
280,94,0,462601.6841,4828044.521
281,94,412.828359326696,462601.695535092,4827631.69640805
282,94,825.656718653392,462614.7066,4827224.0047
283,95,0,461788.2698,4826826.3565
284,95,1944.65631505874,463341.946066013,4827265.52371384
285,95,3889.31263011747,464411.8008,4826452.0524
286,96,0,471374.9887,4817061.1599
287,96,2012.63084668601,473221.909082105,4816749.90282025
288,96,4025.26169337203,474373.8232,4817853.2296
289,97,0,474046.9228,4820372.4277
290,97,1992.29452929736,475235.751341235,4819105.047503
291,97,3984.58905859472,475449.6674,4817160.3127
292,98,0,466220.0668,4822834.1038
293,98,7971.75891835838,471812.944133413,4820318.01661441
294,98,15943.5178367168,478061.9892,4816722.4827
295,99,0,474633.5373,4817133.7815
296,99,201.088969579638,474834.626269403,4817133.77306747
297,99,402.177939159276,475035.7152,4817133.6496
298,100,0,475031.5974,4816733.2229
299,100,313.642009531569,475035.32841382,4817046.84266213
300,100,627.284019063138,475056.0831,4817355.4095
301,101,0,465846.9604,4821232.0907
302,101,182.809126234957,465867.127389493,4821411.36492968
303,101,365.618252469915,465868.5654,4821594.1684
304,102,0,466165.4506,4817193.874
305,102,1388.22159711614,465683.104098028,4818200.12536348
306,102,2776.44319423227,466561.2285,4818972.2894
307,103,0,467843.0457,4824092.2766
308,103,3603.29533824071,470407.951751869,4823365.22347125
309,103,7206.59067648142,472639.686,4821216.9432
310,104,0,466601.5661,4821601.341
311,104,292.992498119048,466573.516060107,4821879.05399587
312,104,585.984996238097,466301.4167,4821986.3521
313,105,0,471019.9201,4819696.4509
314,105,490.724033294676,471456.573849365,4819491.11736733
315,105,981.448066589352,471889.1368,4819558.4789
316,106,0,471820.9468,4817956.9746
317,106,604.938701528552,471815.961425714,4817352.05919802
318,106,1209.8774030571,471821.0274,4816747.8667
319,107,0,464176.0539,4820408.8425
320,107,225.389546581823,464174.40295,4820634.226
321,107,450.779093163646,464172.752,4820859.6095
322,108,0,463381.7597,4821700.5202
323,108,640.519960824533,463617.08455958,4821130.84754268
324,108,1281.03992164907,464182.4746,4820858.1078
325,109,0,464182.4746,4820858.1078
326,109,1601.43276604249,465303.494493488,4821412.49209923
327,109,3202.86553208498,466300.3867,4822194.4752
328,110,0,470079.6721,4824750.5692
329,110,763.403462929753,470275.201366486,4824131.16488015
330,110,1526.80692585951,470274.5023,4823367.7802
331,111,0,465397.9014,4819549.6983
332,111,3641.17650797253,467879.139616535,4817498.7510742
333,111,7282.35301594507,470998.517,4816997.3522
334,112,0,457310.724,4851562.894
335,112,3724.50119175301,456562.352916143,4854044.00071097
336,112,7449.00238350603,456000.0766,4856542.1725
337,113,0,459472.8441,4849409.0457
338,113,3179.57228820947,459041.11694417,4851488.21085975
339,113,6359.14457641894,460057.4763,4853852.7423
340,114,0,462286.2279,4852656.6259
