cat,orig_cat
1,48
2,55
3,68
4,84
5,91
6,93
7,101
8,144
9,153
10,156
11,184
12,11
13,15
14,16
15,51
16,61
17,63
18,86
19,107
20,138
21,166
22,163
23,176
24,183
25,6
26,23
27,46
28,59
29,73
30,95
31,100
32,108
33,157
34,24
35,25
36,27
37,28
38,49
39,39
40,38
41,103
42,47
43,59
44,58
45,59
46,74
47,82
48,76
49,75
50,87
51,89
52,92
53,109
54,104
55,98
56,112
57,113
58,120
59,119
60,128
61,128
62,133
63,137
64,122
65,154
66,157
67,162
68,118
69,181
70,150
71,117
72,125
73,1623
74,41
75,174
76,19
77,56
78,59
79,64
80,73
81,109
82,46
83,44
84,44
85,83
86,80
87,130
88,132
89,128
90,73
91,115
92,106
93,75
94,32
95,43
96,49
97,118
98,23
99,152
100,116
101,121
102,129
103,114
104,1
105,2
106,3
107,5
108,8
109,17
110,17
111,18
112,26
113,33
114,34
115,40
116,45
117,50
118,52
119,60
120,70
121,71
122,77
123,78
124,88
125,94
126,97
127,108
128,110
129,124
130,126
131,139
132,141
133,145
134,148
135,155
136,158
137,161
138,164
139,167
140,169
141,172
142,175
143,180
144,185
145,1268
146,4
147,13
148,14
149,20
150,22
151,30
152,32
153,31
154,43
155,53
156,54
157,62
158,65
159,66
160,72
161,81
162,99
163,102
164,105
165,140
166,134
167,127
168,173
169,138
170,127
171,127
172,140
173,140
174,143
175,142
176,142
177,138
178,138
179,138
180,146
181,151
182,165
183,165
184,166
185,168
186,173
187,179
188,170
189,171
190,173
191,174
192,174
193,177
194,163
195,163
196,179
197,176
198,182
199,182
200,183
201,7
202,7
203,7
204,6
205,7
206,7
207,9
208,9
209,12
210,12
211,19
212,19
213,19
214,19
215,35
216,35
217,35
218,29
219,37
220,39
221,44
222,47
223,44
224,56
225,56
226,56
227,58
228,59
229,69
230,73
231,73
232,73
233,73
234,75
235,80
236,79
237,79
238,75
239,76
240,76
241,87
242,90
243,90
244,90
245,95
246,95
247,98
248,100
249,98
250,98
251,111
252,111
253,96
254,98
255,103
256,115
257,118
258,118
259,123
260,123
261,131
262,132
263,132
264,132
265,137
266,163
267,163
268,147
269,147
270,152
271,173
272,159
273,159
274,10
275,19
276,19
277,21
278,27
279,27
280,29
281,36
282,39
283,103
284,67
285,75
286,75
287,85
288,75
289,79
290,92
291,98
292,96
293,118
294,131
295,135
296,150
297,168
298,118
299,12
300,37
