root,chain
1,[1]
2,[2]
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,[8]
9,[9]
10,[10]
11,[11]
12,[12]
13,[13]
14,[14]
15,[15]
16,[16]
17,[17]
18,[18]
19,[19]
20,"[20, 169, 177, 178, 179]"
21,"[21, 184]"
22,"[194, 195, 22, 266, 267]"
23,"[197, 23]"
24,"[24, 200]"
25,"[25, 204]"
26,"[98, 26]"
27,"[27, 82]"
28,"[28, 45, 78, 228, 43]"
29,"[29, 231, 80, 232, 90, 233, 230]"
30,"[246, 30, 245]"
31,"[248, 31]"
32,"[127, 32]"
33,"[33, 66]"
34,[34]
35,[35]
36,"[278, 279, 36]"
37,[37]
38,"[38, 96]"
39,"[220, 39, 282]"
40,[40]
41,"[41, 255, 283]"
42,"[42, 222]"
43,"[28, 45, 78, 228, 43]"
44,"[44, 227]"
45,"[28, 45, 78, 228, 43]"
46,[46]
47,[47]
48,"[239, 240, 48]"
49,"[238, 288, 93, 234, 49, 285, 286]"
50,"[50, 241]"
51,[51]
52,"[290, 52]"
53,"[53, 81]"
54,[54]
55,"[254, 55, 291, 249, 250, 247]"
56,[56]
57,[57]
58,[58]
59,[59]
60,"[61, 89, 60]"
61,"[61, 89, 60]"
62,[62]
63,"[63, 265]"
64,[64]
65,[65]
66,"[33, 66]"
67,[67]
68,"[293, 68, 298, 97, 258, 257]"
69,[69]
70,"[70, 296]"
71,[71]
72,[72]
73,[73]
74,[74]
75,"[191, 192, 75]"
76,"[276, 275, 211, 212, 213, 214, 76]"
77,"[224, 226, 77, 225]"
78,"[28, 45, 78, 228, 43]"
79,[79]
80,"[29, 231, 80, 232, 90, 233, 230]"
81,"[53, 81]"
82,"[27, 82]"
83,[83]
84,"[84, 223, 221]"
85,[85]
86,"[235, 86]"
87,[87]
88,"[88, 264, 262, 263]"
89,"[61, 89, 60]"
90,"[29, 231, 80, 232, 90, 233, 230]"
91,"[91, 256]"
92,[92]
93,"[238, 288, 93, 234, 49, 285, 286]"
94,"[94, 152]"
95,"[95, 154]"
96,"[38, 96]"
97,"[293, 68, 298, 97, 258, 257]"
98,"[98, 26]"
99,"[270, 99]"
100,[100]
101,[101]
102,[102]
103,[103]
104,[104]
105,[105]
106,[106]
107,[107]
108,[108]
109,"[109, 110]"
110,"[109, 110]"
111,[111]
112,[112]
113,[113]
114,[114]
115,[115]
116,[116]
117,[117]
118,[118]
119,[119]
120,[120]
121,[121]
122,[122]
123,[123]
124,[124]
125,[125]
126,[126]
127,"[127, 32]"
128,[128]
129,[129]
130,[130]
131,[131]
132,[132]
133,[133]
134,[134]
135,[135]
136,[136]
137,[137]
138,[138]
139,[139]
140,[140]
141,[141]
142,[142]
143,[143]
144,[144]
145,[145]
146,[146]
147,[147]
148,[148]
149,[149]
150,[150]
151,[151]
152,"[94, 152]"
153,[153]
154,"[95, 154]"
155,[155]
156,[156]
157,[157]
158,[158]
159,[159]
160,[160]
161,[161]
162,[162]
163,[163]
164,[164]
165,"[165, 172, 173]"
166,[166]
167,"[167, 170, 171]"
168,"[186, 190, 271, 168]"
169,"[20, 169, 177, 178, 179]"
170,"[167, 170, 171]"
171,"[167, 170, 171]"
172,"[165, 172, 173]"
173,"[165, 172, 173]"
174,[174]
175,"[175, 176]"
176,"[175, 176]"
177,"[20, 169, 177, 178, 179]"
178,"[20, 169, 177, 178, 179]"
179,"[20, 169, 177, 178, 179]"
180,[180]
181,[181]
182,"[182, 183]"
183,"[182, 183]"
184,"[21, 184]"
185,"[297, 185]"
186,"[186, 190, 271, 168]"
187,"[196, 187]"
188,[188]
189,[189]
190,"[186, 190, 271, 168]"
191,"[191, 192, 75]"
192,"[191, 192, 75]"
193,[193]
194,"[194, 195, 22, 266, 267]"
195,"[194, 195, 22, 266, 267]"
196,"[196, 187]"
197,"[197, 23]"
198,"[198, 199]"
199,"[198, 199]"
200,"[24, 200]"
201,"[201, 202, 205, 206, 203]"
202,"[201, 202, 205, 206, 203]"
203,"[201, 202, 205, 206, 203]"
204,"[25, 204]"
205,"[201, 202, 205, 206, 203]"
206,"[201, 202, 205, 206, 203]"
207,"[207, 208]"
208,"[207, 208]"
209,"[209, 210, 299]"
210,"[209, 210, 299]"
211,"[276, 275, 211, 212, 213, 214, 76]"
212,"[276, 275, 211, 212, 213, 214, 76]"
213,"[276, 275, 211, 212, 213, 214, 76]"
214,"[276, 275, 211, 212, 213, 214, 76]"
215,"[217, 216, 215]"
216,"[217, 216, 215]"
