lcat,x,y,across,x1,y1,cos,sin,culvert,along
15.0,239443.84359691746,5164925.337609604,18.0,239442.59818360003,5164907.380746135,0.0691896287461038,0.9976035260933956,0.0,0.0
15.0,239433.80152653382,5164925.031683577,17.0,239432.62530300274,5164908.072423623,0.06918961947453056,0.9976035267364334,0.0,10.0
15.0,239423.89783553747,5164926.720964594,18.0,239422.65242222,5164908.764101124,0.06918962874811337,0.9976035260932563,0.0,20.0
15.0,239413.85576521873,5164926.415038559,17.0,239412.67954153,5164909.455778615,0.06918962874811337,0.9976035260932563,0.0,30.0
15.0,239403.81369490098,5164926.109112532,16.0,239402.706660841,5164910.147456114,0.06918962874811337,0.9976035260932563,0.0,40.0
15.0,239393.84081421097,5164926.800790022,16.0,239392.733780151,5164910.839133604,0.06918962874811337,0.9976035260932563,0.0,50.0
15.0,239383.7987438922,5164926.494863995,15.0,239382.76089946102,5164911.530811104,0.0691896287461038,0.9976035260933956,0.0,60.0
15.0,239373.89505283098,5164928.184145012,16.0,239372.788018771,5164912.222488594,0.06918962874811337,0.9976035260932563,0.0,70.0
15.0,239363.92217214097,5164928.875822512,16.0,239362.815138081,5164912.914166095,0.06918962874811337,0.9976035260932563,0.0,80.0
15.0,239353.88010182223,5164928.569896475,15.0,239352.84225739105,5164913.605843584,0.0691896287461038,0.9976035260933956,0.0,90.0
15.0,239343.90722113222,5164929.261573976,15.0,239342.869376701,5164914.297521085,0.06918962874811337,0.9976035260932563,0.0,100.0
15.0,239333.9343404432,5164929.953251466,15.0,239332.89649601202,5164914.989198575,0.0691896287461038,0.9976035260933956,0.0,110.0
15.0,239323.82308049573,5164928.649721914,13.0,239322.923615322,5164915.680876074,0.06918962874811337,0.9976035260932563,0.0,120.0
15.0,239313.91938943448,5164930.33900293,14.0,239312.950734632,5164916.372553565,0.06918962874811337,0.9976035260932563,0.0,130.0
15.0,239303.808129487,5164929.035473377,12.0,239302.97785394205,5164917.064231064,0.0691896287461038,0.9976035260933956,0.0,140.0
15.0,239293.90443842573,5164930.724754394,13.0,239293.004973252,5164917.755908554,0.06918962874811337,0.9976035260932563,0.0,150.0
15.0,239283.862368107,5164930.418828367,12.0,239283.032092562,5164918.447586054,0.06918962874811337,0.9976035260932563,0.0,160.0
15.0,239273.82029778822,5164930.112902331,11.0,239273.05921187202,5164919.139263544,0.0691896287461038,0.9976035260933956,0.0,170.0
15.0,239263.98579635672,5164932.799786884,13.0,239263.086331183,5164919.830941045,0.06918962874811337,0.9976035260932563,0.0,180.0
15.0,239254.01291566674,5164933.491464374,13.0,239253.11345049305,5164920.522618534,0.0691896287461038,0.9976035260933956,0.0,190.0
15.0,239244.04003494617,5164934.1831418695,13.0,239243.14056990502,5164921.2142960215,0.06918961854938258,0.9976035268005977,1.0,200.0
15.0,239234.06715428672,5164934.874819364,13.0,239233.167689113,5164921.905973525,0.06918962874811337,0.9976035260932563,1.0,210.0
15.0,239224.09427356612,5164935.566496859,13.0,239223.194808525,5164922.597651011,0.06918961854737324,0.997603526800737,1.0,220.0
15.0,239213.99794277083,5164936.086414766,13.0,239213.59483688435,5164923.092666051,0.031008145114623464,0.9995191318511869,1.0,230.0
15.0,239204.0060425415,5164936.396415702,13.0,239203.60237423106,5164923.402684448,0.031051408494170388,0.9995177887514199,1.0,240.0
