cat,x,y
1,324213.741605296,4984575.58409884
2,324213.84154004,4984575.58048678
3,324243.448833698,4984585.18027592
4,324243.393925498,4984585.09669907
5,324994.298357256,4997133.15197176
6,324994.304402007,4997133.05215462
7,324977.639461626,4997100.61673112
8,324977.6957417,4997100.69939038
9,324263.105553566,4984574.72738284
10,324263.005582593,4984574.72979211
11,324243.448833698,4984585.18027592
12,324243.507032714,4984585.09895634
13,326785.968942082,4983309.29009443
14,326785.981703484,4983309.38927682
15,326777.051475231,4983331.81334782
16,326777.14616769,4983331.8454934
17,409696.789902945,4980566.04828423
18,409696.886679206,4980566.02309782
19,409727.744923287,4980567.71518198
20,409727.832530237,4980567.6669635
21,402313.993143316,4978564.18896229
22,402313.980962091,4978564.08970697
23,402312.541637026,4978538.12902385
24,402312.563937776,4978538.22650552
25,408056.335338059,4976651.01609605
26,408056.353012406,4976650.91767036
27,408056.825339514,4976643.49984855
28,408056.822285134,4976643.59980189
29,341329.92231259,5047958.06939318
30,341329.836870449,5047958.01743511
31,341296.267771198,5047938.46295262
32,341296.357942159,5047938.50618684
33,337753.871384282,5044782.88290171
34,337753.964380531,5044782.91966715
35,337808.046284237,5044794.1877638
36,337807.946372862,5044794.18355463
37,336541.240294472,5049718.03024434
38,336541.239308284,5049717.9302492
39,336547.299764847,5049693.99317412
40,336547.261307432,5049694.08548353
41,341389.65755359,5048605.30557478
42,341389.694237623,5048605.21254639
43,341403.318473502,5048572.40030991
44,341403.411643591,5048572.43663256
45,337962.187256332,5051820.62470093
46,337962.230305502,5051820.53444147
47,337974.09937672,5051798.90252543
48,337974.053640526,5051798.99145349
49,336368.658567317,5049700.34979451
50,336368.725336438,5049700.42423834
51,336392.350788994,5049727.13881925
52,336392.285797434,5049727.06281861
53,343954.64509753,5049904.73395466
54,343954.74488834,5049904.74041951
55,343994.368735426,5049903.50280361
56,343994.269087267,5049903.49442242
57,327090.561312962,5003069.25148121
58,327090.618416808,5003069.16938888
59,327107.845808329,5003051.25181802
60,327107.773710342,5003051.32111362
61,325209.514532227,4997099.96521629
62,325209.415000541,4997099.95554968
63,325160.083823767,4997100.74538882
64,325160.183241697,4997100.734615
65,324048.01232587,4982741.92379709
66,324047.913353469,4982741.90949801
67,323998.862507107,4982734.88846501
68,323998.959224941,4982734.91387487
69,324618.290752757,4990901.89060426
70,324618.190767944,4990901.8888615
71,324594.268845017,4990895.82663839
72,324594.360612154,4990895.86637241
73,324359.763120874,4985129.72926759
74,324359.666441352,4985129.75482283
75,324312.712523875,4985146.22449198
76,324312.811376167,4985146.20938488
77,324431.497322084,4985497.43645395
78,324431.523503014,4985497.33994198
79,324434.369833524,4985472.80791761
80,324434.38250474,4985472.90711156
81,324243.448833698,4984585.18027592
82,324243.443002949,4984585.28010579
83,324242.936403918,4984602.18304542
84,324242.933896438,4984602.08307686
85,328052.110018281,5003896.5801173
86,328052.106920255,5003896.4801653
87,328050.460906957,5003846.93855741
88,328050.453701438,5003847.03829748
89,327725.979269763,5004876.32779563
90,327725.909901505,5004876.25576755
91,327716.849249739,5004853.16405192
92,327716.862541248,5004853.26316466
93,325650.172290471,5000508.34723424
94,325650.072954274,5000508.35873729
95,325601.206159464,5000516.03083213
96,325601.305495661,5000516.01932909
97,325479.846385169,5000489.70629271
98,325479.794675219,5000489.62070018
99,325459.076202181,5000444.80347403
100,325459.112224121,5000444.89676079
101,325454.014957069,5000431.69626314
102,325453.978935129,5000431.60297638
103,325430.069329005,5000388.56434157
104,325430.08690198,5000388.66278541
105,325351.390006905,5000262.12250566
106,325351.290404862,5000262.11359314
107,325302.789789237,5000252.78996233
108,325302.874310613,5000252.84340517
109,325291.480472505,5000252.76311045
110,325291.384383831,5000252.79080461
111,325242.462242424,5000244.18278807
112,325242.561655786,5000244.17197219
113,325179.933742079,5000230.56564718
114,325179.834090366,5000230.55730836
115,325130.374389162,5000226.36986822
116,325130.472715884,5000226.38808513
117,325033.67430535,5000206.42028977
118,325033.575978628,5000206.40207286
119,324985.710824465,5000193.59232507
120,324985.806849494,5000193.62023911
121,324767.981191415,5000186.76478354
122,324767.896228503,5000186.81752161
123,324721.051611344,5000199.80056217
124,324721.147236591,5000199.82981644
125,324685.50650844,5000185.69021626
