cat,county,cat_cty
2,"McLeod",2
3,"McLeod",3
4,"McLeod",4
5,"McLeod",5
6,"McLeod",6
7,"McLeod",7
8,"McLeod",8
9,"McLeod",9
10,"McLeod",10
11,"McLeod",11
12,"McLeod",12
13,"McLeod",13
14,"McLeod",14
15,"McLeod",15
16,"McLeod",16
17,"McLeod",17
18,"McLeod",18
19,"McLeod",19
20,"McLeod",20
21,"McLeod",21
22,"McLeod",22
23,"McLeod",23
25,"McLeod",25
26,"McLeod",26
27,"McLeod",27
28,"McLeod",28
29,"McLeod",29
30,"McLeod",30
31,"McLeod",31
32,"McLeod",32
33,"McLeod",33
34,"McLeod",34
37,"McLeod",37
38,"McLeod",38
39,"McLeod",39
40,"McLeod",40
42,"McLeod",42
43,"McLeod",43
44,"McLeod",44
45,"McLeod",45
46,"McLeod",46
47,"McLeod",47
48,"McLeod",48
49,"McLeod",49
50,"McLeod",50
51,"McLeod",51
52,"McLeod",52
53,"McLeod",53
54,"McLeod",54
55,"McLeod",55
56,"McLeod",56
57,"McLeod",57
58,"McLeod",58
59,"McLeod",59
60,"McLeod",60
61,"McLeod",61
62,"McLeod",62
63,"McLeod",63
64,"McLeod",64
65,"McLeod",65
66,"McLeod",66
67,"McLeod",67
68,"McLeod",68
69,"McLeod",69
70,"McLeod",70
73,"McLeod",73
77,"McLeod",77
78,"McLeod",78
79,"McLeod",79
80,"McLeod",80
81,"McLeod",81
82,"McLeod",82
83,"McLeod",83
84,"McLeod",84
85,"McLeod",85
88,"McLeod",88
89,"McLeod",89
90,"McLeod",90
91,"McLeod",91
92,"McLeod",92
93,"McLeod",93
94,"McLeod",94
95,"McLeod",95
96,"McLeod",96
97,"McLeod",97
98,"McLeod",98
99,"McLeod",99
112,"Sibley",13
115,"Sibley",16
119,"Sibley",20
120,"Sibley",21
121,"Sibley",22
122,"Sibley",23
123,"Sibley",24
124,"Sibley",25
125,"Sibley",26
140,"Sibley",41
149,"Sibley",50
150,"Sibley",51
151,"Sibley",52
162,"Sibley",63
165,"Sibley",66
166,"Sibley",67
167,"Sibley",68
168,"Sibley",69
169,"Sibley",70
190,"Sibley",91
191,"Sibley",92
200,"Sibley",101
206,"Sibley",107
207,"Sibley",108
224,"Sibley",125
225,"Sibley",126
226,"Sibley",127
227,"Sibley",128
230,"Sibley",131
245,"Sibley",146
246,"Sibley",147
261,"Sibley",162
271,"Sibley",172
273,"Sibley",174
293,"Sibley",194
294,"Sibley",195
295,"Sibley",196
296,"Sibley",197
297,"Sibley",198
299,"Sibley",200
335,"Sibley",236
342,"Sibley",243
343,"Sibley",244
345,"Sibley",246
347,"Sibley",248
365,"Sibley",266
366,"Sibley",267
367,"Sibley",268
368,"Sibley",269
371,"Sibley",272
372,"Sibley",273
373,"Sibley",274
374,"Sibley",275
375,"Sibley",276
376,"Sibley",277
377,"Sibley",278
500,"Sibley",401
501,"Sibley",402
502,"Sibley",403
503,"Sibley",404
504,"Sibley",405
505,"Sibley",406
506,"Sibley",407
507,"Sibley",408
508,"Sibley",409
509,"Sibley",410
510,"Sibley",411
535,"Sibley",436
536,"Sibley",437
537,"Sibley",438
538,"Sibley",439
539,"Sibley",440
540,"Sibley",441
541,"Sibley",442
542,"Sibley",443
543,"Sibley",444
544,"Sibley",445
545,"Sibley",446
546,"Sibley",447
547,"Sibley",448
550,"Sibley",451
565,"Sibley",466
566,"Sibley",467
567,"Sibley",468
568,"Sibley",469
569,"Sibley",470
570,"Sibley",471
578,"Sibley",479
579,"Sibley",480
580,"Sibley",481
583,"Sibley",484
592,"Sibley",493
593,"Sibley",494
