cat,lcat,along,elev
1,24,0,21757
2,24,0.999968379783362,21757
3,24,1.99993675956672,21750
4,24,2.99990513935009,21741
5,24,3.99987351913345,21724
6,24,4.99984189891681,21693
7,24,5.99981027870017,21617
8,24,6.99977865848353,21566
9,24,7.99974703826689,21571
10,24,8.99971541805026,21589
11,24,9.99968379783362,21584
12,24,10.999652177617,21572
13,24,11.9996205574003,21566
14,24,12.9995889371837,21559
15,24,13.9995573169671,21580
16,24,14.9995256967504,21581
17,24,15.9994940765338,21568
18,24,16.9994624563172,21556
19,24,17.9994308361005,21540
20,24,18.9993992158839,21539
21,24,19.9993675956672,21539
22,24,20.9993359754506,21540
23,24,21.999304355234,21546
24,24,22.9992727350173,21553
25,24,23.9992411148007,21558
26,24,24.999209494584,21564
27,24,25.9991778743674,21563
28,24,26.9991462541508,21555
29,24,27.9991146339341,21532
30,24,28.9990830137175,21510
31,24,29.9990513935009,21524
32,24,30.9990197732842,21527
33,24,31.9989881530676,21534
34,24,32.9989565328509,21542
35,24,33.9989249126343,21549
36,24,34.9988932924177,21555
37,24,35.998861672201,21567
38,24,36.9988300519844,21563
39,24,37.9987984317678,21550
40,24,38.9987668115511,21527
41,24,39.9987351913345,21526
42,24,40.9987035711178,21541
43,24,41.9986719509012,21551
44,24,42.9986403306846,21554
45,24,43.9986087104679,21570
46,24,44.9985770902513,21571
47,24,45.9985454700346,21574
48,24,46.998513849818,21568
49,24,47.9984822296014,21567
50,24,48.9984506093847,21566
51,24,49.9984189891681,21563
52,24,50.9983873689515,21557
53,24,51.9983557487348,21552
54,24,52.9983241285182,21544
55,24,53.9982925083015,21529
56,24,54.9982608880849,21519
57,24,55.9982292678683,21538
58,24,56.9981976476516,21538
59,24,57.998166027435,21541
60,24,58.9981344072184,21537
61,24,59.9981027870017,21543
62,24,60.9980711667851,21558
63,24,61.9980395465684,21561
64,24,62.9980079263518,21551
65,24,63.9979763061352,21535
66,24,64.9979446859185,21538
67,24,65.9979130657019,21531
68,24,66.9978814454852,21537
69,24,67.9978498252686,21549
70,24,68.997818205052,21545
71,24,69.9977865848353,21532
72,24,70.9977549646187,21529
73,24,71.997723344402,21547
74,24,72.9976917241854,21540
75,24,73.9976601039688,21535
76,24,74.9976284837521,21546
77,24,75.9975968635355,21554
78,24,76.9975652433189,21545
79,24,77.9975336231022,21537
80,24,78.9975020028856,21546
81,24,79.997470382669,21545
82,24,80.9974387624523,21530
83,24,81.9974071422357,21526
84,24,82.997375522019,21551
85,24,83.9973439018024,21560
86,24,84.9973122815857,21559
87,24,85.9972806613691,21560
88,24,86.9972490411525,21559
89,24,87.9972174209358,21560
90,24,88.9971858007192,21547
91,24,89.9971541805026,21539
92,24,90.9971225602859,21518
93,24,91.9970909400693,21545
94,24,92.9970593198527,21551
95,24,93.997027699636,21557
96,24,94.9969960794194,21563
97,24,95.9969644592027,21546
98,24,96.9969328389861,21534
99,24,97.9969012187695,21525
100,24,98.9968695985528,21520
101,24,99.9968379783362,21526
102,24,100.99680635812,21519
103,24,101.996774737903,21524
104,24,102.996743117686,21534
105,24,103.99671149747,21541
106,24,104.996679877253,21546
107,24,105.996648257036,21533
108,24,106.99661663682,21538
109,24,107.996585016603,21541
110,24,108.996553396386,21539
111,24,109.99652177617,21526
112,24,110.996490155953,21513
113,24,111.996458535737,21518
114,24,112.99642691552,21524
115,24,113.996395295303,21525
116,24,114.996363675087,21552
117,24,115.99633205487,21555
118,24,116.996300434653,21549
119,24,117.996268814437,21543
120,24,118.99623719422,21525
121,24,119.996205574003,21522
122,24,120.996173953787,21518
123,24,121.99614233357,21546
124,24,122.996110713354,21546
125,24,123.996079093137,21571
126,24,124.99604747292,21590
127,24,125.996015852704,21602
128,24,126.995984232487,21572
129,24,127.99595261227,21570
130,24,128.995920992054,21569
131,24,129.995889371837,21542
132,24,130.99585775162,21540
133,24,131.995826131404,21524
134,24,132.995794511187,21518
135,24,133.99576289097,21511
136,24,134.995731270754,21495
137,24,135.995699650537,21478
138,24,136.995668030321,21488
139,24,137.995636410104,21491
140,24,138.995604789887,21519
141,24,139.995573169671,21525
142,24,140.995541549454,21519
143,24,141.995509929237,21506
144,24,142.995478309021,21504
145,24,143.995446688804,21504
146,24,144.995415068587,21517
147,24,145.995383448371,21532
148,24,146.995351828154,21528
149,24,147.995320207938,21520
150,24,148.995288587721,21518
151,24,149.995256967504,21516
152,24,150.995225347288,21517
153,24,151.995193727071,21517
154,24,152.995162106854,21514
155,24,153.995130486638,21508
156,24,154.995098866421,21501
157,24,155.995067246204,21506
158,24,156.995035625988,21509
159,24,157.995004005771,21509
160,24,158.994972385555,21494
161,24,159.994940765338,21510
162,24,160.994909145121,21524
163,24,161.994877524905,21518
164,24,162.994845904688,21509
165,24,163.994814284471,21502
166,24,164.994782664255,21504
167,24,165.994751044038,21520
168,24,166.994719423821,21525
169,24,167.994687803605,21525
170,24,168.994656183388,21522
171,24,169.994624563171,21511
172,24,170.994592942955,21512
173,24,171.994561322738,21508
174,24,172.994529702522,21505
175,24,173.994498082305,21509
176,24,174.994466462088,21517
177,24,175.994434841872,21535
178,24,176.994403221655,21545
179,24,177.994371601438,21546
180,24,178.994339981222,21544
181,24,179.994308361005,21540
182,24,180.994276740788,21533
183,24,181.994245120572,21530
184,24,182.994213500355,21532
185,24,183.994181880139,21528
186,24,184.994150259922,21524
187,24,185.994118639705,21533
188,24,186.994087019489,21532
189,24,187.994055399272,21527
190,24,188.994023779055,21518
191,24,189.993992158839,21525
192,24,190.993960538622,21532
193,24,191.993928918405,21533
194,24,192.993897298189,21511
195,24,193.993865677972,21507
196,24,194.993834057756,21496
197,24,195.993802437539,21493
198,24,196.993770817322,21495
199,24,197.993739197106,21489
200,24,198.993707576889,21487
201,24,199.993675956672,21493
202,24,200.993644336456,21493
203,24,201.993612716239,21495
204,24,202.993581096022,21494
205,24,203.993549475806,21502
206,24,204.993517855589,21511
207,24,205.993486235373,21515
208,24,206.993454615156,21516
209,24,207.993422994939,21519
210,24,208.993391374723,21522
211,24,209.993359754506,21523
212,24,210.993328134289,21517
213,24,211.993296514073,21510
214,24,212.993264893856,21501
215,24,213.993233273639,21480
216,24,214.993201653423,21474
217,24,215.993170033206,21487
218,24,216.99313841299,21486
219,24,217.993106792773,21486
220,24,218.993075172556,21474
221,24,219.99304355234,21474
222,24,220.993011932123,21466
223,24,221.992980311906,21473
224,24,222.99294869169,21485
225,24,223.992917071473,21489
226,24,224.992885451256,21487
227,24,225.99285383104,21479
228,24,226.992822210823,21480
229,24,227.992790590606,21481
230,24,228.99275897039,21470
231,24,229.992727350173,21463
232,24,230.992695729957,21465
233,24,231.99266410974,21464
234,24,232.992632489523,21456
235,24,233.992600869307,21460
236,24,234.99256924909,21460
237,24,235.992537628873,21471
238,24,236.992506008657,21476
239,24,237.99247438844,21494
240,24,238.992442768223,21505
241,24,239.992411148007,21508
242,24,240.99237952779,21503
243,24,241.992347907574,21500
244,24,242.992316287357,21499
245,24,243.99228466714,21491
246,24,244.992253046924,21472
247,24,245.992221426707,21474
248,24,246.99218980649,21486
249,24,247.992158186274,21503
250,24,248.992126566057,21502
251,24,249.99209494584,21494
252,24,250.992063325624,21485
253,24,251.992031705407,21486
254,24,252.992000085191,21487
255,24,253.991968464974,21478
256,24,254.991936844757,21465
257,24,255.991905224541,21463
258,24,256.991873604324,21459
259,24,257.991841984107,21489
260,24,258.991810363891,21503
261,24,259.991778743674,21485
262,24,260.991747123457,21470
263,24,261.991715503241,21477
264,24,262.991683883024,21479
265,24,263.991652262808,21486
266,24,264.991620642591,21477
267,24,265.991589022374,21470
268,24,266.991557402158,21458
269,24,267.991525781941,21502
270,24,268.991494161724,21504
271,24,269.991462541508,21510
272,24,270.991430921291,21515
273,24,271.991399301074,21522
274,24,272.991367680858,21520
