cat,lcat,along,x,y
1,24,0,240363.958979383,5159572.12332719
2,24,658.888256060892,239735.938760343,5159447.32131676
3,24,1317.77651212178,239115.042977687,5159325.89206617
4,24,1976.66476818267,238510.918728272,5159533.48057671
5,24,2635.55302424357,237932.924912097,5159802.57174695
6,24,3294.44128030446,237391.692728002,5160110.61682423
7,24,3953.32953636535,236751.142373552,5160142.24261812
8,24,4612.21779242624,236104.119262344,5160177.1141315
9,24,5271.10604848713,235452.562463187,5160203.77465091
10,24,5929.99430454802,235072.006673901,5160592.16924383
11,24,6588.88256060892,234947.169001526,5161213.68912155
12,24,7247.77081666981,234998.833361618,5161858.52547938
13,25,0,239230.899834921,5164931.08488253
14,25,147.454465089771,239084.156382769,5164935.05589485
15,25,294.908930179543,238938.342586584,5164940.80727716
16,25,442.363395269314,238792.665608051,5164945.4860902
17,25,589.817860359086,238646.424101207,5164947.24789472
18,25,737.272325448857,238501.878549172,5164954.69750282
19,25,884.726790538629,238355.928443617,5164956.91391003
20,25,1032.1812556284,238209.143286477,5164961.5409868
21,25,1179.63572071817,238062.747129288,5164967.61847045
22,25,1327.09018580794,237916.823594446,5164969.93284009
23,25,1474.54465089771,237770.549804332,5164975.36391092
24,25,1621.99911598749,237623.279415892,5164978.7011168
25,27,0,239938.830991084,5164910.87917527
26,27,64.0364578958621,239875.868046014,5164913.46425168
27,27,128.072915791724,239812.06453573,5164915.52358291
28,27,192.109373687586,239748.362081778,5164917.5089458
29,27,256.145831583448,239684.690957003,5164917.6336693
30,27,320.18228947931,239621.101910484,5164921.31988167
31,27,384.218747375172,239557.681267551,5164921.56989049
32,27,448.255205271034,239494.296045359,5164925.29703539
33,27,512.291663166896,239430.639254419,5164926.72533951
34,27,576.328121062759,239366.840865398,5164928.05488742
35,27,640.364578958621,239303.838615143,5164929.92611404
36,27,704.401036854483,239239.835486181,5164931.9918882
37,28,0,242180.623059673,5164829.94866324
38,28,185.364533419141,241998.416234337,5164832.55599167
39,28,370.729066838281,241814.963504175,5164842.12972558
40,28,556.093600257422,241630.576182441,5164850.29115564
41,28,741.458133676562,241446.345841131,5164859.25162408
42,28,926.822667095703,241263.33679251,5164867.37726927
43,28,1112.18720051484,241079.181484195,5164873.87888244
44,28,1297.55173393398,240896.402135767,5164878.8627375
45,28,1482.91626735312,240713.292454262,5164885.44794236
46,28,1668.28080077227,240528.758872184,5164890.66669606
47,28,1853.64533419141,240344.58895054,5164896.82772077
48,28,2039.00986761055,240159.908437428,5164904.00638566
49,30,0,243065.021549444,5164784.72916925
50,30,27.4634177597396,243038.589837571,5164787.6489063
51,30,54.9268355194792,243011.612147856,5164788.60938893
