from_cat,cat
1,289
2,338
3,338
4,295
5,294
22,155
22,158
25,164
25,309
26,28
26,162
29,166
29,172
30,29
30,310
36,177
36,178
38,182
38,183
40,194
40,195
42,359
42,382
54,363
54,454
55,52
55,54
56,117
56,385
59,148
59,434
61,505
63,214
64,77
68,69
68,226
72,73
72,232
77,244
77,490
83,342
84,298
90,345
91,466
100,92
100,251
101,344
105,410
106,105
106,326
109,85
109,511
111,215
111,413
114,1
115,457
119,120
119,378
120,121
120,122
122,124
122,306
124,135
124,379
125,127
125,129
127,307
127,425
131,133
131,134
135,9
135,136
136,10
136,427
137,138
137,371
138,139
138,140
139,12
139,428
141,142
141,144
142,15
142,372
144,145
144,146
146,17
146,147
148,149
148,435
149,150
149,348
151,457
152,20
152,437
156,23
156,441
159,24
159,161
161,22
161,157
165,167
165,175
166,32
166,165
167,31
167,444
169,168
169,357
172,173
172,445
173,174
173,446
176,21
176,35
179,205
179,381
180,38
180,312
181,186
181,187
182,181
182,313
190,188
190,189
193,39
193,40
196,42
196,452
197,198
197,384
198,156
198,317
199,201
199,354
200,30
200,362
202,55
202,318
203,49
203,53
205,37
205,459
206,190
206,448
209,193
209,358
210,48
210,209
212,387
212,460
215,216
215,303
219,221
219,349
220,224
220,225
222,66
222,297
224,219
224,283
230,231
230,396
232,233
232,234
234,397
234,468
237,229
237,236
238,469
238,483
242,74
242,324
243,75
243,242
246,245
246,474
248,247
248,476
252,89
252,301
254,252
254,253
256,255
256,257
261,106
261,419
264,262
264,263
266,79
266,265
268,486
269,327
269,480
271,214
276,495
278,478
278,488
281,346
281,407
283,333
283,422
287,335
288,337
289,296
290,340
291,340
292,290
293,292
294,296
295,294
296,304
300,227
300,484
301,344
302,300
303,110
303,502
305,7
305,119
306,123
306,125
307,126
307,128
308,159
308,160
309,163
309,443
311,33
311,315
312,206
313,184
313,185
314,41
314,199
315,176
315,453
316,206
317,44
317,320
318,203
318,456
320,25
320,200
321,355
321,451
322,218
322,323
323,222
323,223
326,246
326,473
327,249
327,402
328,86
328,268
329,82
329,264
330,103
330,498
331,108
331,261
332,281
332,500
333,65
336,337
337,289
338,288
339,290
340,295
341,95
342,466
344,351
345,331
345,462
346,347
347,421
347,501
349,67
349,464
350,70
350,506
352,350
352,369
353,275
353,302
354,47
354,210
356,59
356,438
357,170
357,380
358,196
358,202
359,360
359,383
361,45
361,314
362,34
362,311
363,51
363,364
366,277
366,497
368,36
368,179
370,298
371,429
371,431
372,16
372,143
373,370
373,392
374,304
375,335
376,288
377,292
385,6
385,118
389,505
390,95
391,62
391,112
395,71
395,481
397,99
397,235
398,239
398,241
403,495
408,510
410,77
412,299
418,351
419,107
419,367
420,347
425,130
425,426
426,131
426,132
427,11
427,137
429,13
429,430
430,14
430,141
431,356
431,432
432,18
432,433
437,19
437,436
438,153
438,439
439,154
439,440
441,308
441,442
443,26
443,27
444,169
444,171
448,191
448,449
450,355
450,451
451,192
451,361
452,43
452,197
453,46
453,316
454,50
454,455
456,204
456,319
457,56
457,116
458,151
458,424
460,211
460,388
462,279
462,329
463,345
464,321
464,322
468,230
468,237
469,240
469,398
470,399
470,471
471,76
471,243
473,78
473,325
475,401
475,477
477,248
477,343
479,269
479,416
483,81
483,365
484,341
484,461
485,93
485,328
487,486
488,88
488,479
489,65
490,400
490,472
492,373
492,493
493,300
494,61
494,467
495,102
495,496
496,258
496,259
498,104
498,366
499,410
501,393
501,507
502,271
502,284
503,96
503,423
504,1
505,212
505,213
506,342
507,404
507,508
508,405
508,482
509,510
510,332
510,420
511,299
