cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,293620,"59924010",5112,"trunk",,"US 212","B",0,0,"F","F",1,292077.239888278,4970820.36268822
2,132702,"18130418",5115,"tertiary","311th Avenue","CR 39","B",0,0,"F","F",1,261749.61662908,4985197.07221837
3,131388,"18128799",5141,"service",,,"B",0,0,"F","F",1,247254.67633485,4984870.3886258
4,131067,"18128435",5122,"residential","T-188",,"B",0,0,"F","F",1,250786.490509667,4972758.48761341
5,132343,"18129984",5122,"residential","T-143",,"B",0,0,"F","F",1,249192.431910479,4973394.66538318
6,131189,"18128572",5122,"residential","290th Street",,"B",0,0,"F","F",1,256522.360858542,4996576.8020786
7,274494,"18300291",5122,"residential","440th Street",,"B",0,0,"F","F",1,281491.784394159,4973951.2390723
8,132411,"18130064",5115,"tertiary","County Highway 2","CR 2","B",0,0,"F","F",1,257599.822121766,4970687.71285745
9,132125,"18129712",5122,"residential",,,"B",0,0,"F","F",1,258141.562855279,4980384.01094891
10,132555,"18130244",5122,"residential","County Highway 69",,"B",0,0,"F","F",1,257497.605512952,5001424.69674078
11,335907,"147526191",5115,"tertiary","County Highway 28","CR 28","B",0,0,"F","F",1,256770.352004755,4998166.07299023
12,131544,"18128979",5122,"residential","330th Street",,"B",0,0,"F","F",1,245583.339035122,5003376.48292824
13,133059,"18130860",5122,"residential","341st Avenue",,"B",0,0,"F","F",1,266175.585002289,4977929.71719039
14,133082,"18130886",5115,"tertiary","County Highway 17","CR 17","B",0,0,"F","F",1,244068.964943228,4990136.43294823
15,274337,"18300114",5122,"residential","320th Avenue",,"B",0,0,"F","F",1,291483.643092242,4971119.89529543
16,132287,"18129921",5113,"primary","State Highway 40","MN 40","B",0,0,"F","F",1,234642.773690077,4989405.95971882
17,132329,"18129968",5115,"tertiary","County Highway 30","CR 30","B",0,0,"F","F",1,238855.376333287,5003698.00937859
18,131806,"18129343",5122,"residential","340th Street",,"B",0,0,"F","F",1,238340.766659216,5005458.86537598
19,131817,"18129354",5121,"unclassified","356th Street",,"B",0,0,"F","F",1,237052.9527697,5008226.96669252
20,335906,"147526188",5122,"residential","271st Avenue",,"B",0,0,"F","F",1,255854.11739271,5000749.6884687
21,132923,"18130691",5115,"tertiary","County Road 21","CR 21","B",0,0,"F","F",1,252371.849244947,4971104.51192356
22,131698,"18129221",5122,"residential","370th Street",,"B",0,0,"F","F",1,245562.872889222,5009933.50238122
23,131929,"18129477",5141,"service",,,"B",0,0,"F","F",1,246932.476361436,4988995.19407004
24,557184,"746816723",5113,"primary","State Highway 40","MN 40","B",0,0,"F","F",1,245712.008545824,4988916.73302377
25,131661,"18129175",5122,"residential","241st Avenue",,"B",0,0,"F","F",1,250857.072238512,4997721.84572464
26,274500,"18300297",5115,"tertiary","300th Street","CR 11","B",0,0,"F","F",1,258603.991252931,4964107.94095738
27,132860,"18130612",5122,"residential","T-197",,"B",0,0,"F","F",1,246089.259434057,4974539.45056882
28,131788,"18129324",5122,"residential","310th Street",,"B",0,0,"F","F",1,250926.070006748,4999957.37403381
29,132457,"18130117",5115,"tertiary","151st Avenue","CR 53","B",0,0,"F","F",1,235829.470151319,4991473.08559205
30,274234,"18299994",5122,"residential","410th Street",,"B",0,0,"F","F",1,276380.378136524,4967575.2062579
31,131375,"18128785",5122,"residential","321st Avenue",,"B",0,0,"F","F",1,263513.290690468,4988474.71840984
32,571144,"754950087",5142,"track",,,"B",0,1,"T","F",1,262615.259860327,4988599.39707955
33,274234,"18299994",5122,"residential","410th Street",,"B",0,0,"F","F",1,276563.240369114,4972274.26827673
34,274040,"18299767",5122,"residential","330th Avenue",,"B",0,0,"F","F",1,275817.8473,4973303.26250778
35,369694,"188893575",5115,"tertiary","450th Street","CR 8","B",0,0,"F","F",1,282989.755572883,4970572.1108198
36,274337,"18300114",5122,"residential","320th Avenue",,"B",0,0,"F","F",1,286131.940803511,4971328.27352697
37,131035,"18128395",5122,"residential","280th Avenue",,"B",0,0,"F","F",1,266032.444892612,4965558.61940596
38,131486,"18128915",5121,"unclassified","200th Street",,"B",0,0,"F","F",1,268931.352773355,4981582.30220861
39,132865,"18130618",5115,"tertiary","County Highway 59","CR 59","B",0,0,"F","F",1,246020.802128047,4996433.88865797
40,133005,"18130789",5115,"tertiary","County Highway 13","CR 13","B",0,0,"F","F",1,239142.460256994,4985981.6601758
41,132319,"18129956",5122,"residential","235th Avenue",,"B",0,0,"F","F",1,248974.087974775,4967836.19998438
42,131658,"18129172",5122,"residential","281st Avenue",,"B",0,0,"F","F",1,257276.627851185,4994876.81478558
43,274393,"18300178",5121,"unclassified","290th Avenue",,"B",0,0,"F","F",1,278749.623032917,4966626.92101291
44,272988,"18298426",5122,"residential","280th Avenue",,"B",0,0,"F","F",1,277826.193639434,4965175.10076533
45,131160,"18128541",5122,"residential","120th Street North",,"B",0,0,"F","F",1,264538.201761162,4968813.69562992
46,131160,"18128541",5122,"residential","120th Street North",,"B",0,0,"F","F",1,264014.313271693,4968826.7265543
47,132411,"18130064",5115,"tertiary","County Highway 2","CR 2","B",0,0,"F","F",1,270096.367048967,4970246.26268747
48,398669,"264400588",5115,"tertiary","240th Avenue","CR 32","B",0,0,"F","F",1,263624.939252891,4959143.92301869
49,273980,"18299699",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,265478.293758881,4962330.60727715
50,273980,"18299699",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,261006.181875688,4962435.83325494
51,132769,"18130502",5115,"tertiary","The Theodore Christianson Drive","CR 23","B",0,0,"F","F",1,258723.748121698,4967715.40338548
52,132769,"18130502",5115,"tertiary","The Theodore Christianson Drive","CR 23","B",0,0,"F","F",1,258745.201413057,4968425.8698113
53,131201,"18128589",5122,"residential","351st Avenue",,"B",0,0,"F","F",1,267937.087270288,4979946.45691823
54,949916,"1365460247",5122,"residential","180th Street",,"B",0,0,"F","F",1,269842.932837104,4978283.61975581
55,131309,"18128711",5122,"residential","371st Avenue",,"B",0,0,"F","F",1,271099.395693551,4979373.56986168
56,132517,"18130193",5115,"tertiary","331st Avenue","CR 27","B",0,0,"F","F",1,264696.09249906,4979237.51636559
57,131330,"18128734",5122,"residential","301st Avenue",,"B",0,0,"F","F",1,260270.875382614,4988731.41484898
