cat,a_cat,b_cat,to_x,to_y
1,1097,1,292079.118690072,4970821.6439171
2,108,1,245705.922614424,4985681.61881841
3,1196,1,250788.999556971,4972757.6215668
4,1131,1,281508.365443516,4973947.09745123
5,901,1,257208.427319756,4971140.81147434
6,1008,1,258139.644359989,4980385.91478364
7,157,1,256727.717362925,4982019.21690562
8,2148,1,257495.959712713,5001424.75778865
9,538,1,245583.282319505,5003375.5203361
10,1809,1,266185.122749705,4977884.72746271
11,1608,1,242075.337146685,4974583.7135039
12,1132,1,291483.64381219,4971119.65349142
13,724,1,234642.703897539,4989404.62596559
14,1178,1,238856.313117881,5003694.54018925
15,85,1,238335.817813821,5005465.8568585
16,403,1,237043.397671681,5008241.73041854
17,1926,1,250519.05972865,4987961.02659329
18,157,1,257434.748187495,4999456.6480935
19,1164,1,252488.695577529,4970934.43355998
20,2035,1,245562.790418552,5009932.51445028
21,592,1,271546.363520432,4966953.95804706
22,597,1,258598.862172557,4964108.35202831
23,241,1,250926.8706999,4999972.87299105
24,121,1,235831.588304626,4991472.62469829
25,1332,1,263515.368031813,4988474.68077448
26,198,1,276569.898944691,4972271.28702054
27,1987,1,275817.8473,4973308.02244283
28,1639,1,282994.948781327,4970571.92325641
29,1132,1,286132.007144757,4971329.55288055
30,1008,1,268743.973098671,4979936.57711741
31,2244,1,245829.054993188,4996938.51894541
32,2040,1,239140.354893236,4985979.17816045
33,34,1,248573.522966218,4967869.17972136
34,157,1,257275.675302718,4994876.83210777
35,252,1,278959.714300396,4966640.36291415
36,1367,1,277826.083881965,4965173.11051831
37,1447,1,264537.666459946,4968811.57452501
38,1447,1,264014.316948173,4968826.9571882
39,1023,1,270096.263230362,4970242.43784932
40,1071,1,263624.978909615,4959144.90583787
41,223,1,265478.258069803,4962329.23953798
42,223,1,261004.994328004,4962429.56370948
43,1008,1,268042.718309643,4979972.65030451
44,434,1,269842.804029282,4978279.74972285
45,1808,1,271103.709331866,4979373.29811414
46,2088,1,260274.067709285,4988731.27212777
47,1182,1,242016.193024002,5005203.26570083
48,1362,1,244422.547152111,4973203.27361571
49,619,1,246594.813535536,4971204.61892607
50,1729,1,263779.867592441,4984961.69437443
51,724,1,257597.581070281,4988492.9249151
52,157,1,257085.411117191,4990216.747
53,1028,1,279988.364420165,4978737.88383272
54,1320,1,279091.497704353,4976933.9127
55,435,1,279038.368002848,4976341.67726558
56,979,1,246222.03631683,5000820.1493653
57,1084,1,255434.313604046,4990316.98901083
58,32,1,242589.719728598,4968272.69962671
59,223,1,241062.047298138,4963326.31543193
60,1551,1,274186.107129564,4975279.42364126
61,241,1,255246.229708332,4999773.66376249
62,116,1,234192.029102037,4990718.01175574
63,1690,1,287778.652355682,4971406.15586061
64,361,1,273242.24204337,4967889.53309832
65,1009,1,266112.143757715,4975741.06855272
66,1008,1,275212.562004732,4979738.63133559
67,398,1,247445.655697358,4969804.80397532
68,360,1,272371.366463255,4970160.23108848
69,300,1,265219.029639978,4969001.18934275
70,1447,1,266601.269558661,4968790.83072534
71,1230,1,270002.753842236,4968328.63434939
72,448,1,271329.667282116,4970198.14596414
73,1346,1,268167.196451781,4963871.92600096
74,1346,1,258710.06440868,4964137.80100485
75,655,1,266962.678479318,4974386.07996448
76,1557,1,269319.563317586,4975096.77261673
77,1703,1,275083.196090064,4966880.69789104
78,435,1,276145.716883741,4976463.54016976
79,450,1,277505.032630824,4978027.0065265
80,1029,1,275834.610611075,4976487.01370278
81,157,1,257188.624219063,4993715.78690227
82,1993,1,260120.828452116,4984876.22496717
83,1994,1,284513.572396275,4968145.07057545
84,1367,1,279453.756794526,4965111.27106966
85,592,1,271764.490854177,4966944.55895033
86,1265,1,271466.333241677,4965199.76703388
87,354,1,266820.571431788,4969578.23434169
88,905,1,259457.196235521,4965763.09433732
