cat,lcat,along,x,y
1,1,0,279095.6864,4974673.2761
2,1,52.1828024279265,279058.4835,4974709.8683
3,1,104.365604855853,279021.2806,4974746.4605
4,1,0,279064.4464,4975501.8627
5,1,32.3209731400832,279036.8852,4975518.7454
6,1,64.6419462801664,279009.324,4975535.6281
7,2,0,279021.2806,4974746.4605
8,2,378.393271647908,279041.267983025,4975124.29475604
9,2,756.786543295817,279064.4464,4975501.8627
10,3,0,279009.324,4975535.6281
11,3,328.638082158236,279022.898745726,4975863.96136953
12,3,657.276164316472,279035.8334,4976192.3434
13,4,0,280033.1943,4974665.6696
14,4,189.385774072722,279904.28384129,4974804.4105597
15,4,378.771548145444,279767.6234,4974935.4018
16,5,0,279767.6234,4974935.4018
17,5,215.604083324953,279603.165839629,4975074.50596568
18,5,431.208166649907,279505.8171,4975262.2923
19,6,0,279505.8171,4975262.2923
20,6,226.277622076679,279279.770649419,4975271.18379822
21,6,452.555244153358,279053.6549,4975279.5587
22,7,0,279721.3255,4974665.6696
23,7,137.356526653655,279738.407176373,4974801.18843371
24,7,274.713053307309,279767.6234,4974935.4018
25,8,0,279380.9322,4974690.3909
26,8,217.555753496654,279244.784727527,4974852.72969761
27,8,435.111506993308,279027.428,4974862.0334
28,9,0,279062.4711,4976925.3098
29,9,133.898706014284,279066.894994372,4977059.1333509
30,9,267.797412028568,279070.9651,4977192.9473
31,10,0,276392.3196,4973254.42
32,10,128.619676283694,276354.645143532,4973371.18517258
33,10,257.239352567387,276362.8934,4973499.5401
34,11,0,276362.8934,4973499.5401
35,11,871.929691543478,276395.823018542,4974370.83417834
36,11,1743.85938308696,276803.9952,4974870.1969
37,12,0,276803.9952,4974870.1969
38,12,633.573735042602,277098.019644053,4975215.42876484
39,12,1267.1474700852,277626.4437,4974945.2787
40,13,0,277626.4437,4974945.2787
41,13,336.865670669468,277950.112952686,4974897.98575051
42,13,673.731341338936,278286.5407,4974881.654
43,14,0,276992.6733,4974801.4618
44,14,115.58000291977,276904.53450772,4974841.77690614
45,14,231.160005839541,276803.9952,4974870.1969
46,15,0,276984.201,4972432.0208
47,15,904.970707531267,276881.208623756,4973236.86578144
48,15,1809.94141506253,277044.454,4974001.6756
49,16,0,277054.8041,4974304.4157
50,16,274.492697729716,277065.04873958,4974578.70035291
51,16,548.985395459433,276992.6733,4974801.4618
52,17,0,277044.454,4974001.6756
53,17,151.458486653984,277049.62905,4974153.04565
54,17,302.916973307969,277054.8041,4974304.4157
55,18,0,277441.0471,4973210.723
56,18,56.3407273919618,277384.89565,4973215.33735
57,18,112.681454783924,277328.7442,4973219.9517
58,19,0,277328.7442,4973219.9517
59,19,155.490623138576,277173.373539466,4973226.0403925
60,19,310.981246277152,277018.0905,4973234.0723
61,20,0,277293.0229,4973221.3256
62,20,21.7413273962697,277301.9524,4973241.14855
63,20,43.4826547925393,277310.8819,4973260.9715
64,21,0,277394.619,4974379.6172
65,21,183.615176897606,277223.975867608,4974311.82741792
66,21,367.230353795212,277057.584,4974366.5009
67,22,0,276946.725,4974406.9278
68,22,62.9820857926765,276994.632865536,4974368.47518483
69,22,125.964171585353,277057.584,4974366.5009
70,23,0,277233.4864,4974111.9732
71,23,119.534120914488,277148.963012518,4974196.49658748
72,23,239.068241828975,277053.5561,4974267.9129
73,24,0,276930.3386,4974185.7118
74,24,34.6874019121731,276959.1942,4974204.962
75,24,69.3748038243461,276988.0498,4974224.2122
76,25,0,276988.0498,4974224.2122
77,25,39.3726634865925,277020.80295,4974246.06255
78,25,78.745326973185,277053.5561,4974267.9129
79,26,0,276636.8336,4974047.4204
80,26,144.11932417065,276508.825802991,4973981.43936611
81,26,288.238648341299,276377.1142,4973922.9378
82,27,0,276755.4468,4974140.6165
83,27,75.451718080475,276697.276413177,4974092.5626983
84,27,150.90343616095,276636.8336,4974047.4204
85,28,0,276743.3944,4971567.6094
86,28,214.887430466897,276755.697558327,4971782.14433904
87,28,429.774860933794,276787.1302,4971989.615
88,29,0,276772.3916,4971991.4573
89,29,2256.66016518683,275818.945632485,4973399.70507781
90,29,4513.32033037366,276368.5417,4973700.053
91,30,0,275119.6451,4974423.3142
92,30,252.398714072364,275251.611157212,4974235.94517445
93,30,504.797428144728,275459.1734,4974137.7924
94,31,0,274305.7896,4973952.2969
95,31,516.767445772488,274726.763762485,4974142.11328372
