cat,orig_cat
1,15
2,33
3,40
4,53
5,71
6,129
7,175
8,210
9,295
10,298
11,304
12,343
13,347
14,351
15,361
16,364
17,385
18,391
19,438
20,445
21,467
22,472
23,527
24,565
25,607
26,615
27,621
28,632
29,663
30,666
31,676
32,742
33,777
34,798
35,826
36,915
37,1592
38,1001
39,1134
40,1153
41,1188
42,1190
43,1204
44,1227
45,1243
46,1286
47,1327
48,1335
49,1346
50,1367
51,1492
52,1397
53,1421
54,1492
55,1493
56,1554
57,1560
58,1560
59,1559
60,1562
61,1611
62,1665
63,1672
64,1760
65,1776
66,1790
67,1829
68,1840
69,1844
70,1966
71,2040
72,2061
73,2101
74,2147
75,2150
76,2153
77,2166
78,2211
79,2616
80,2482
81,2591
82,2605
83,2621
84,2622
85,2625
86,2641
87,3138
88,2652
89,2656
90,2732
91,2744
92,3106
93,2640
94,2614
95,1622
96,3549
97,3063
98,2043
99,2077
100,3101
101,2389
102,3126
103,3141
104,3146
105,2608
106,1629
107,3241
108,2602
109,3304
110,3428
111,3456
112,1666
113,3543
114,19
115,92
116,101
117,116
118,1550
119,1548
120,1547
121,197
122,1547
123,231
124,1547
125,235
126,251
127,235
128,253
129,247
130,263
131,235
132,266
133,235
134,280
135,1546
136,1546
137,1546
138,334
139,334
140,339
141,331
142,356
143,356
144,331
145,377
146,331
147,331
148,407
149,410
150,416
151,1556
152,1561
153,452
154,458
155,472
156,470
157,483
158,501
159,476
160,552
161,474
162,614
163,606
164,644
165,654
166,662
167,656
168,686
169,683
170,683
171,658
172,711
173,709
174,721
175,753
176,825
177,914
178,926
179,900
180,900
181,999
182,996
183,1012
184,1036
185,1043
186,1052
187,995
188,1088
189,1093
190,1087
191,1116
192,1127
193,1131
194,1157
195,1152
196,1607
197,1567
198,1570
199,1609
200,1605
201,1328
202,1343
203,1345
204,1412
205,900
206,1601
207,1560
208,1565
209,1608
210,1609
211,1620
212,1612
213,1617
214,1674
215,2910
216,1683
217,1711
218,1891
219,1838
220,1838
221,1922
222,3540
223,1890
224,1838
225,1807
226,1863
227,2627
228,2644
229,2064
230,2612
231,2051
232,2062
233,2049
234,2062
235,2079
236,2044
237,2064
238,2126
239,2128
240,2123
241,2599
242,2143
243,2143
244,2742
245,2214
246,2216
247,2247
248,2246
249,2300
250,2301
251,2619
252,2362
253,2361
254,2655
255,2463
256,2463
257,2458
258,2512
259,2516
260,2555
261,1628
262,2604
263,2603
264,2603
265,2616
266,2617
267,2638
268,2639
269,2293
270,2634
271,3453
272,2613
273,3044
274,3024
275,3379
276,2581
277,3144
278,2653
279,2606
280,2601
281,2584
282,3257
283,1771
284,3429
285,2715
286,3485
287,2
288,29
289,12
290,1575
291,49
292,1573
293,1574
294,1576
295,1575
296,1580
297,3542
298,3011
299,3341
300,2620
301,3109
302,2628
303,3455
304,1581
305,1551
306,231
307,251
308,469
309,606
310,668
311,1602
312,1599
313,1036
314,1609
315,1602
316,1602
317,1570
318,1345
319,1410
320,1570
321,1836
322,1890
323,1890
324,2143
325,2210
326,2216
327,2298
328,2639
329,1627
330,3139
331,1628
332,2584
333,1771
334,3337
335,2
336,11
337,11
338,29
339,58
340,1575
341,1622
342,2745
343,2237
344,3109
345,2600
346,2584
347,2584
348,419
349,1837
350,2745
351,2369
352,1970
353,2628
354,1609
355,1835
356,1546
357,683
358,1568
359,1189
360,1189
361,1609
362,1602
363,1492
364,1502
365,2125
366,3139
367,3239
368,900
369,1970
370,3013
371,1546
372,356
373,3012
374,3
375,6
376,42
377,81
378,189
379,293
380,692
381,960
382,1195
383,1198
384,1223
385,1561
386,1564
387,1610
388,1615
389,1618
390,1624
391,1662
392,1668
393,2583
394,1758
395,2039
396,2053
397,2076
398,2127
399,2141
400,2164
401,2241
402,2299
403,2515
404,2585
405,2586
406,2587
407,2588
408,2589
409,2590
410,3194
411,2623
412,2626
413,2631
414,2649
415,2651
416,2659
417,2954
418,3108
419,3240
420,3251
421,3253
422,3260
423,3003
424,90
425,235
426,235
427,1546
428,334
429,331
430,331
431,1546
432,389
433,389
434,1561
435,407
436,436
437,436
438,449
439,449
440,449
441,469
442,537
443,615
444,658
445,713
446,710
447,906
448,1569
449,1569
450,1609
451,1609
452,1567
453,1602
454,1356
455,1356
456,1410
457,1554
458,1556
459,900
460,1613
461,2620
462,2606
463,1632
464,1837
465,1839
466,1962
467,1975
468,2063
469,2126
470,2143
471,2143
472,2167
473,2210
474,2219
475,2237
476,2245
477,2237
478,2289
479,2292
480,2293
481,2579
482,2584
483,2125
484,2620
485,2639
486,2642
487,2644
488,2291
489,2661
490,2167
491,3006
492,1975
493,2620
494,1975
495,2580
496,2580
497,3139
498,3139
499,2611
500,3252
501,2584
502,3453
503,3003
504,15
505,1612
506,2745
507,2584
508,2584
509,2584
510,2584
511,3341
