root,chain
1,"[504, 1]"
2,[2]
3,[3]
4,[4]
5,[5]
6,[6]
7,[7]
8,[8]
9,[9]
10,[10]
11,[11]
12,[12]
13,[13]
14,[14]
15,[15]
16,[16]
17,[17]
18,[18]
19,[19]
20,[20]
21,[21]
22,"[22, 155]"
23,[23]
24,[24]
25,[25]
26,"[443, 26]"
27,[27]
28,[28]
29,[29]
30,[30]
31,[31]
32,[32]
33,[33]
34,[34]
35,[35]
36,[36]
37,[37]
38,[38]
39,[39]
40,[40]
41,[41]
42,[42]
43,[43]
44,[44]
45,[45]
46,[46]
47,[47]
48,[48]
49,[49]
50,[50]
51,"[54, 363, 51]"
52,[52]
53,[53]
54,"[54, 363, 51]"
55,[55]
56,"[457, 56]"
57,[57]
58,[58]
59,[59]
60,[60]
61,[61]
62,[62]
63,[63]
64,[64]
65,[65]
66,[66]
67,[67]
68,[68]
69,[69]
70,[70]
71,[71]
72,[72]
73,[73]
74,[74]
75,[75]
76,[76]
77,[77]
78,[78]
79,[79]
80,[80]
81,[81]
82,[82]
83,[83]
84,[84]
85,[85]
86,[86]
87,[87]
88,[88]
89,[89]
90,[90]
91,[91]
92,[92]
93,[93]
94,[94]
95,"[341, 95]"
96,[96]
97,[97]
98,[98]
99,[99]
100,[100]
101,[101]
102,[102]
103,[103]
104,[104]
105,[105]
106,[106]
107,[107]
108,[108]
109,[109]
110,[110]
111,[111]
112,[112]
113,[113]
114,[114]
115,[115]
116,[116]
117,[117]
118,[118]
119,[119]
120,"[120, 122, 124]"
121,[121]
122,"[120, 122, 124]"
123,"[306, 123]"
124,"[120, 122, 124]"
125,"[125, 127, 425, 426, 131, 133]"
126,"[307, 126]"
127,"[125, 127, 425, 426, 131, 133]"
128,[128]
129,[129]
130,[130]
131,"[125, 127, 425, 426, 131, 133]"
132,[132]
133,"[125, 127, 425, 426, 131, 133]"
134,[134]
135,"[135, 136, 427, 137, 371, 431, 356]"
136,"[135, 136, 427, 137, 371, 431, 356]"
137,"[135, 136, 427, 137, 371, 431, 356]"
138,"[138, 139, 428]"
139,"[138, 139, 428]"
140,[140]
141,"[429, 430, 141, 144, 146, 147]"
142,"[142, 372, 143]"
143,"[142, 372, 143]"
144,"[429, 430, 141, 144, 146, 147]"
145,[145]
146,"[429, 430, 141, 144, 146, 147]"
147,"[429, 430, 141, 144, 146, 147]"
148,"[148, 435]"
149,[149]
150,[150]
151,"[458, 151]"
152,[152]
153,[153]
154,[154]
155,"[22, 155]"
156,[156]
157,[157]
158,[158]
159,[159]
160,[160]
161,[161]
162,[162]
163,"[309, 163]"
164,[164]
165,[165]
166,[166]
167,[167]
168,[168]
169,"[169, 357, 170]"
170,"[169, 357, 170]"
171,"[444, 171]"
172,[172]
173,[173]
174,[174]
175,[175]
176,[176]
177,[177]
178,[178]
179,"[368, 179, 205, 459]"
180,[180]
181,[181]
182,[182]
183,[183]
184,"[313, 184]"
185,[185]
186,[186]
187,[187]
188,[188]
189,[189]
190,[190]
191,[191]
192,[192]
193,[193]
194,[194]
195,[195]
196,[196]
197,"[452, 197]"
198,"[198, 317, 320]"
199,"[450, 451, 361, 314, 199, 354, 210]"
200,[200]
201,[201]
202,[202]
203,"[318, 203]"
204,[204]
205,"[368, 179, 205, 459]"
206,[206]
207,[207]
208,[208]
209,[209]
210,"[450, 451, 361, 314, 199, 354, 210]"
211,[211]
212,"[505, 212]"
213,[213]
214,[214]
215,[215]
216,[216]
217,[217]
218,[218]
219,"[220, 224, 219]"
220,"[220, 224, 219]"
221,[221]
222,[222]
223,"[322, 323, 223]"
224,"[220, 224, 219]"
225,[225]
226,[226]
227,[227]
228,[228]
229,"[237, 229]"
230,[230]
231,[231]
232,"[232, 234]"
233,[233]
234,"[232, 234]"
235,[235]
236,[236]
237,"[237, 229]"
238,"[238, 469]"
239,[239]
240,[240]
241,[241]
242,"[470, 471, 243, 242, 324]"
243,"[470, 471, 243, 242, 324]"
244,[244]
245,[245]
246,"[326, 246]"
247,[247]
248,[248]
249,[249]
250,[250]
251,[251]
252,[252]
253,[253]
254,[254]
255,"[256, 255]"
256,"[256, 255]"
257,[257]
258,[258]
259,[259]
260,[260]
261,"[331, 261]"
262,[262]
263,"[264, 263]"
264,"[264, 263]"
265,[265]
266,[266]
267,[267]
268,"[485, 328, 268]"
269,"[269, 480]"
270,[270]
271,"[502, 271]"
272,[272]
273,[273]
274,[274]
275,[275]
276,[276]
277,[277]
