from_cat,cat
1,201
2,1
3,121
4,205
5,4
6,126
7,211
9,219
10,131
11,224
12,224
14,241
15,102
16,15
17,250
18,251
19,93
20,258
22,23
23,183
24,67
25,185
26,64
27,189
28,268
29,188
30,188
31,173
32,121
33,122
34,227
35,145
36,38
37,235
38,236
39,236
40,81
41,94
42,246
43,45
44,157
45,160
46,255
48,93
49,93
50,185
51,183
52,88
53,269
54,79
55,118
56,207
57,218
58,218
59,70
60,15
61,273
62,258
63,64
64,67
65,220
66,228
68,29
69,80
70,138
71,82
72,168
73,168
74,83
77,85
78,267
79,272
80,8
82,163
83,62
84,83
85,96
85,97
86,116
87,272
88,268
91,144
92,8
93,99
94,100
95,101
96,91
97,144
98,274
100,82
101,189
102,81
103,88
105,162
107,74
108,175
109,86
111,198
112,115
116,114
117,116
118,1
119,55
120,86
121,205
122,208
123,208
124,207
125,56
125,76
126,214
127,214
128,80
129,133
130,211
131,133
132,220
133,219
135,134
136,134
137,70
138,139
139,228
140,139
141,11
142,226
145,85
146,91
148,232
150,145
151,232
153,102
154,233
155,166
156,45
157,100
158,248
161,157
162,60
163,60
164,250
167,163
168,99
169,74
170,62
171,261
173,175
174,75
174,84
175,190
176,179
177,174
178,174
180,190
181,103
182,87
183,87
184,267
186,269
187,101
189,29
192,271
193,271
194,270
195,194
196,194
197,198
199,115
200,201
201,114
202,118
203,122
204,4
206,126
207,55
208,127
209,5
210,127
211,5
212,130
213,130
215,131
216,104
217,104
218,135
219,135
221,138
223,11
225,149
226,149
229,227
230,89
231,226
233,38
234,89
235,234
236,234
237,235
238,233
239,105
240,105
241,39
242,241
243,166
244,94
245,162
246,160
247,248
248,39
249,246
250,251
251,106
252,274
253,106
254,90
255,90
256,107
257,107
258,273
259,265
260,265
261,179
262,173
263,176
264,176
266,23
267,103
269,79
271,270
273,261
274,255
