from_cat,to_x,to_y,dist
7209,442050.625369406,4916683.28300242,0.359911363455451
7214,441245.305260956,4916859.03114331,0.337533279594505
7221,454273.734828537,4906163.17235119,0.64007546502154
7234,448757.394500456,4899798.04084017,0.325641857448407
7236,456019.257462111,4926027.53894728,4.20589943319309
7237,452461.815073562,4905894.15281419,2.6712849515234
7241,454979.204688225,4913601.97158816,1.07242861233844
7243,433895.522305439,4906752.19224498,1.15763142538352
7246,446805.736100038,4900408.90536935,1.94037182815895
7250,436874.39405275,4914838.5149036,2.86305222524891
7255,454064.82236925,4914772.16797487,4.73843523358456
11549,451966.920601273,4905990.37674465,1.11053404949216
14909,433574.298752064,4932542.64380828,0.625366060258486
16330,443662.614007139,4923855.531261,2.57403572557258
16332,436988.997049818,4926130.55258108,1.49617651945665
16686,443116.006138969,4914818.04730585,2.52778852897512
18178,440816.741499836,4926076.56776658,0.421256260301947
18310,452561.411756779,4912913.09600208,0.257514096415971
18745,427656.038930621,4902923.22305157,0.251053848774296
18746,427619.397853325,4903456.42637682,3.60840120675755
19585,445217.231444867,4921248.90998894,1.28666566692181
19784,429913.721182037,4911337.1064859,3.32877919364941
20645,445289.237166656,4917088.95544512,0.628425681216819
20646,428951.494151306,4911745.45720936,16.419841265933
21097,454807.388350736,4910563.69011188,0.0948321064409034
21107,441606.973968188,4900768.82114916,2.74042672817114
22039,456451.092587361,4929245.56428404,2.55410989966341
24374,436238.174803824,4930168.73366117,1.73840063335258
